Ball,Commentary,Wicket
0.1,"Hasan Ali to Asad Shafiq, 2 runs, fullish ball, comes forward and pushes it uppishly through the covers region for a brace",
0.2,"Hasan Ali to Asad Shafiq, no run, fuller and outside off, punches it crunchily back to the bowler",
0.3,"Hasan Ali to Asad Shafiq, no run, short of a length and skids through, little bit of nibble into the right-hander, defended back to the bowler",
0.4,"Hasan Ali to Asad Shafiq, 1 run, jags back in to the right-hander from the back of a length area again and it is pushed from the crease to mid-on before they take off for a quick single",
0.5,"Hasan Ali to Ahmed Shehzad, no run, short of a length, no movement on this one and it comes on straight just outside off, blocked into the off side",
0.6,"Hasan Ali to Ahmed Shehzad, no run, through the defences, or is it? Hasan gets this one to nibble in sharply again and it beats the inside edge and goes to the wicketkeeper. There is a slight noise and a half appeal for a caught behind, but the umpire is not convinced. Seems like it went off the pad",
1.1,"Mohammad Asghar to Asad Shafiq, OUT, and straight away he gets a wicket. This is brilliantly bowled. What a delivery to start off things. Draws Shafiq out of the crease and the batsman obliges. Comes a good way down the track but picks the wrong line. The ball drifts away from him and dips on him before spinning away to comprehensively beat him. Kamran Akmal does the rest",['Asad Shafiq st †Kamran Akmal b Mohammad Asghar 3 (5b 0x4 0x6) SR: 60.00']
1.2,"Mohammad Asghar to Pietersen, no run, goes for the big sweep and gets hit on the pad. Had the front leg a long way across and the impact was outside off",
1.3,"Mohammad Asghar to Pietersen, 1 run, comes down the track to meet the pitch of this ball before turning it away just to the right of mid-on",
1.4,"Mohammad Asghar to Ahmed Shehzad, no run, loopy and pitched up. Angling in on middle and off and it is bunted into the off side",
1.5,"Mohammad Asghar to Ahmed Shehzad, OUT, holes out to extra cover. Shehzad gives the spinner the charge and tries to loft him down the ground. But he does not account for the sharp turn, the ball is going a long way away from him which means he fails to get on top of it and skews it off the splice of the blade. Sohaib Maqsood settles under it",
1.6,"Mohammad Asghar to Pietersen, 1 run, floated up on middle and spinning away, Pietersen crunches a drive to extra cover. Top over from Asghar",['Ahmed Shehzad c Sohaib Maqsood b Mohammad Asghar 0 (4b 0x4 0x6) SR: 0.00']
2.1,"Shakib Al Hasan to Pietersen, no run, comes down the track and works it to mid-on",
2.2,"Shakib Al Hasan to Pietersen, 1 leg bye, oh, dear. Comes down the track but this one drifts in with the arm and hits him on the pad. Narrowly misses the stumps as it rolls away off the pad towards the fine leg region. He was a long way down so it was always going to make it hard for the lbw to come into play",
2.3,"Shakib Al Hasan to Rossouw, no run, chance at first slip, put down. Rossouw brings out the reverse sweep and skews it off the top edge to Sammy who is moving the wrong way to his left, too late to make amends as he puts a hand to it after stretching as he cannot hold on to it",
2.4,"Shakib Al Hasan to Rossouw, no run, pitched up, defended off the front foot",
2.5,"Shakib Al Hasan to Rossouw, no run, fullish in length again, dabs it into the leg side. No run there",
2.6,"Shakib Al Hasan to Rossouw, no run",
3.1,"Mohammad Asghar to Pietersen, FOUR, turn and bounce but also short and wide. Pietersen slaps it hard off the backfoot past extra cover where the fielder dives but the ball beats him and does into the boundary",
3.2,"Mohammad Asghar to Pietersen, 2 runs, past the diving extra cover fielder again. Short and wide and it is punched firmly off the backfoot, long-off runs across and tidies up",
3.3,"Mohammad Asghar to Pietersen, no run, good length. Tossed up and drifting in before straightening. Pietersen has his feet firmly planted inside as he defends, chops it hard into the turf as he does so",
3.4,"Mohammad Asghar to Pietersen, no run, good length and spinning away outside off, left alone",
3.5,"Mohammad Asghar to Pietersen, no run, shifts back and across to protect the off-stump before smothering the spin and defending this one back towards the bowler",
3.6,"Mohammad Asghar to Pietersen, 3 runs, length ball on off, punched through covers. Two fielders giving it a chase and one of them gets down and manages to pull it back before the ropes",
