Ball,Commentary,Wicket
0.1,"Zulfiqar Babar to Tamim Iqbal, no run, comes forward to defend and gets an inside edge to the leg side",
0.2,"Zulfiqar Babar to Tamim Iqbal, no run, full and coming on straight, tucked to midwicket",
0.3,"Zulfiqar Babar to Tamim Iqbal, no run, tucked to midwicket again",
0.4,"Zulfiqar Babar to Tamim Iqbal, 2 runs, tucked to short midwicket for a brace",
0.5,"Zulfiqar Babar to Tamim Iqbal, no run, tucked off the backfoot to the leg side",
0.6,"Zulfiqar Babar to Tamim Iqbal, 2 runs, stays in the crease and turns this away into the leg side, gets it just past the fielder at backward short leg",
1.1,"Hasan Khan to Kamran Akmal, no run, starts off with a wide delivery outside off and Kamran has to reach out for it as he taps it to covers",
1.2,"Hasan Khan to Kamran Akmal, 2 runs, short and wide, slapped to sweeper cover",
1.3,"Hasan Khan to Kamran Akmal, no run, cut off the backfoot to cover-point as he sees width on offer",
1.4,"Hasan Khan to Kamran Akmal, no run, comes to the front foot to this length ball and defends to the cover-point fielder",
1.5,"Hasan Khan to Kamran Akmal, no run, tossed up on off, tries to sweep and gets beaten",
1.6,"Hasan Khan to Kamran Akmal, 1 run, punched off the backfoot down to wide long-on for an easy single",
2.1,"Zulfiqar Babar to Kamran Akmal, no run, comes in with the arm and it is defended back to the bowler",
2.2,"Zulfiqar Babar to Kamran Akmal, no run, swipes across the line at this tossed up ball and gets a leading edge back to the bowler",
2.3,"Zulfiqar Babar to Kamran Akmal, no run, gets cramped for room and he mistimes the cut to covers",
2.4,"Zulfiqar Babar to Kamran Akmal, no run, goes for a pull shot to this back of a length ball and wears it on the pad, sliding down leg",
2.5,"Zulfiqar Babar to Kamran Akmal, no run, spinning away from middle and it is punched away to point",
2.6,"Zulfiqar Babar to Kamran Akmal, no run, short of a length, fetches it from outside off and drags it to mid-on. And what do you know folks! Follows up a 11-ball first over with a maiden",
3.1,"Hasan Khan to Tamim Iqbal, 1 run, length ball, stays in the crease and tucks off the pads to square leg",
3.2,"Hasan Khan to Kamran Akmal, 2 runs, tossed up outside off, goes for the big drive and chips it just over the extra cover region",
3.3,"Hasan Khan to Kamran Akmal, 2 runs, tossed up outside off and he drags this sweep from outside off to deep midwicket",
3.4,"Hasan Khan to Kamran Akmal, 2 runs, slog sweep from Kamran. Drops short in front of the deep midwicket boundary and almost stops short in its track as Zulfiqar runs across from deep square leg and picks it up",
3.5,"Hasan Khan to Kamran Akmal, no run, makes room for himself before laying into a cut shot. Not much room and he cannot beat point",
3.6,"Hasan Khan to Kamran Akmal, no run, short of a length, manufactures width and flays it out to covers",
4.1,"Mahmudullah to Tamim Iqbal, 1 run, draws the batsman forward with a pitched up ball and Tamim gets an inside edge to the pad before the ball goes to short fine leg",
4.2,"Mahmudullah to Kamran Akmal, FOUR, too short and he uses the sharp turn to get down on one knee and pull it away with the turn to deep square leg. Just in front of square, actually",
4.3,"Mahmudullah to Kamran Akmal, SIX, tossed up on off, goes across and slogs it long and clean over cow corner. Similar to the one Ross Taylor plays",
4.4,"Mahmudullah to Kamran Akmal, no run",
4.5,"Mahmudullah to Kamran Akmal, 1 run, knocks it with the turn to mid-on for a quick single",
4.6,"Mahmudullah to Tamim Iqbal, no run, presses forward and pushes this one into the off side. The ball goes square of the wicket and point runs in and picks it up as Tamim is sent back, looking for a run",
5.1,"Mills to Kamran Akmal, no run, starts off with a short ball, bounces steeply but not called a wide",
5.2,"Mills to Kamran Akmal, 1 run, short ball, takes is eyes off the ball as he tried to pull it, got hassled for pace and the ball goes to deep square leg",
5.3,"Mills to Tamim Iqbal, 1 run, full and outside off, holding its line, Tamim leans forward and crunches a front foot drive to extra cover",
5.4,"Mills to Kamran Akmal, 1 leg bye, tries to tuck this fuller ball into the leg side and misses, wears it on the pad instead as the ball rolls away into the leg side. Mills charges on the follow through to pick it up. And they take a leg bye. That ball was seriously quick, 146.4 clicks",
5.5,"Mills to Tamim Iqbal, no run, length ball outside off, Tamim plays inside the line and the bat hits the pad as the ball goes to the wicketkeeper. Stifled appeal for caught behind and not given",
5.6,"Mills to Tamim Iqbal, no run, fuller ball outside off, comes forward and crunches a drive to cover-point",
6.1,"Mahmudullah to Kamran Akmal, 1 run, gets down to sweep to short fine leg. Only one shouts the keeper and one it will be",
6.2,"Mahmudullah to Tamim Iqbal, OUT, that was kind of a needless shot to attempt after a good start in pursuit of a low total. Comes charging down the track and does not account for the spin at all. Gets beaten as he sticks his bat out in the channel outside off and gets beaten. Keeper does the rest",['Tamim Iqbal st †Sarfraz Ahmed b Mahmudullah 7 (13b 0x4 0x6) SR: 53.84']
6.3,"Mahmudullah to Samuels, no run, comes a long way forward and tries to flick it away but wears it on the pad. Big turn, would have taken it down leg",
6.4,"Mahmudullah to Samuels, 1 run, goes for a slog and gets an inside edge to backward square leg",
6.5,"Mahmudullah to Kamran Akmal, 1 run, short of a length and drifting in, swivels around and pulls it away to deep fine leg and the ball is cut off by the backward square leg fielder running across",
6.6,"Mahmudullah to Samuels, SIX, comes down the track to meet the pitch of it and dispatches it over long-on. That was given an absolute thump, made a nice, loud sound as ball crashed into willow",
7.1,"Mills to Kamran Akmal, no run, fuller, tries to drive and gets an inside edge to mid-on",
7.2,"Mills to Kamran Akmal, 2 runs, fuller ball, Akmal's bat face closes as he drills it through midwicket and there is a bit of a yes and no on the second run as Pietersen charges across from mid-on. He picks up the ball and throws it to Sarfaraz. And the keeper, for some sane reason, does not try to break the stumps. Had he tried to flick it back and hit the stumps, the batsman would have been well short. Think that is what Pietersen is telling his captain",
7.3,"Mills to Kamran Akmal, 1 run, worked away through square leg",
7.4,"Mills to Samuels, OUT, what a catch! Samuels has another disappointing night. Amin was the substitute fielder, fielding close-in at forward short leg. Samuels tries to fend this short of a length ball off the hips. It is angled in on the body and he tries to flick it away, it hits the splice and seems to be flying over the forward short leg fielder but Yamin jumps up and back in a jiffy. Flew like a spark and takes it single-handed. Electric!",
7.5,"Mills to Mohammad Hafeez, no run, full and on the stumps, driven but cannot pierce the gap",['MN Samuels c sub (Umar Amin) b Mills 7 (4b 0x4 1x6) SR: 175.00']
7.6,"Mills to Mohammad Hafeez, no run, full and angling in on the pads, cannot make contact as he tries to clip it away. They don't make an appeal as that was clearly heading down leg",
8.1,"Mohammad Nawaz to Kamran Akmal, OUT, appeal for lbw and given. Kamran gets down to sweep and the ball is not full enough to sweep. It is on a length and he misses the ball, gets hit on the pad. Seems to be hitting in front of middle and leg. Kamran does not seem happy for some reason as he trudges off. Wicket off the first ball for Nawaz. He got a glove on that, actually",
8.2,"Mohammad Nawaz to Shakib Al Hasan, 1 run, fetches a sweep from outside off and luckily for him it does not spin back enough and he works it out in front of square",
8.3,"Mohammad Nawaz to Mohammad Hafeez, no run, flays it to mid-off with a flat bat and Ahmed Shehzad makes a diving save",['Kamran Akmal lbw b Mohammad Nawaz 26 (30b 1x4 1x6) SR: 86.66']
8.4,"Mohammad Nawaz to Mohammad Hafeez, OUT, oh, dear! Peshawar are unravelling here. Mix-up sees the back of Shakib. Hafeez pushes it to cover-point off the front foot. Shakib takes off for the run and Hafeez comes down a few steps before sending Shakib back but he has come down way too far and he has to go back. Too late, but",
8.5,"Mohammad Nawaz to Mohammad Hafeez, no run, knocks it to mid-on with a closed bat face",
8.6,"Mohammad Nawaz to Mohammad Hafeez, no run, defended off the backfoot",
9.1,"Mahmudullah to Sohaib Maqsood, no run, defended to the bowler",['Shakib Al Hasan run out 1 (1b 0x4 0x6) SR: 100.00']
9.2,"Mahmudullah to Sohaib Maqsood, OUT, Maqsood gone and this Peshawar are sliding drastically here. Tries to go inside-out from the crease but fails to get to the pitch of the ball. The ball goes in the air to extra cover where Shafiq jumps up to snaffle a good, sharp catch. That came to him quickly but he did well there",
9.3,"Mahmudullah to Sammy, OUT, and what does he do! Holes out to long-off first ball. Tries to loft the spinner down the ground but he only gets the elevation, not the distance. Probably went off the bottom part of the bat and Nawaz runs to his right from long-off to snaffle it in front of the straight boundary. Irresponsible shot from the captain, and Sammy goes right back from where he came",
9.4,"Mahmudullah to Shahid Afridi, 1 run, oh my, oh my! Nearly had the hat-trick. What drama! Afridi comes down the track to this full toss and does not get hold of the shot as he lofts it over mid-off. Long-off comes running in and dives forward and the ball falls inches, just inches in front of him. Got to wonder, why would you play that kind of a shot off a hat-trick ball",
9.5,"Mahmudullah to Mohammad Hafeez, 1 run",
9.6,"Mahmudullah to Shahid Afridi, no run, shuffles across to flick and ends up nudging it to midwicket as it comes on too close to him",['Sohaib Maqsood c Asad Shafiq b Mahmudullah 0 (2b 0x4 0x6) SR: 0.00']
10.1,"Mohammad Nawaz to Mohammad Hafeez, FOUR, short of good length, sits up nicely and it's a slow surface so he has ample time as the ball comes on to him slowly and he whips it away off the backfoot to deep midwicket",
10.2,"Mohammad Nawaz to Mohammad Hafeez, no run, length ball, spinning away, Hafeez is slightly opened up as he defends it",['DJG Sammy c Mohammad Nawaz b Mahmudullah 0 (1b 0x4 0x6) SR: 0.00']
10.3,"Mohammad Nawaz to Mohammad Hafeez, no run, length ball on off, pushed into the off side",
10.4,"Mohammad Nawaz to Mohammad Hafeez, FOUR, gets it just over the fielder at midwicket. Mahmudullah it is. Short ball and it is pulled off the backfoot, clips the fingers of Mahmudullah as the ball goes to the boundary. Dropped chance but a very tough one",
10.5,"Mohammad Nawaz to Mohammad Hafeez, no run, full on off, fends it off to midwicket",
10.6,"Mohammad Nawaz to Mohammad Hafeez, 1 run, gives it too much air and bowls a full toss that is pushed down to long-on for an easy single",
