Ball,Commentary,Wicket
0.1,"Hasan Ali to Bismillah Khan, no run, full and curves away outside off, the opener has a leaden-footed swish and misses",
0.2,"Hasan Ali to Bismillah Khan, OUT, Lobbed to point. Bairstow comes into action, almost rightaway, as does Hasan Ali. Banged in shortish and outside off, Bismillah goes for an agricultural swipe over the leg side. He ends up skying a catch to point off a top edge",['Bismillah Khan c Bairstow b Hasan Ali 0 (2b 0x4 0x6) SR: 0.00']
0.3,"Hasan Ali to Ahmed Shehzad, no run, Shehzad shows his ace early as he walks out, Ali digs it even shorter and may have pinged the glove",
0.4,"Hasan Ali to Ahmed Shehzad, no run, pitched up and nips away in the channel, Shehzad does not chase it",
0.5,"Hasan Ali to Ahmed Shehzad, no run, this does not bounce in the channel. But Hasan Ali sustains the away movement. Left alone again",
0.6,"Hasan Ali to Ahmed Shehzad, no run, nice and full, seams in, Shehzad seeks to drive, but has to settle with an inside edge that rolls towards mid-on. Wicket maiden to kick off the first qualifying final",
1.1,"Mohammad Asghar to Pietersen, 1 run, worked wide of midwicket",
1.2,"Mohammad Asghar to Ahmed Shehzad, 1 run, drifting into middle and leg, worked to midwicket again",
1.3,"Mohammad Asghar to Pietersen, no run, tossed up on middle, he gets forward and defends it to the off side",
1.4,"Mohammad Asghar to Pietersen, no run, sharp turn, beaten as he prods forward tentatively, top stuff this from Asghar",
1.5,"Mohammad Asghar to Pietersen, no run, turns away from middle, pushed to short cover",
1.6,"Mohammad Asghar to Pietersen, FOUR, that's a KP special. Steps out, gets underneath it and muscles it over long on",
2.1,"Hasan Ali to Ahmed Shehzad, no run, back of length delivery outside off, nips away, he looks to run it wide of point, beaten",
2.2,"Hasan Ali to Ahmed Shehzad, FOUR, touch short and he's fetched the pull from outside off, superbly done. Into the midwicket boundary",
2.3,"Hasan Ali to Ahmed Shehzad, 1 run, looks to force it through the off side, gets an inside edge to the on side, bowler runs across, picks up the ball cleanly and hurls a throw at the bowler's end, Shehzad would have been gone had that hit the stumps",
2.4,"Hasan Ali to Pietersen, no run, looks to slap that over the infield, gets the inner half of the bat, rolls to mid off",
2.5,"Hasan Ali to Pietersen, no run, punched but well stopped at cover",
