Ball,Commentary,Wicket
0.1,"Russell to Simmons, no run, short of length delivery outside off, punched to cover point",
0.2,"Russell to Simmons, no run, cuts him into two halves. This one nips back in to sneak through the gap between bat and pad, flies over the stumps. Quality delivery",
0.3,"Russell to Simmons, 1 run, gets a thick inside edge to mid-on, they scamper through for a quick single. A direct hit and Simmons would've been walking back",
0.4,"Russell to Vince, no run, gets forward and bunts it to cover",
0.5,"Russell to Vince, no run, slower and fuller on off, driven to mid-off",
0.6,"Russell to Vince, 1 run, short on middle, he muscles the pull, one bounce to the man at deep square",
1.1,"Imran Khalid to Vince, no run, too short to start off with, makes room and punches it straight to cover",
1.2,"Imran Khalid to Vince, no run, steps out and crunches it to point",
1.3,"Imran Khalid to Vince, no run, fired into middle and leg, looks to whip it past square leg, hit high on the pad",
1.4,"Imran Khalid to Vince, OUT, flays that through to cover point where Zaidi stops that brilliantly by diving full length to his right, recovers quickly and fires a throw to the wicketkeeper's end, Simmons wasn't even in the frame. Total confusion there, but the wicket was brought about because of an outstanding effort on the field",['LMP Simmons run out 1 (3b 0x4 0x6) SR: 33.33']
1.5,"Imran Khalid to Imad Wasim, no run, spins back into middle and leg, he's hit on the pad as he looks to work it wide of square leg",
1.6,"Imran Khalid to Imad Wasim, no run, punched wide of cover, excellent stop. Wicket maiden",
2.1,"Mohammad Sami to Vince, no run, back of length delivery on middle, pushed back to the bowler",
2.2,"Mohammad Sami to Vince, no run, gives him the charge and slaps it to mid-off, Russell does well to stop that bullet hit, hesitation in the running again",
2.3,"Mohammad Sami to Vince, 1 run, looks to loft him over mid-on, toe ends it to the fielder, they get through for the single",
2.4,"Mohammad Sami to Imad Wasim, no run, swing and a miss. Looks to thrash that over point, too early into the stroke",
2.5,"Mohammad Sami to Imad Wasim, no run, flirts at the length delivery slanting away, late on the stroke, didn't miss the edge by much",
2.6,"Mohammad Sami to Imad Wasim, no run, another swing, another miss. No feet movement whatsoever as he looks to go over cover",
3.1,"Saeed Ajmal to Vince, OUT, he's struck gold first ball. Gets some drift, pitches on off, breaks back in sharply, gets a bit of fizz as well, Vince looks to whip it past midwicket, is a touch late on the stroke and is trapped plumb in front. Would've crashed into middle and leg. Ajmal is delighted, his team mates are unstoppable. What a start this by Islamabad United",
3.2,"Saeed Ajmal to Shoaib Malik, 1 run, gets to the pitch of the ball and works it down to long on",['JM Vince lbw b Saeed Ajmal 2 (11b 0x4 0x6) SR: 18.18']
3.3,"Saeed Ajmal to Imad Wasim, FOUR, sees the flight, his eyes light up as he steps out and hammers it back over the bowler's head. It wasn't too far away from the umpire. He had to take evasive action very quickly",
3.4,"Saeed Ajmal to Imad Wasim, FOUR, stand and deliver. Sees the width and latches onto that one. Hammered into the gap between cover and mid-off",
3.5,"Saeed Ajmal to Imad Wasim, FOUR, sliced away, between cover and point this time. Sami, running back, did extremely well to dive full length forward, but the ball was in contact with the rope as he tried to pull it back. Suddenly, there's a lot of pressure on Pakistan's premier spinner",
3.6,"Saeed Ajmal to Imad Wasim, 1 run, works it round the corner towards deep midwicket",
