Ball,Commentary,Wicket
0.1,"Mohammad Amir to Watson, no run, short and skiddy on off, chopped behind to the keeper",
0.2,"Mohammad Amir to Watson, no run, short and cuts back in, Watson camps back and manages an inside edge onto the pad",
0.3,"Mohammad Amir to Watson, no run, similar ball, Watson has no room to free his arms, chopped now to backward point",
0.4,"Mohammad Amir to Watson, 1 run, short on middle, no swing, turned gently in front of short midwicket for one",
0.5,"Mohammad Amir to Sharjeel Khan, 1 run, dug in short and holds its line outside off, guided to third man for one",
0.6,"Mohammad Amir to Watson, no run, much shorter and Amir hammers the deck outside off, angled towards backward point",
1.1,"Sohail Tanvir to Sharjeel Khan, no run, no swing either for Tanvir, at least for the first ball. Pitched up on off, pushed to mid-off",
1.2,"Sohail Tanvir to Sharjeel Khan, 1 run, full and on middle and leg, Tanvir still hasn't corrected his line. Clipped through midwicket",
1.3,"Sohail Tanvir to Watson, 1 run, Watson hangs back and helps this one to third man",
1.4,"Sohail Tanvir to Sharjeel Khan, 1 run, full and curls in, tapped wide of backward point",
1.5,"Sohail Tanvir to Watson, no run, shorter and outside off, Watson wants to crash it away, but only skewers it to mid-off. He inspects the bottom of his bat",
1.6,"Sohail Tanvir to Watson, no run, another leg-stump ball, tickled straight to short fine leg. Watson sends Sharjeel back",
2.1,"Mohammad Amir to Sharjeel Khan, 1 leg bye, Amir slants it into the pads, diverted behind square leg off the pad",
2.2,"Mohammad Amir to Watson, SIX, straight back of a length ball, Watson gets his bearings right. He clears his left leg and unleashes a clean swing, sending the ball over midwicket over a six",
2.3,"Mohammad Amir to Watson, 2 runs, pitched up on off, eased through the covers",
2.4,"Mohammad Amir to Watson, 1 run, short of a length on off, he keeps back and chops towards backward point",
2.5,"Mohammad Amir to Sharjeel Khan, no run, short and Amir raps the thigh as Sharjeel cant connect with a flick. The tracker shows that the ball would have climbed over the stumps",
2.6,"Mohammad Amir to Sharjeel Khan, 2 runs, picked away off the hips to fine leg",
3.1,"Sohail Tanvir to Watson, 1 run, back of a length on off, dabbed with soft hands towards point for one",
3.2,"Sohail Tanvir to Sharjeel Khan, 3 runs, width outside off, Sharjeel frees his arms and carves it over extra-cover",
3.3,"Sohail Tanvir to Watson, 1 run, wicket-to-wicket line, turned through square leg",
3.4,"Sohail Tanvir to Sharjeel Khan, no run, shortish and down leg, may have brushed something on its way to the keeper",
3.5,"Sohail Tanvir to Sharjeel Khan, FOUR, short of a length on middle, right in the pulling arc. Sharjeel rocks back and hits firmly over midwicket",
3.6,"Sohail Tanvir to Sharjeel Khan, FOUR, full and wide outside off, slapped up and over cover for four",
4.1,"Imad Wasim to Watson, OUT, and he strikes right away! Arm-ball skids off the surface and arrows in to hit the back pad. IPL's new millionaire was neither forward nor back. Watson is trapped in front. He pays the penalty for playing for the turn",['SR Watson lbw b Imad Wasim 13 (14b 0x4 1x6) SR: 92.85']
4.2,"Imad Wasim to Khalid Latif, no run, another arm-ball, kept out",
4.3,"Imad Wasim to Khalid Latif, FOUR, pushed through down leg, Latif does not connect with a flick. The ball brushes the pad and wanders fine on the leg side. Given as runs, though",
4.4,"Imad Wasim to Khalid Latif, no run, pushed through and comes in, defended",
4.5,"Imad Wasim to Khalid Latif, SIX, take that! Imad tosses this up on middle, Latif charges down the track and lifts it over long-off for a six",
4.6,"Imad Wasim to Khalid Latif, 1 run, full and straight, nudged through midwicket",
5.1,"Shoaib Malik to Khalid Latif, 2 runs, Latif steps out and welcomes Malik with a lofted hit over the covers",
5.2,"Shoaib Malik to Khalid Latif, no run, slides on flat and quick, poked towards cover",
5.3,"Shoaib Malik to Khalid Latif, 1 run, turned towards square leg",
5.4,"Shoaib Malik to Sharjeel Khan, FOUR, dropped short and outside off, Sharjeel skips back and cracks it through the covers for four",
5.5,"Shoaib Malik to Sharjeel Khan, no run, hurrying ball on middle, blocked to the off side on the back foot",
5.6,"Shoaib Malik to Sharjeel Khan, no run, flat and quick at 90ks, Sharjeel blocks again",
6.1,"Shakib Al Hasan to Khalid Latif, no run, length and outside off, pushed to point",
6.2,"Shakib Al Hasan to Khalid Latif, no run, extra bounce in the channel, drifts in from wide of the crease. Left alone belatedly",
6.3,"Shakib Al Hasan to Khalid Latif, 1 run, shorter in length now, pulled over backward square leg",
6.4,"Shakib Al Hasan to Sharjeel Khan, no run, looped up on middle, bunted defensively towards mid-off",
6.5,"Shakib Al Hasan to Sharjeel Khan, no run, darted full, jammed to the right of the bowler",
6.6,"Shakib Al Hasan to Sharjeel Khan, no run, another blockhole ball, jabbed to the left of Shakib",
7.1,"Bopara to Khalid Latif, 2 runs, floaty full toss outside off, shovelled to long-on. The fielder in the deep (Simmons) dives to his left to stop the ball",
7.2,"Bopara to Khalid Latif, no run, back of a length, patted towards point",
7.3,"Bopara to Khalid Latif, 1 run, 97.6ks slower ball, knocked to midwicket on the back foot",
7.4,"Bopara to Sharjeel Khan, 1 run, Bopara ventures wide of the crease and angles it in, clipped through midwicket",
7.5,"Bopara to Khalid Latif, no run, short and outside off, Latif misses out on a scoring opportunity. Cut straight to point",
7.6,"Bopara to Khalid Latif, 2 runs, shorter on the stumps, pulled to deep midwicket",
8.1,"Shakib Al Hasan to Sharjeel Khan, 1 run, flat on middle, wristy drive to long-off",
8.2,"Shakib Al Hasan to Khalid Latif, 1 run, flighted on off, straight ball, tapped to long-off with a straightish bat",
8.3,"Shakib Al Hasan to Sharjeel Khan, 1 run, low full toss, Sharjeel flits around in the crease and drives to long-off",
8.4,"Shakib Al Hasan to Khalid Latif, no run, looped up and drifts in, defended to cover. Latif looks for a scampered single, but is sent back",
8.5,"Shakib Al Hasan to Khalid Latif, SIX, bang! Latif steps out, meets this on a half-volley. He gets under it and launches it over cow corner",
8.6,"Shakib Al Hasan to Khalid Latif, 1 run, round-arm ball slid outside off, swatted through midwicket",
9.1,"Shoaib Malik to Khalid Latif, no run, sliding across off, blocked to cover. Sharjeel drifts out in search for a single but Simmons fails to throw the stumps down at the non-striker's end",
9.2,"Shoaib Malik to Khalid Latif, no run, darted on the leg stump, flicked straight to short fine leg",
9.3,"Shoaib Malik to Khalid Latif, 2 runs, Latif goes deep in the crease and secures a couple through square leg. Excellent running",
9.4,"Shoaib Malik to Khalid Latif, 1 run, clipped in front of square again. Latif has to settle with one",
9.5,"Shoaib Malik to Sharjeel Khan, 1 run, short on off, Sharjeel stands tall and punches it through the covers",
9.6,"Shoaib Malik to Khalid Latif, no run, slides on the off stump, Latif can only block it back to Malik",
