Ball,Commentary,Wicket
0.1,"Russell to Azhar Ali, 1 leg bye, short and rushing into the hips, deflected fine on the leg side, as Azhar does not get hold of a pull",
0.2,"Russell to Delport, 1 run, short at 137ks, clipped to square leg",
0.3,"Russell to Azhar Ali, no run, Azhar shuffles away outside leg, Russell follows him and gets this full ball thud into the pad",
0.4,"Russell to Azhar Ali, no run, bumper outside off at 136ks, Azhar manages to rock his head down and avoid it",
0.5,"Russell to Azhar Ali, FOUR, Azhar makes room outside leg again, Russell chases him with a 141ks full ball, skewered to third man off an outside edge. Azhar was too late on it",
0.6,"Russell to Azhar Ali, no run, back of a length on off, jabbed to cover",
1.1,"Watson to Delport, 1 run, short and wide outside off, Watson starts off with a loose ball. Flayed to third man",
1.2,"Watson to Azhar Ali, FOUR, Watson stays into the pads, Azhar flicks it, sending it to the fine-leg boundary",
1.3,"Watson to Azhar Ali, 2 runs, Azhar walks across off and tucks this back of a length ball behind square for a couple",
1.4,"Watson to Azhar Ali, FOUR, violent hit from Azhar. He steps out and backs away as he smashes a length ball past the covers",
1.5,"Watson to Azhar Ali, 1 run, back of a length on off, drop-and-run single to point",
1.6,"Watson to Delport, 1 run, yorker, nailed at the base of off, jammed to cover",
2.1,"Mohammad Sami to Delport, OUT, Sami strikes with his first ball to clean up Delport! The middle stump is tilted back. Full and hurtles into the left-hander, who loads up for a big leg-side slog. Delport can only connect with thin air. Sami rides his car through the gate.",['CS Delport b Mohammad Sami 3 (4b 0x4 0x6) SR: 75.00']
2.2,"Mohammad Sami to Naved Yasin, no run, shortish and on off, Sami hits the bat hard. Jabbed to point",
2.3,"Mohammad Sami to Naved Yasin, FOUR, back of a length and outside off, punched sweetly through backward point. Pace is your friend. Pace is your enemy, Sami",
2.4,"Mohammad Sami to Naved Yasin, no run, short and attacking the stumps, Yasin jumps back in defence",
2.5,"Mohammad Sami to Naved Yasin, no run, full and outside off, tapped to the off side",
2.6,"Mohammad Sami to Naved Yasin, no run, back of a length and outside off, Yasir plays across the line. Targets a leg-side flick and misses",
3.1,"Rumman Raees to Azhar Ali, 1 run, full and wide outside off, Azhar reaches out and slices to third man",
3.2,"Rumman Raees to Naved Yasin, 1 leg bye, glanced off the pads to backward square leg. Given as leg bye",
3.3,"Rumman Raees to Azhar Ali, 1 run, rising short ball outside off, gets big on Azhar. Swatted down the ground to mid-off",
3.4,"Rumman Raees to Naved Yasin, no run, length ball attacking off, pushed to point",
3.5,"Rumman Raees to Naved Yasin, 1 run, slower short ball on off, the left-hander looks to pull and ends up dragging behind square",
3.6,"Rumman Raees to Azhar Ali, no run, full and outside off, drilled to mid-on, where Russell moves to his left and fumbles. He recovers, collects the ball, and rifles a direct hit at the striker's end. But Azhar turns back and grounds his bat in time",
4.1,"Russell to Naved Yasin, no run, bumper, Yasin ducks under",
4.2,"Russell to Naved Yasin, SIX, full length ball outside off, Yasin attacks it, sending it clattering over long-off. Yasir hits through the line and launches a six",
4.3,"Russell to Naved Yasin, no run, rising ball, dabbed towards point",
4.4,"Russell to Naved Yasin, no run, short again, Yasir leans back and pushes to point",
4.5,"Russell to Naved Yasin, 2 runs, full and straight, whipped through midwicket",
4.6,"Russell to Naved Yasin, no run, back of a length on middle, Yasin goes back and defends towards point",
5.1,"Mohammad Sami to Azhar Ali, FOUR, sliding into the hips, picked away finer of short fine leg. Poor ball, and put away",
5.2,"Mohammad Sami to Azhar Ali, no run, Azhar jumps outside leg again. He has a dirty slog and misses as Sami shortens his length outside off",
5.3,"Mohammad Sami to Azhar Ali, no run, back of a length and zips through the channel, Azhar pushes and is beaten past the outside edge",
5.4,"Mohammad Sami to Azhar Ali, 2 runs, back of a length on middle, swiped over midwicket. Billings, who is not keeping today, sprints to his left from deep square and keeps it to two. Haddin has the gloves today",
