Ball,Commentary,Wicket
0.1,"Mir Hamza to Babar Azam, 1 run, good length, angled across, slashes on the up and gets a thick outside edge to third man",
0.2,"Mir Hamza to Sangakkara, no run, good length at off stump, goes forward and pushes into the off side",
0.3,"Mir Hamza to Sangakkara, 1 run, full at middle stump, punched to mid-on",
0.4,"Mir Hamza to Babar Azam, no run, yorker at off stump, digs it out and back to the bowler",
0.5,"Mir Hamza to Babar Azam, no run, full at leg stump, driven to mid-on",
0.6,"Mir Hamza to Babar Azam, 1 run, full and angled across off stump, looks to hit it inside-out over mid-off, gets the bottom and it lands safely to his left",
1.1,"Mills to Babar Azam, no run, back of a length at middle, jumps up to push it into the leg side",
1.2,"Mills to Babar Azam, no run, good length in the corridor, driven on the up to mid-off",
1.3,"Mills to Babar Azam, FOUR, short and wide, stands up tall and punches it beautifully between point and cover",
1.4,"Mills to Babar Azam, no run, full outside off stump, driven off the bottom of the bat to mid-off",
1.5,"Mills to Babar Azam, 1 run, full and angled into the pads, offers the full face before flicking it to mid-on's right",
1.6,"Mills to Sangakkara, FOUR, full outside off, leans in, maintains balance, and punches it classily past mid-off who puts in a chase but can't keep it in",
2.1,"Mir Hamza to Babar Azam, no run, good length in the corridor, defended off the front foot",
2.2,"Mir Hamza to Babar Azam, FOUR, good length, angled across from the corridor, but he stands tall and whips it against the angle through midwicket. What a talent, this guy",
2.3,"Mir Hamza to Babar Azam, no run, good length outside off, front foot defence to point",
2.4,"Mir Hamza to Babar Azam, 1 run, back of a length outside off, drops it into the gully region with soft hands",
2.5,"Mir Hamza to Sangakkara, SIX, good length at off stump, steps down the track and lifts it on the up, still head, over mid-on. Who needs Gayle?",
2.6,"Mir Hamza to Sangakkara, no run, good length in the corridor, pokes at it with no feet, beaten on the outside edge",
3.1,"Anwar Ali to Babar Azam, 2 runs, full at middle, whipped gracefully to deep square leg's left",
3.2,"Anwar Ali to Babar Azam, 1 run, good length, tailed down the leg side, glanced off the pads to deep square",
3.3,"Anwar Ali to Sangakkara, 1 run, good length outside off, pushed off the front foot to third man",
3.4,"Anwar Ali to Babar Azam, 2 runs, dropped! Yikes, that was embarrassing for Mahmudullah. Good length at off stump, tries to whip it on the up into the leg side, gets a leading edge and he runs backwards, looking right from mid-off, realizes the ball's to his left and makes a last ditch turn to try and catch, but completely misses it",
3.5,"Anwar Ali to Babar Azam, 1 run, good length at middle stump, flicked to deep square",
3.6,"Anwar Ali to Sangakkara, 3 runs, short and wide, shapes up to slap it over point, but has to check his shot as the ball sits in the pitch. Goes aerial anyway and lifts it over cover",
4.1,"Mohammad Nawaz to Sangakkara, no run, tossed up at off stump, defended back to the bowler",
4.2,"Mohammad Nawaz to Sangakkara, SIX, flighted at middle stump, steps out, stays still and unleashes the full flow of his arc to lift it over the midwicket boundary",
4.3,"Mohammad Nawaz to Sangakkara, 1 run, good length at leg stump, flatter this time, steps out, isn't to the pitch and punches uppishly to deep midwicket",
4.4,"Mohammad Nawaz to Babar Azam, no run, back of a length at off stump, goes back and punches straight to point",
4.5,"Mohammad Nawaz to Babar Azam, FOUR, flat and full, fired down the leg side, gets down and paddles it easily. He has six fielders on the off side who're wondering what they're doing there",
4.6,"Mohammad Nawaz to Babar Azam, no run, good length at leg stump, punched to midwicket",
5.1,"Mills to Sangakkara, no run, short and angled into the chest, he shapes up to hook this, cops it on the body",
5.2,"Mills to Sangakkara, no run, good length, angled in at middle stump, nudged to midwicket",
5.3,"Mills to Sangakkara, 2 runs, good length outside off, a lazy push at it that flies enticingly towards the fielders in the circle on the off side, but just about goes in the gap between point and cover. No control of that.",
5.4,"Mills to Sangakkara, 1 run, slower bouncer outside off, hangs back, waits for it and plays a short-arm jab to KP's right at short fine to bring up the fifty partnership",
5.5,"Mills to Babar Azam, no run, good length at middle stump, pushed to midwicket off the back foot",
