Ball,Commentary,Wicket
0.1,"Aamer Yamin to Simmons, 1 run, back of a length close to off stump, punched into the covers",
0.2,"Aamer Yamin to Nauman Anwar, no run, nips back in from off and taps back to the bowler",
0.3,"Aamer Yamin to Nauman Anwar, no run, length ball on off stump, lovely channel. Blocked!",
0.4,"Aamer Yamin to Nauman Anwar, no run, tad wide on off pole, kept a shade low too. Nauman gives everything but fails to put bat on to the ball",
0.5,"Aamer Yamin to Nauman Anwar, no run, on off corridor, pitched and swung away to fox his defence.",
0.6,"Aamer Yamin to Nauman Anwar, no run, brilliant! Length ball on off stump, no room whatsoever and dabbed back to the bowler",
1.1,"Tait to Simmons, 1 run, short, angling into the ribcage, tucked away into the square leg region",
1.2,"Tait to Nauman Anwar, FOUR, looks for the yorker and the length isn't quite full enough. Nauman simply flicks it away, up and over midwicket",
1.3,"Tait to Nauman Anwar, 1 run, short, angling into the body, pulled through backward square leg",
1.4,"Tait to Simmons, no run, back of a length outside off, Simmons looks to make room and carve it away but can't put bat to ball. His weight was moving away from the ball as he played the shot",
1.5,"Tait to Simmons, 1 run, fullish outside off, opened his bat face to steer it to the right of third man",
1.6,"Tait to Nauman Anwar, 1 run, back of a length on middle and leg, defended into the midwicket region",
2.1,"Aamer Yamin to Nauman Anwar, FOUR, shot! It's overpitched and wide of off, was there to be hit, but he did it very well, frees his arms for the sliced drive to the right of cover point",
2.2,"Aamer Yamin to Nauman Anwar, 1 run, short, angling down leg. Can't connect with the pull, ends up inside-edging it to the left of the keeper",
2.3,"Aamer Yamin to Simmons, no run, length ball wide of off, slapped to backward point",
2.4,"Aamer Yamin to Simmons, FOUR, fullish, and again he gives up too much width. Simmons frees his arms and slams it to the right of short cover",
2.5,"Aamer Yamin to Simmons, no run, slower ball outside off, clouts it hard to the left of midwicket, where Sammy makes a good diving stop",
2.6,"Aamer Yamin to Simmons, 1 run, full on middle and off, clipped to long-on",
3.1,"Tait to Simmons, no run, fuller now, but again the line is all wrong, slings this down the leg side, maybe clips the pad on its way through to the keeper after he misses the flick",
3.2,"Tait to Simmons, no run, very full on middle stump, makes a bit of room and plays a firm drive down to mid-off",
3.3,"Tait to Simmons, 1 run, full-toss angling into the body. Looks to club it away and it rolls softly into the leg side off the inner half of his bat",
3.4,"Tait to Nauman Anwar, no run, shortish on off stump, whipped to midwicket",
3.5,"Tait to Nauman Anwar, FOUR, on the pads, and that's asking for punishment with fine leg in the circle. Just flicks it away to the left of the fielder and it simply races away",
3.6,"Tait to Nauman Anwar, no run, slower ball outside off, saw Nouman making himself room. Had to wait on it and didn't get any pace to work with, just poked it to the fielder at point",
4.1,"Wahab Riaz to Simmons, OUT, And he strikes first ball! Simmons looks to make room to hit through the off side, and he doesn't get any width, it's fuller than he would like, and the ball is through him quicker than expected, before he can bring his bat down fully",['LMP Simmons b Wahab Riaz 9 (12b 1x4 0x6) SR: 75.00']
4.2,"Wahab Riaz to Vince, no run, length ball on off stump, gets forward for a checked push to wide mid-off",
4.3,"Wahab Riaz to Vince, 1 run, length ball on middle stump, pushed gently towards wide mid-off",
4.4,"Wahab Riaz to Nauman Anwar, no run, back of a length outside off, opens his bat face to steer to backward point",
4.5,"Wahab Riaz to Nauman Anwar, no run, slower ball outside off, Nauman slogs across the line, can't put bat to ball",
4.6,"Wahab Riaz to Nauman Anwar, no run, slower ball on off stump, gets forward and clips it into the leg side and the bowler moves quickly in his follow-through to cut it off",
5.1,"Mohammad Asghar to Vince, OUT, flat, angling into off stump, lets it come on and dabs towards short third man. They take on the fielder, and it's not the greatest decision as Shahid Yousuf fires in a direct hit that finds Nouman short of the crease at the keeper's end, even though he dives to get home",
5.2,"Mohammad Asghar to Imad Wasim, no run, sharp turn into him as he looks to make room, ends up blocking to short cover",['Nauman Anwar run out 14 (16b 3x4 0x6) SR: 87.50']
5.3,"Mohammad Asghar to Imad Wasim, OUT, down the track now, heaves across the line and miscues to midwicket. And what's happened here? There's another appeal for a run-out. It's gone to the third umpire. Terrible running from Imad. I can't really call it running, because he was simply walking the run, and the fielder saw this and fired in a throw at the non-striker's end. Imad doesn't ground his bat, simply looks to step into the crease, and he's out by a fair distance",
5.4,"Mohammad Asghar to Vince, no run, full on middle and off, blocked back to the bowler",
5.5,"Mohammad Asghar to Vince, FOUR, shortish outside off, and that's a fantastic shot, makes a bit of room and uses the pace to steer the ball through point. There's no one back at sweeper cover",['Imad Wasim run out 0 (2b 0x4 0x6) SR: 0.00']
5.6,"Mohammad Asghar to Vince, 1 run, flat, angling into the pads, clipped to the left of short fine leg",
6.1,"Shahid Afridi to Vince, 1 run, fullish outside off, and Vince looks to drive through cover. Ends up inside-edging into the short fine leg region",
6.2,"Shahid Afridi to Shoaib Malik, no run, tossed up on a good length outside off, stretches out to push to cover",
6.3,"Shahid Afridi to Shoaib Malik, SIX, sees him coming down the track and looks to bowl it wider and out of Malik's reach, but it's not wide enough for that. Ends up giving him plenty of swinging room and he launches it cleanly over long-off",
6.4,"Shahid Afridi to Shoaib Malik, no run, quicker and closer to off stump, pushed back to the bowler",
