Ball,Commentary,Wicket
0.1,"Russell to Tamim Iqbal, no run, full and wide outside off, driven to cover",
0.2,"Russell to Tamim Iqbal, no run, length ball on off and fends to point",
0.3,"Russell to Tamim Iqbal, 1 run, saunter down the track and slaps to point, single!",
0.4,"Russell to Mohammad Hafeez, no run, pitched up on off and pushed back to the bowler.",
0.5,"Russell to Mohammad Hafeez, no run, back of a length, on middle and leg, Hafeez sways away.",
0.6,"Russell to Mohammad Hafeez, SIX, shot boy! Bangs in short on middle and off, Hafeez swivels and pulls and it sails over fine leg. On the roof again.",
1.1,"Mohammad Sami to Tamim Iqbal, no run, full on off and punched to cover",
1.2,"Mohammad Sami to Tamim Iqbal, FOUR, down the track and thwacked on the up through cover region. Sheer authority.",
1.3,"Mohammad Sami to Tamim Iqbal, no run, length ball on off stump, slower one too and fends in front of cover.",
1.4,"Mohammad Sami to Tamim Iqbal, 1 run, tad fuller on off stump and punched to mid-off, scampered for a quick single.",
1.5,"Mohammad Sami to Mohammad Hafeez, no run, full, on off and solid in defence.",
1.6,"Mohammad Sami to Mohammad Hafeez, 2 runs, alters his length back a bit and runs it down to third man. They pinch an extras run via a little fumble.",
2.1,"Russell to Tamim Iqbal, 1 run, slower one, slanting down the leg and nudged to backward square leg",
2.2,"Russell to Mohammad Hafeez, no run, full and angled in. Thuds on his pad and rolled towards short third man region. Tamim fancies a run but sent back. Fielder hurls in a throw at the bowlers end but he's well in.",
2.3,"Russell to Mohammad Hafeez, FOUR, tad short, on middle and leg, swiveled and pulled to long-leg region.",
2.4,"Russell to Mohammad Hafeez, no run, full on off stump and digs it out",
2.5,"Russell to Mohammad Hafeez, FOUR, low full toss on off stump and opens his wrists and places it past cover",
2.6,"Russell to Mohammad Hafeez, FOUR, short and wide on off stump, slapped over point this time around. Big over for Zalmi.",
3.1,"Rumman Raees to Tamim Iqbal, no run, length ball on off stump. Blocked to cover region.",
3.2,"Rumman Raees to Tamim Iqbal, 1 run, tight line on off stump, nudged to on side for a single",
3.3,"Rumman Raees to Mohammad Hafeez, no run, full on off stump and eased into cover.",
3.4,"Rumman Raees to Mohammad Hafeez, 1 run, slow and full, tickled to short fine leg for a quick single.",
3.5,"Rumman Raees to Tamim Iqbal, 1 run, angled in on off and tucked to deep mid wicket for a run",
3.6,"Rumman Raees to Mohammad Hafeez, FOUR, beats the man. Tad wide on off stump, he waits on the back foot and dabs it past shot third man.",
4.1,"Mohammad Sami to Tamim Iqbal, no run, saw him coming and followed him. Cuts him in half and a great take by Haddin.",
4.2,"Mohammad Sami to Tamim Iqbal, no run, down the track and tried it hit that out of Sharjah, mistimed to point and Hafeez was fancing a run",
4.3,"Mohammad Sami to Tamim Iqbal, 1 run, pushed to off side for a single",
4.4,"Mohammad Sami to Mohammad Hafeez, OUT, he's gone! Length ball on off stump and tried to heave it over long-on but only managed a top edge. Misbah at mid-on settled underneath the ball and pouches it",['Mohammad Hafeez c Misbah-ul-Haq b Mohammad Sami 25 (14b 4x4 1x6) SR: 178.57']
4.5,"Mohammad Sami to Tamim Iqbal, 1 run, full on middle and leg, whipped to long-leg for a single",
4.6,"Mohammad Sami to Allenby, no run, length ball on off stump and fends to cover",
5.1,"Saeed Ajmal to Tamim Iqbal, FOUR, shot! Saunters down the track and drives inside out through cover. Shoot of the day.",
5.2,"Saeed Ajmal to Tamim Iqbal, 1 run, flatter on off and cuts to point for a quick single.",
5.3,"Saeed Ajmal to Allenby, 1 run, tad fuller on off and nudged to deep mid wicket for a single",
