Ball,Commentary,Wicket
0.1,"Mohammad Amir to Sharjeel Khan, 1 run, back of a length outside off, punched away through point",
0.2,"Mohammad Amir to Russell, no run, back of a length on middle stump, blocked into the on side",
0.3,"Mohammad Amir to Russell, no run, back of a length, angling away from off stump, opens up Russell on the back-foot defensive and beats his outside edge",
0.4,"Mohammad Amir to Russell, FOUR, full now, following Russell's cleared front leg, and he manages to find swinging room to whip powerfully to the left of deep square leg",
0.5,"Mohammad Amir to Russell, no run, short, rising ball over off stump, Russell can't connect with the pull",
0.6,"Mohammad Amir to Russell, FOUR, length ball on off and middle. Russell looks to make room and carve over the covers, gets a thick edge instead that flies over the slips",
1.1,"Sohail Khan to Sharjeel Khan, no run, full, a bit of movement into Sharjeel to cramp him up. Looks to swipe into the leg side and only manages an inside-edge onto his pad",
1.2,"Sohail Khan to Sharjeel Khan, OUT, full, a bit of swing into middle stump. Clips it, times it well, but hits it uppishly and straight to midwicket",['Sharjeel Khan c Shahzaib Hasan b Sohail Khan 1 (3b 0x4 0x6) SR: 33.33']
1.3,"Sohail Khan to Haddin, no run, fullish outside off, blocked to short cover",
1.4,"Sohail Khan to Haddin, FOUR, full on off stump and that's a typical Haddin shot. Clears his front leg to free some room for his arms, and swings freely through the line to drill it wide of mid-off",
1.5,"Sohail Khan to Haddin, no run, back of a length in the corridor, a bit of outswing, beats Haddin's attempted late dab",
1.6,"Sohail Khan to Haddin, no run, length ball on off stump, driven on the up but straight to mid-off this time",
2.1,"Mohammad Amir to Russell, no run, bouner, Russell ducks under it",
2.2,"Mohammad Amir to Russell, no run, another bouncer, Russell shapes to hook but it's too quick for him, forcing himself to duck again",
2.3,"Mohammad Amir to Russell, SIX, full on off stump and that is right in Russell's slot. Get his front leg out of the way and launches it over mid-off, such a clean hit",
2.4,"Mohammad Amir to Russell, no run, another bouncer, and Russell falls to the floor as he ducks hurriedly under it. This didn't get up as high and isn't officially a bouncer - ie, not above shoulder height",
2.5,"Mohammad Amir to Russell, no run, another bouncer, Russell has a swing at it this time, attempting a hook, and can't put bat to ball. Too quick for him, and he's taken his eyes off the ball",
2.6,"Mohammad Amir to Russell, OUT, yorker outside off, and Russell is out hit-wicket! Was going deep in his crease, possibly as a reaction to all those bouncers, and ended up smashing his own stumps he looked to jam his bat down on the ball",
3.1,"Sohail Khan to Haddin, no run, slower ball on off stump, pushed back to the bowler",['AD Russell hit wicket b Mohammad Amir 14 (11b 2x4 1x6) SR: 127.27']
3.2,"Sohail Khan to Haddin, OUT, oh my. That's a short ball on off stump, only rising to waist height, and Haddin could have pulled it anywhere. He's picked out midwicket instead, and Islamabad are stumbling here. Excellent catch. Timed the leap perfectly and took it with both hands over his head",
3.3,"Sohail Khan to Misbah-ul-Haq, no run, length ball, a bit of movement in towards off stump, gets forward for a perfect forward defensive into the covers",
3.4,"Sohail Khan to Misbah-ul-Haq, no run, back of a length outside off, poked towards point",['BJ Haddin c Shakib Al Hasan b Sohail Khan 4 (6b 1x4 0x6) SR: 66.66']
3.5,"Sohail Khan to Misbah-ul-Haq, FOUR, back of a length outside off, steered to third man, looking for the single, and Amir fumbles, a bit of awkward bounce as he bent down to field it, and the ball slips past him and into the boundary",
3.6,"Sohail Khan to Misbah-ul-Haq, no run, back of a length outside off, blocked towards backward point",
4.1,"Mohammad Amir to Khalid Latif, no run, length ball angling away from off stump, and it beats Latif's uncertain poke",
4.2,"Mohammad Amir to Khalid Latif, no run, back of a length on off stump, blocked back to the bowler",
4.3,"Mohammad Amir to Khalid Latif, no run, length ball close to off stump, blocked into the covers",
4.4,"Mohammad Amir to Khalid Latif, no run, beauty. Shifts his line a bit wider and beats the outside edge, as Latif fails to get his front shoulder around and his front foot across in time",
4.5,"Mohammad Amir to Khalid Latif, no run, wider and fuller and a big appeal for caught behind. Chased away from his body and missed. The sound was bat hitting ground",
4.6,"Mohammad Amir to Khalid Latif, no run, back of a length on off stump, jabbed to backward point",
5.1,"Sohail Khan to Misbah-ul-Haq, 1 run, back of a length outside off, steered to third man",
5.2,"Sohail Khan to Khalid Latif, no run, length ball outside off, poked to cover point",
5.3,"Sohail Khan to Khalid Latif, no run, length ball on off stump, not much footwork from Latif, blocks it back to the bowler, playing from the crease",
5.4,"Sohail Khan to Khalid Latif, SIX, fullish outside off, gives him a bit of swinging room, and he just stands there, stands still, and swings through the line to launch it over mid-on",
5.5,"Sohail Khan to Khalid Latif, no run, length ball outside off, slapped to cover point",
5.6,"Sohail Khan to Khalid Latif, 2 runs, short outside off, pulled away to the right of midwicket and the left of deep backward square leg",
6.1,"Mir Hamza to Misbah-ul-Haq, 1 run, back of a length outside off, dabbed to third man",
6.2,"Mir Hamza to Khalid Latif, no run, back of a length on off stump, punched to the right of short extra cover, who moves quickly to cut off the single",
6.3,"Mir Hamza to Khalid Latif, no run, shorter now, hits him on the body as he shuffles across and looks to work it through square leg",
6.4,"Mir Hamza to Khalid Latif, SIX, short ball outside leg, and Latif has just helped it on its way for six. Steps across and whips it away to the right of that man at deep backward square leg",
6.5,"Mir Hamza to Khalid Latif, 1 run, length ball on off stump, lets it come on for the push to deep point",
6.6,"Mir Hamza to Misbah-ul-Haq, 2 runs, back of a length on off stump. Takes a big step across and works it into the square leg region",
7.1,"Usama Mir to Khalid Latif, FOUR, tossed up outside off and Latif launches it over the covers, doesn't really middle it, but gets it into the gap between sweeper cover and long-off",
7.2,"Usama Mir to Khalid Latif, 1 run, back of a length outside off, punched to the right of backward point",
7.3,"Usama Mir to Misbah-ul-Haq, 1 run, back of a length on middle stump. Misbah goes deep in his crease to tuck it away through square leg",
7.4,"Usama Mir to Khalid Latif, 1 run, quicker ball on middle and leg. Catches Latif on the crease, but he jams his bat down and squeezes it into the square leg region",
7.5,"Usama Mir to Misbah-ul-Haq, FOUR, back of a length close to off stump and Misbah exploits the field. There's no one in the third man region - just a slip - and he reverse-slaps it away, with the turn, and picks up four",
7.6,"Usama Mir to Misbah-ul-Haq, no run, tossed up full on off stump, blocked into the covers",
8.1,"Shakib Al Hasan to Khalid Latif, no run, tossed up outside off, presses forward and defends into the off side",
8.2,"Shakib Al Hasan to Khalid Latif, no run, shorter now, slapped into the covers",
8.3,"Shakib Al Hasan to Khalid Latif, SIX, flighted ball outside off, and again Latif spots the swinging room and used it to launch cleanly over the long-on boundary",
8.4,"Shakib Al Hasan to Khalid Latif, 1 run, back of a length, sliding on towards off stump. Steps back and across and nudges it into the midwicket region",
8.5,"Shakib Al Hasan to Misbah-ul-Haq, no run",
8.6,"Shakib Al Hasan to Misbah-ul-Haq, 1 run, back of a length, slapped away to sweeper cover",
9.1,"Usama Mir to Misbah-ul-Haq, 1 run, full on leg stump, clipped through square leg",
9.2,"Usama Mir to Khalid Latif, no run, tossed up on off stump, blocked into the off side",
9.3,"Usama Mir to Khalid Latif, 1 run, full on off stump, driven to long-off",
9.4,"Usama Mir to Misbah-ul-Haq, 1 run, flighted ball outside off, presses forward for a checked drive to long-off",
9.5,"Usama Mir to Khalid Latif, 1 run, length ball on middle stump, gets forward, slightly inside the line, for a checked push to the left of extra cover",
