Ball,Commentary,Wicket
0.1,"Sohail Tanvir to Asad Shafiq, no run, starts on a full length, gets his natural away movement. Easily played into the off side, towards cover",
0.2,"Sohail Tanvir to Asad Shafiq, 1 run, a tad straighter, still full. Not much swing. Just a little bit of away seam movement, outside-edged down to third man",
0.3,"Sohail Tanvir to Ahmed Shehzad, 1 run, nice stroke. A tad short this time, short and wide. Scythed down to third man for a run. Played that late",
0.4,"Sohail Tanvir to Asad Shafiq, 1 run",
0.5,"Sohail Tanvir to Ahmed Shehzad, 1 run, good stuff. Full again, in a good channel just outside off, carved down to third man with an angled bat",
0.6,"Sohail Tanvir to Asad Shafiq, no run, straying down leg, rapped on the pad. Full delivery on Shafiq's pads, he fails to make contact. An optimistic appeal is quickly aborted",
1.1,"Mohammad Irfan to Ahmed Shehzad, no run, a bit of a whirry action. Full and straight to start, defended towards mid-off",
1.2,"Mohammad Irfan to Ahmed Shehzad, 1 leg bye, on the pads again, Shehzad misses a flick. Off the pad towards square leg",
1.3,"Mohammad Irfan to Asad Shafiq, 1 run, too straight yet again, worked away through square leg for one",
1.4,"Mohammad Irfan to Ahmed Shehzad, 1 run, lovely line, but well played too. Full and straight, prodded away towards cover for a quick run",
1.5,"Mohammad Irfan to Asad Shafiq, FOUR, goes over mid-on this time. Again, full. Again, straight. Predictable. Shafiq goes up and over mid-on. Easy",
1.6,"Mohammad Irfan to Asad Shafiq, no run, looks to go over again, fails to time it. Full outside off. Shafiq mis-times his drive to mid-off",
2.1,"Sohail Tanvir to Ahmed Shehzad, no run, nice line, nagging away around off, blocked",
2.2,"Sohail Tanvir to Ahmed Shehzad, 2 runs, good length around middle, jabbed to midwicket for a couple. But is he quick enough? Shafiq needed a full-length dive and that saved him. Kept the bat face pointing up. Good effort from Shafiq.",
2.3,"Sohail Tanvir to Ahmed Shehzad, OUT, given! A bouncer down leg, Shehzad tries to get outside the line and help the ball down to fine leg. But can't get bat on his stroke, just glove. A simple catch for the keeper and Lahore strike! Beaten by some extra bounce",['Ahmed Shehzad c †Mohammad Rizwan b Sohail Tanvir 5 (8b 0x4 0x6) SR: 62.50']
2.4,"Sohail Tanvir to Pietersen, 2 runs, comes down to Tanvir and flamingo-flicks him through midwicket for a couple. Proactive stuff from KP. Lovely shot, great timing",
2.5,"Sohail Tanvir to Pietersen, 1 leg bye, big appeal. On the pads, KP misses a flick, the ball ricochets towards short fine leg. Pitched way outside leg",
2.6,"Sohail Tanvir to Asad Shafiq, no run, full and wide outside off, slapped away with bad timing to cover.",
3.1,"Narine to Pietersen, no run, the carrom ball to start. Full outside off, KP looks to turn the ball through midwicket, but gets a leading edge to cover",
3.2,"Narine to Pietersen, no run, short and wide this time, slashed to extra cover",
3.3,"Narine to Pietersen, 1 run, a touch straighter and fuller, Pietersen nails his sweep to deep backward square leg",
