Ball,Commentary,Wicket
0.1,"Zulfiqar Babar to Roy, no run, nice start, flat outside off, played towards point",
0.2,"Zulfiqar Babar to Roy, FOUR, out goes the reverse sweep. Roy gets low and gets the ball to clear short third man. Clears the fielder comfortably",
0.3,"Zulfiqar Babar to Roy, SIX, that's the first six. Roy runs down to the pitch, gets there and just lofts the ball over mid-on. Easy as ...",
0.4,"Zulfiqar Babar to Roy, no run, flat on middle, blocked this time",
0.5,"Zulfiqar Babar to Roy, no run, strays down leg this time, played away towards short fine leg",
0.6,"Zulfiqar Babar to Roy, no run, stops in the surface. Flat delivery on middle and leg, Roy pops the ball back",
1.1,"Mills to McCullum, 1 run, good length outside off, tapped towards third man with an angled bat",
1.2,"Mills to Roy, FOUR, guided away, just past slip. Good length outside off from over the wicket, the ball moving away. Roy carves the ball past slip for four",
1.3,"Mills to Roy, FOUR, another boundary. Good length on middle, Roy pulls, doesn't keep it down. Sits up for Roy to hammer through midwicket",
1.4,"Mills to Roy, no run, whoa. Terrible communication from Roy. Good length on middle and leg, worked to square leg. Roy calls for one, realises there is no run, and sends McCullum back. Anwar Ali misses at the bowler's end. Hung him out to dry there did Roy.",
1.5,"Mills to Roy, no run, on a length outside off, defended",
1.6,"Mills to Roy, FOUR, very slow, short. Roy slaps the ball in front of cover for four. Just too easy. Poor bowling that",
2.1,"Zulfiqar Babar to McCullum, 1 run, just a tad short and McCullum is all over it. Pulls to deep square leg, picks out the sole man there",
2.2,"Zulfiqar Babar to Roy, FOUR, another boundary. Flat on off, Roy gets down and clears the fielder at short third man. Sweep ball-striking. One of his easier shots",
2.3,"Zulfiqar Babar to Roy, 1 run, flat on off, drilled to long-off",
2.4,"Zulfiqar Babar to McCullum, FOUR, four more. McCullum runs down and swipes the ball over midwicket, on the bounce and over.",
2.5,"Zulfiqar Babar to McCullum, 1 run, slightly short on middle and leg, pulled to deep square leg for a run",
