Ball,Commentary,Wicket
0.1,"Hasan Ali to Babar Azam, no run, back of a length and outside off, punched crisply but can't beat backward point",
0.2,"Hasan Ali to Babar Azam, no run, overpitched and outside off, another crisp stroke. Driven on the front foot straight to cover-point",
0.3,"Hasan Ali to Babar Azam, no run, short on off, skids on and cramps the batsman for room. Fended back to Hasan",
0.4,"Hasan Ali to Babar Azam, no run, nice and full on off, Azam is on the move as he drives it back to the bowler",
0.5,"Hasan Ali to Babar Azam, no run, back of a length and outside off, bunted to cover-point. The off-side ring is well populated",
0.6,"Hasan Ali to Babar Azam, 1 run, no maiden. Good length and outside off, jabbed down to mid-on",
1.1,"Jordan to Babar Azam, OUT, Babar Azam holes out to mid-off! Short and outside off, Babar looks to pull over the leg side. Ends up losing his shape and scooping a simple catch to mid-off. The pressure of dots probably got to him",['Babar Azam c Wahab Riaz b Jordan 1 (7b 0x4 0x6) SR: 14.28']
1.2,"Jordan to Sangakkara, no run, back of a length and slanting away outside off, opens the face and runs it to point",
1.3,"Jordan to Sangakkara, no run, full on middle, Sanga eyes up the leg side, gets a soft leading edge that rolls to cover",
1.4,"Jordan to Sangakkara, 1 run, sweetly flicked off the pads to deep square leg",
1.5,"Jordan to Gayle, no run, full and angling across off, Gayle shoulders arms",
1.6,"Jordan to Gayle, no run, very full on off, jabbed down to mid-off",
2.1,"Hasan Ali to Sangakkara, no run, full and outside off, driven to mid-off",
2.2,"Hasan Ali to Sangakkara, 1 run, back of a length on off, worked to straight midwicket, where the fielder fumbles",
2.3,"Hasan Ali to Gayle, no run, full on leg stump, poked to point",
2.4,"Hasan Ali to Gayle, no run, short and outside off, leans back and punches to cover",
2.5,"Hasan Ali to Gayle, no run, full awaycutter outside off, Gayle has a waft at it, gets an edge, which does not carry to the keeper",
2.6,"Hasan Ali to Gayle, no run, another slower cutter, swerves away outside off, this beats the outside edge",
3.1,"Mohammad Hafeez to Sangakkara, no run, full, straight ball, no spin, poked back to the bowler off an inside edge",
3.2,"Mohammad Hafeez to Sangakkara, SIX, tossed up on off, Sanga uses his feet, meets the pitch and lofts it stylishly over mid-on who is inside the circle. First boundary of the innings",
3.3,"Mohammad Hafeez to Sangakkara, 1 run, Sanga shows his ace early. Skips out, Hafeez shortens his length. Adjusts and whips to deep midwicket",
3.4,"Mohammad Hafeez to Gayle, no run, full and skids in towards leg stump, beats the inside edge and raps the pad",
3.5,"Mohammad Hafeez to Gayle, 1 leg bye, Gayle uses his feet now, Hafeez pulls his length back and pings the pad again. The ball rolls square through the leg side",
3.6,"Mohammad Hafeez to Sangakkara, 1 run, flatter and faster on off, clipped down to long-on for one",
4.1,"Wahab Riaz to Sangakkara, no run, back of a length and outside off, punchily driven to Afridi at cover",
4.2,"Wahab Riaz to Sangakkara, FOUR, Sanga forces the pace. He charges out again, the bowler dragged his length back. But Sanga still creamed it over cover",
4.3,"Wahab Riaz to Sangakkara, 1 run, back of a length on off, punched more or less straight to Afridi at cover. They take on Afridi's arm. Sanga pushes Gayle and gets the single",
4.4,"Wahab Riaz to Gayle, 1 run, full slower ball on middle, dabbed to midwicket. Gayle gets off the mark after nine balls",
4.5,"Wahab Riaz to Sangakkara, OUT, 140.5ks short delivery outside off. Sanga is beaten for pace. He is late onto the pull. Ends up skying a catch off the top edge to Samuels at point. Karachi's chase going nowhere",
4.6,"Wahab Riaz to Gayle, no run, pitched up and outside off, Gayle does not move his feet much. He is happy to push the ball to cover",['KC Sangakkara c Samuels b Wahab Riaz 15 (13b 1x4 1x6) SR: 115.38']
5.1,"Jordan to Shoaib Malik, OUT, Hafeez throws himself to his left from mid-on and completes a sprawling catch. Karachi three down. Malik is waiting near the edge of the boundary as the umpires check for a possible no-ball. Jordan is fine. Malik has to go. Full on off stump, Malik lofts half-heartedly and chips it to mid-on. Soft, soft dismissal",
5.2,"Jordan to Bopara, no run, good length and outside off, ignored",
5.3,"Jordan to Bopara, no run, Bopara runs down the track and belts a length ball to cover. Can't beat Samuels",['Shoaib Malik c Mohammad Hafeez b Jordan 0 (1b 0x4 0x6) SR: 0.00']
5.4,"Jordan to Bopara, 1 run, Bopara stands up tall to meet this short ball outside off. Punched in front of mid-on for one",
5.5,"Jordan to Gayle, 1 run, back of a length and just outside off, short-arm jabbed away to deep midwicket",
5.6,"Jordan to Bopara, 1 run, back of a length on middle and leg, hangs back and works it into the vacant spaces at midwicket",
6.1,"Mohammad Hafeez to Bopara, no run, non-turning offbreak on off, punched back to Hafeez",
6.2,"Mohammad Hafeez to Bopara, no run, down the track and forced to midwicket",
6.3,"Mohammad Hafeez to Bopara, 1 run, tossed full on off, whipped with the wrists to long-on",
6.4,"Mohammad Hafeez to Gayle, no run, Gayle uses his feet, Hafeez darts in a short ball - 100ks - Gayle plays across the line and is pinned high on the pad",
6.5,"Mohammad Hafeez to Gayle, no run, Gayle shimmies out, meets a short ball and plays it back",
6.6,"Mohammad Hafeez to Gayle, no run, Gayle uses his feet again, Hafeez darts in a yorker. Squeezed back to the bowler",
7.1,"Shahid Afridi to Bopara, no run, looped up full on off, pushed back to Afridi",
7.2,"Shahid Afridi to Bopara, 3 runs, dropped short and wide outside off, goes back and cracks a cut. Wahab runs across to his right from sweeper cover and makes a smart stop, dragging the ball into the field of play.",
7.3,"Shahid Afridi to Gayle, no run, 101.1ks dart on the leg stump, Gayle misses the pull, the ball lobs up into the hands of Afridi off the thigh pad",
7.4,"Shahid Afridi to Gayle, SIX, dug in short on the leg stump, Gayle finally loosens the shackles. Hammers a pull towards deep square leg, Wahab attempts to swat it back into the field of play. No dice. Six it is",
7.5,"Shahid Afridi to Gayle, 1 run",
7.6,"Shahid Afridi to Bopara, no run, ripping legbreak from Afridi. Starts around off and snakes away past the outside edge",
8.1,"Mohammad Hafeez to Gayle, 1 run, Gayle skips down the track and flicks a single to short fine leg",
8.2,"Mohammad Hafeez to Bopara, OUT, Bopara skips down the track. Hafeez duly shortens his length. This one slides away wide outside off with the angle from around the wicket. Bopara reaches out but can't touch the ball. Kamran does the rest behind the stumps",
8.3,"Mohammad Hafeez to Pollard, FOUR, Hafeez flights this on off stump, Pollard has to go after it right away. He carves it over cover",
8.4,"Mohammad Hafeez to Pollard, no run, really full ball on off, pushed back to the bowler",
8.5,"Mohammad Hafeez to Pollard, 1 run, low full-toss on the legs, clipped to long-on",['RS Bopara st †Kamran Akmal b Mohammad Hafeez 6 (11b 0x4 0x6) SR: 54.54']
8.6,"Mohammad Hafeez to Gayle, 1 run, dances out, meets a full ball on middle and whips a single to deep midwicket",
9.1,"Shahid Afridi to Gayle, FOUR, pushed through outside off, Gayle plants his front leg and hammers it past the bowler",
9.2,"Shahid Afridi to Gayle, 1 run, slider outside off, pushed to cover",
9.3,"Shahid Afridi to Pollard, 1 run, short and outside off, Pollard stands tall and punches to cover",
9.4,"Shahid Afridi to Gayle, SIX, Gayle puts Afridi into the stands beyond midwicket. Length and outside off, goes low and smites a slog-sweep",
9.5,"Shahid Afridi to Gayle, SIX, seam-up bouncer outside off, swat-pulled away over square leg for back-to-back sixes. Gayle and Karachi Kings spring back to life",
9.6,"Shahid Afridi to Gayle, no run, tossed on the leg stump, attempts a slog-sweep and inside-edges to short fine leg. 35 off the last three overs. Can Gayle and Pollard pull off a Houdini act",
10.1,"Sammy to Pollard, 1 run, that's a stinger. Afridi is bleeding. Bursts through his hands. Has Afridi split his webbing? He rushes off the field. Slower full ball outside off, Pollard smashes it to Afridi at cover",
10.2,"Sammy to Gayle, 1 run, fuller one on off, Gayle wants to smack it over the covers, but this skews off the outside edge to deep third man",
10.3,"Sammy to Pollard, FOUR, dug in short and outside off, half-tracker, Pollard unleashes a powerful pull and sends it to the long-on fence",
10.4,"Sammy to Pollard, 1 run, full on the stumps, belted to long-on",
10.5,"Sammy to Gayle, SIX, full on middle and leg, Gayle plonks his front leg forward and lifts it over wide long-on",
10.6,"Sammy to Gayle, 1 run, overpitched and outside off, Gayle drops to one knee and drills it to long-off. From 2 off 15, Gayle has sprinted to 36 off 27",
11.1,"Wahab Riaz to Gayle, 1 run, slower short ball outside off, Gayle checks his shot and dabs it to point with soft hands",
11.2,"Wahab Riaz to Pollard, 1 run, short and angling away outside off, Pollard opens the face and steers a single to third man",
11.3,"Wahab Riaz to Gayle, FOUR, ripping yorker outside off, Gayle is late to bring his bat down. He gets an inside edge, which hits the leg stump and believe it or not sneaks away to the fine leg boundary. The zing bails did not light up, did not budge at all",
11.4,"Wahab Riaz to Gayle, no run, very full and outside off, jammed out to short third man",
11.5,"Wahab Riaz to Gayle, OUT, Wahab delivers the killer blow. The zing bails light up now and Wahab lets out a big roar. Rapid yorker, Gayle is beaten for pace. Wahab hits the leg stump again. This one does the job for Peshawar. Karachi coach Arthur throws his head back in despair",
11.6,"Wahab Riaz to Imad Wasim, no run, length and outside off, guided to point",
12.1,"Mohammad Asghar to Pollard, SIX, tossed up on middle, Pollard opens up his shoulders and wallops it over the bowler's head. Into the top tier",
12.2,"Mohammad Asghar to Pollard, 2 runs, short on the leg stump, whipped between deep square and deep midwicket",
12.3,"Mohammad Asghar to Pollard, 1 run, dropped short on the leg stump, punched down to long-on",['CH Gayle b Wahab Riaz 40 (31b 2x4 4x6) SR: 129.03']
12.4,"Mohammad Asghar to Imad Wasim, 1 run, short on the pads, clipped away square through the leg side",
12.5,"Mohammad Asghar to Pollard, SIX, Asghar gives it some air again. Dangles it wide outside off, Pollard drops to one knee, reaches for the ball, and drags it high and over long-on for another six",
12.6,"Mohammad Asghar to Pollard, 1 run, good length ball drifts in on middle, nurdled behind square leg for one",
13.1,"Jordan to Pollard, SIX, length ball outside off, Pollard sizes it up and punches it into orbit. Whoa! The ball drops onto the straight boundary",
13.2,"Jordan to Pollard, FOUR, full and wide outside off, flat-batted away powerfully past sweeper cover's right. That flew to the boundary even though the bottom hand came off the bat",
13.3,"Jordan to Pollard, 1 run, short and angled in on off, Pollard was hanging on the back foot for it. Works a single to the square-leg region",
13.4,"Jordan to Imad Wasim, 1 run, full and angling away outside off, Imad scythes a cut to deep point",
13.5,"Jordan to Pollard, no run",
13.6,"Jordan to Pollard, no run, Pollard shimmies out, this is short and shading outside leg. Pollard leaves it. Not a wide",
14.1,"Hasan Ali to Imad Wasim, 1 run, full and outside off, Imad charges out and flashes to deep cover",
14.2,"Hasan Ali to Pollard, 1 run, Pollard manufactures swinging room by moving outside leg. Short, he attempts a punch and finds long-on",
14.3,"Hasan Ali to Imad Wasim, 2 runs, back of a length and outside off, Imad flicks his wrists, picks the ball up in the gap between deep midwicket and long-on",
14.4,"Hasan Ali to Imad Wasim, 2 runs, shortish on middle, shovelled away between deep midwicket and long-on again",
14.5,"Hasan Ali to Imad Wasim, SIX, nice and full outside off, slower ball, Imad gets into the act. Clears his front leg and smears Hasan Ali over mid-off who is inside the circle",
14.6,"Hasan Ali to Imad Wasim, 1 run, Imad shimmies out and yorks himself. Squeezes a single to mid-off",
15.1,"Wahab Riaz to Imad Wasim, no run, Wahab slings it very full and wide outside off. Imad reaches out for the ball and misses. Legal ball",
15.2,"Wahab Riaz to Imad Wasim, 1 run, slower short ball on off, Imad flat-bats it to long-on",
15.3,"Wahab Riaz to Pollard, 1 leg bye, short and angling into the hips from around the stumps, deflected to square leg",
15.4,"Wahab Riaz to Imad Wasim, FOUR, very full and wide outside off, Imad reaches out for the ball, connects with this and scythes this up and over Hafeez at backward point",
15.5,"Wahab Riaz to Imad Wasim, no run, Wahab goes shorter and outside off, swing and a miss from Imad",
15.6,"Wahab Riaz to Imad Wasim, 1 run, pitched up and outside off, driven to cover",
16.1,"Hasan Ali to Imad Wasim, no run, wide yorker, that's the length in these slog overs - Imad is beaten for pace. Can't make contact with the ball",
16.2,"Hasan Ali to Imad Wasim, 1 run, full-toss on middle, sliced to cover",
16.3,"Hasan Ali to Pollard, 1 run, very full and outside off, flat-batted to the right of mid-off. Wahab dishes out a full-length dive to stop it",
16.4,"Hasan Ali to Imad Wasim, 1 run, full-toss outside off, Imad goes low and slog-sweeps only as far as square leg",
16.5,"Hasan Ali to Pollard, 1 run, short of a length on off, shovel-pulled straight to deep midwicket.",
16.6,"Hasan Ali to Imad Wasim, 1 run, yorker on middle and leg, dug out to cover. Excellent over - just six off it",
17.1,"Wahab Riaz to Imad Wasim, 1 run, full and very wide outside off, sliced away to deep third man",
17.2,"Wahab Riaz to Pollard, no run, slower lifter outside off, beats Pollard on the hook",
17.3,"Wahab Riaz to Pollard, no run, Wahab ventures wide of the crease, slips in a slower ball, beats Pollard again. He is through with the shot early. The ball bounces twice before reaching Kamran behind the stumps",
17.4,"Wahab Riaz to Pollard, FOUR, back of a length and on off stump, Pollard biffs it away to the left of deep square leg. Muscular tug from the big man",
17.5,"Wahab Riaz to Pollard, OUT, Pollard goes and with it Karachi's hopes? Very full and wide outside off, Wahab forces Pollard to reach out for the ball. He throws his bat at it and thickly edges it behind. Kamran gulps it down. If Pollard had left that alone, it could have been an off-side wide",
17.6,"Wahab Riaz to Sohail Khan, 1 run, back of a length and outside off, carved away to short third man. The fielder fumbles, but that's just a single",
18.1,"Jordan to Sohail Khan, 1 run, pretty full and outside off, jabbed to cover",
18.2,"Jordan to Imad Wasim, OUT, really full and wide outside off again. Jordan asks Imad to reach out for the ball. The batsman does so and slices a cut to backward point. Good, diving catch from Hafeez",
18.3,"Jordan to Mohammad Amir, 1 run, yorker on off, outside-edged to deep third man",
18.4,"Jordan to Sohail Khan, 1 leg bye, very full on off, Sohail plays across the line and is pinned on the pad. Not given lbw by the umpire The ball rolls to cover and the batsmen pinch a leg bye. Kamran signals for a review. The ball brushed the front pad and then ricocheted onto the back pad. This is heading down leg. The on-field not-out call is upheld by the TV umpire",['KA Pollard c †Kamran Akmal b Wahab Riaz 47 (26b 4x4 3x6) SR: 180.76']
18.5,"Jordan to Mohammad Amir, FOUR, back of a length on middle, Amir slinks away outside the leg stump and goes over a leaping extra cover",
18.6,"Jordan to Mohammad Amir, 1 run, the left-hander backs away outside leg, Jordan follows him with a full slower ball, which is pushed past him",
19.1,"Sammy to Mohammad Amir, 1 run, full and wide outside off, carved in the air to deep point",
19.2,"Sammy to Sohail Khan, no run, slower dipping yorker on the off stump, Sohail can only dig it back to Sammy",['Imad Wasim c Mohammad Hafeez b Jordan 24 (19b 1x4 1x6) SR: 126.31']
19.3,"Sammy to Sohail Khan, 1 run, slower short ball outside off, slashed to cover. Sammy has his hand aloft. The celebrations begin in the Peshawar camp",
19.4,"Sammy to Mohammad Amir, no run, dug in short and outside off, Amir swings and only connects with thin air",
19.5,"Sammy to Mohammad Amir, 1 run, full slower ball on the off stump, slogged off the inside half to square leg",
19.6,"Sammy to Sohail Khan, 1 run, slower short ball outside off, pulled in the air, the man at deep midwicket tumbles and drops the catch. Peshawar, though, celebrate. Peshawar will face Quetta in the final in Lahore. Time for more selfies for Sammy's men. Peshawar take a lap of honour and thank the fans",
