Ball,Commentary,Wicket
0.1,"Mohammad Irfan to Azhar Ali, no run, back of a length outside off, chopped down to backward point",
0.2,"Mohammad Irfan to Azhar Ali, no run, shortish, rising up to stomach-height on off stump, blocked away into the leg side",
0.3,"Mohammad Irfan to Azhar Ali, no run, beauty. Length ball angling across Azhar, who doesn't get his front foot forward to defend, and it slides past his outside edge",
0.4,"Mohammad Irfan to Azhar Ali, 1 run, full on middle and off, pushed towards mid-off",
0.5,"Mohammad Irfan to Delport, 1 run, shortish, angling into the body, tucked away towards long leg",
0.6,"Mohammad Irfan to Azhar Ali, OUT, back of a length outside off, and Lahore lose an early wicket. Looks to open his bat face and dab towards third man, and ends up popping a simple catch to slip",['Azhar Ali c Azhar Mahmood b Mohammad Irfan 1 (5b 0x4 0x6) SR: 20.00']
1.1,"Rumman Raees to Delport, no run, length ball outside off, left alone",
1.2,"Rumman Raees to Delport, OUT, gone, and that's another catch at slip! Curves away gently from a good length in the corridor, and Delport lashes at it, looking to hit through cover without moving his feet, and the thick edge travels at a nice waist height to Azhar at first slip",
1.3,"Rumman Raees to Mohammad Rizwan, no run, back of a length, angling away from off stump, left alone",['CS Delport c Azhar Mahmood b Rumman Raees 1 (3b 0x4 0x6) SR: 33.33']
1.4,"Rumman Raees to Mohammad Rizwan, no run, fullish outside off, Rizwan's front foot doesn't move as he aims a drive into the covers, and it swings in and beats his inside edge",
1.5,"Rumman Raees to Mohammad Rizwan, no run, length ball on middle stump, defended to midwicket",
1.6,"Rumman Raees to Mohammad Rizwan, no run, back of a length, swinging in towards off stump, whipped to square leg",
2.1,"Mohammad Irfan to Sohaib Maqsood, 1 run, back of a length close to off stump. No footwork from Maqsood and he opens out while defending, gets a thick edge that doesn't quite carry to second slip",
2.2,"Mohammad Irfan to Mohammad Rizwan, no run, back of a length on middle and off, blocked into the covers",
2.3,"Mohammad Irfan to Mohammad Rizwan, no run, back of a length outside off, lets it come on and pokes it away to backward point. Looks for a single, and Maqsood sends him back, rightly so",
2.4,"Mohammad Irfan to Mohammad Rizwan, OUT, gone, three down. Short ball at the body, no room to free his arms as he looked to pull from chest height, and he got no power into the shot, only managed to pick out square leg",
2.5,"Mohammad Irfan to Umar Akmal, 1 run, length ball on off stump, dabbed towards third man. A strange shot, with his front foot coming forward in front of leg stump, and he was really in no position, but he adjusted, played late, and dabbed it away",
2.6,"Mohammad Irfan to Sohaib Maqsood, no run, back of a length on middle stump, blocked back to the bowler",['Mohammad Rizwan c Khalid Latif b Mohammad Irfan 0 (7b 0x4 0x6) SR: 0.00']
3.1,"Rumman Raees to Umar Akmal, 1 run, full on leg stump, clipped to long leg",
3.2,"Rumman Raees to Sohaib Maqsood, no run, back of a length outside off, left alone",
3.3,"Rumman Raees to Sohaib Maqsood, no run, fullish on off stump, driven to mid-off",
3.4,"Rumman Raees to Sohaib Maqsood, no run, length ball, swinging in towards off stump. Whipped to midwicket, didn't middle it at all, went off the inner half of his bat",
3.5,"Rumman Raees to Sohaib Maqsood, no run, fullish on off stump, gets a good stride forward and punches to short cover",
3.6,"Rumman Raees to Sohaib Maqsood, no run, full on middle and off, stays inside the line to drive inside-out towards point",
4.1,"Mohammad Irfan to Umar Akmal, no run, back of a length outside off, left alone",
4.2,"Mohammad Irfan to Umar Akmal, no run, shortish on off stump, jumps to ride the bounce, defends into the off side",
4.3,"Mohammad Irfan to Umar Akmal, no run, length ball slanting away outside off. Thinks of playing at it and decides at the last moment to leave",
4.4,"Mohammad Irfan to Umar Akmal, no run, shortish outside off, gets on top of the bounce and dabs it down to backward point",
4.5,"Mohammad Irfan to Umar Akmal, 1 run, length ball wide of off stump. Drives away from his body and gets a thick edge down to third man",
4.6,"Mohammad Irfan to Sohaib Maqsood, 2 runs, shortish on off stump and he opens up at the hip, clears his front leg, and muscles this away over mid-on. Doesn't properly middle it, and it doesn't roll all the way to the boundary",
5.1,"Azhar Mahmood to Umar Akmal, 2 runs, angles onto the pads and Akmal clips it away to the right of deep square leg",
5.2,"Azhar Mahmood to Umar Akmal, 1 run, back of a length on leg stump, lets it come on and works it to the right of midwicket",
5.3,"Azhar Mahmood to Sohaib Maqsood, SIX, length ball on middle stump and that is just dismissed. Doesn't move his feet, just opens up and whips it away over square leg",
5.4,"Azhar Mahmood to Sohaib Maqsood, FOUR, fullish, too much width, and Maqsood gets his head over the ball and carves it away over cover point",
5.5,"Azhar Mahmood to Sohaib Maqsood, 3 runs, short and wide now, and he stands up tall and slaps it away towards the cover boundary. Middled it, got it into the gap between cover point and extra cover, but it still slowed down as it neared the boundary, for some reason",
5.6,"Azhar Mahmood to Umar Akmal, no run, back of a length and this jags in off the pitch with extra bounce. Looks to make room but it follows him, and he's forced to take his bottom hand off his handle while fending the ball away into the off side",
6.1,"Ashar Zaidi to Sohaib Maqsood, 1 run, tosses it up onto a nice length outside off. Looks to drive and it grips and turns to take his outside edge and runs away towards third man",
6.2,"Ashar Zaidi to Umar Akmal, no run, floated up outside off, jabbed to point",
