Ball,Commentary,Wicket
0.1,"Mohammad Irfan to Wright, no run, pitched up and slanting away outside off, driven to mid-off",
0.2,"Mohammad Irfan to Wright, no run, banged in short on off, pulled in the air.... Does to carry. Badree dives to his right at square leg and stops the ball. He will have a bigger role to play with the ball",
0.3,"Mohammad Irfan to Wright, no run, Irfan generates extra lift outside off and beats Wright's cut",
0.4,"Mohammad Irfan to Wright, 2 runs, glanced off the pads to fine leg",
0.5,"Mohammad Irfan to Wright, no run, back of a length and extra bounce again, rushes onto the batsman and hits the pad",
0.6,"Mohammad Irfan to Wright, FOUR, Wright connects with the cut now. Shorter and outside off, square-cut away for four",
1.1,"Badree to Ahmed Shehzad, 1 run, skiddy leagbreak outside off, chopped to backward point",
1.2,"Badree to Wright, no run, nicely tossed up outside off, push driven into the covers",
1.3,"Badree to Wright, FOUR, darted short and outside off, Wright middles a cut and finds the gap in the covers as well",
1.4,"Badree to Wright, 1 run, legbreak outside off, slashed to short third man",
1.5,"Badree to Ahmed Shehzad, FOUR, lazy work from Irfan at short fine leg. He was lazy to go low to his right at short fine leg. Shehzad sweeps and tickles it away",
1.6,"Badree to Ahmed Shehzad, FOUR, four more for Shehzad. This was no tickle. He uses his feet and drives it handsomely past the covers",
2.1,"Mohammad Irfan to Wright, SIX, banged in short on off with Irfan's typical extra bounce as well. Wright lays into a pull. Hit flat and hard over backward square leg",
2.2,"Mohammad Irfan to Wright, SIX, this is fuller, Wright swipes it over midwicket. Big six.... And it's a crowd catch",
2.3,"Mohammad Irfan to Wright, 1 run, angled in on off from round the stumps, guided past backward point",
2.4,"Mohammad Irfan to Ahmed Shehzad, no run, back of a length around off, patted towards the covers",
2.5,"Mohammad Irfan to Ahmed Shehzad, 2 runs, back of a length and outside off, Shehzad half-paddles and half-pulls behind square",
2.6,"Mohammad Irfan to Ahmed Shehzad, no run, angled outside off, Shehzad is happy to watch it through to the keeper",
3.1,"Russell to Wright, FOUR, banged in short but does not climb enough to test Wright. He picks the length up early. Rocks back and hammers the pull to the midwicket boundary",
3.2,"Russell to Wright, FOUR, short again, this is wide outside off. Wright flays a cut square on the off side",
3.3,"Russell to Wright, 2 runs, full on off, clipped through midwicket",
3.4,"Russell to Wright, FOUR, back of a length and outside, sliced behind square on the off side now",
3.5,"Russell to Wright, FOUR, low full toss, tripe ball on the leg stump. Easily whipped away past midwicket",
3.6,"Russell to Wright, no run, full and straight, worked to midwicket",
4.1,"Imran Khalid to Ahmed Shehzad, no run, drifts in on off and spins away, the batsman reads it off the pitch and pokes it behind square on off",
4.2,"Imran Khalid to Ahmed Shehzad, no run, Shehzad leans back and late-cuts it to point",
4.3,"Imran Khalid to Ahmed Shehzad, OUT, spooned back to Khalid. This held up in the pitch further. Shehzad seeks to turn it to the leg side. He pops a return catch off a leading edge. Soft as wax",['Ahmed Shehzad c & b Imran Khalid 11 (9b 2x4 0x6) SR: 122.22']
4.4,"Imran Khalid to Pietersen, no run, nice and full, blocked on the front foot",
4.5,"Imran Khalid to Pietersen, 1 run, Fizzes off the surface on off, wristed behind square on the leg side",
4.6,"Imran Khalid to Wright, no run, non-turning ball on off, the batsman bends forward in defence",
5.1,"Rumman Raees to Pietersen, 1 run, leg-side ball, shortish in length. Picked up with the wrists over backward square leg",
5.2,"Rumman Raees to Wright, no run, rising short ball on off, Wright gets behind the line in defence",
5.3,"Rumman Raees to Wright, no run, full and sliding down leg, may have brushed the pad on its way to the keeper",
5.4,"Rumman Raees to Wright, no run, full and hits the pad, but pitched outside leg",
5.5,"Rumman Raees to Wright, 1 leg bye, full and on the pads, diverted behind square for one. Leg bye",
5.6,"Rumman Raees to Pietersen, 1 run, shortish and on middle, punched wristily to long-on",
6.1,"Imran Khalid to Pietersen, 1 run, low full toss, flicked to mid-on",
6.2,"Imran Khalid to Wright, 1 run, Wright backs away and slaps it to long-off",
6.3,"Imran Khalid to Pietersen, 1 run, pitched up and turns away outside off, driven to long-off",
6.4,"Imran Khalid to Wright, no run, slides on outside off, pushed to covers on the front foot",
6.5,"Imran Khalid to Wright, 1 run, flat ball on middle and leg, whipped behind square on the leg side",
6.6,"Imran Khalid to Pietersen, no run, drifts in on middle as KP blocks with a straight bat",
7.1,"Rumman Raees to Wright, 1 leg bye, full and homing in on the ankle, Wright misses his leg-side flick",
7.2,"Rumman Raees to Pietersen, 2 runs, back of a length on the leg stump, glanced fine",
7.3,"Rumman Raees to Pietersen, no run, darted into the pads again, KP can't connect with a flick now",
7.4,"Rumman Raees to Pietersen, 1 run, low full toss on the pads, clipped in front of square",
7.5,"Rumman Raees to Wright, 1 run, tucked off the pads behind square",
7.6,"Rumman Raees to Pietersen, no run, back of a length on middle, KP runs it back to the bowler with soft hands",
8.1,"Imran Khalid to Wright, FOUR, half-tracker on the stumps, Wright skips back and pulls over midwicket",
8.2,"Imran Khalid to Wright, no run, slides on middle and leg, bunted to the leg side",
8.3,"Imran Khalid to Wright, 1 run, short and spins away outside off, cracked to deep cover. Wright registers the first fifty of the PSL",
8.4,"Imran Khalid to Pietersen, OUT, Khalid has KP lbw. The left-arm spinner nabs him. Slides in with the arm, KP plays for the spin and is pinned in front of off and middle. The finger goes up. The tracker shows that it would have hit the top of middle; it would have just caressed the bails",
8.5,"Imran Khalid to Mohammad Nawaz, no run, the left-arm spinner lands this outside off and gets it to turn away. Defended",['KP Pietersen lbw b Imran Khalid 8 (12b 0x4 0x6) SR: 66.66']
8.6,"Imran Khalid to Mohammad Nawaz, 1 run, eased down the ground, to long-on for one",
9.1,"Mohammad Irfan to Mohammad Nawaz, 1 run, short ball on off, raps the batsman on the glove. Fended behind square",
9.2,"Mohammad Irfan to Wright, 1 run, banged in short and outside off, more evidence of Irfan's extra bounce. Pick-up shot to fine leg",
9.3,"Mohammad Irfan to Mohammad Nawaz, 1 run, back of a length and outside off, Nawaz reaches out and stabs it to third man",
9.4,"Mohammad Irfan to Wright, FOUR, full and outside off, Wright creams it past the covers. Nawaz pats his partner",
9.5,"Mohammad Irfan to Wright, 1 run, shortish, the batsman dabs a cut to third man. He had that extra second to play the ball late",
9.6,"Mohammad Irfan to Mohammad Nawaz, FOUR, back of a length and outside off, good old heave-ho. Nawaz finds the long-on boundary",
10.1,"Imran Khalid to Wright, SIX, juicy full toss on off, Wright goes low and slogs it over midwicket. Poor ball and duly put away",
10.2,"Imran Khalid to Wright, 1 run, slides in with the angle, inside edged to leg side",
10.3,"Imran Khalid to Mohammad Nawaz, no run, short and turns in, stabbed towards midwicket",
10.4,"Imran Khalid to Mohammad Nawaz, 1 run, Nawaz uses his feet and milks it to long-on",
10.5,"Imran Khalid to Wright, no run, straight ball on middle, defended into the covers",
10.6,"Imran Khalid to Wright, 1 run, squirted through the leg side off an inside snick",
11.1,"Watson to Wright, 1 run, full and straight, clipped easily behind square",
