Ball,Commentary,Wicket
0.1,"Sohail Tanvir to Babar Azam, 1 run, back of a length outside off, thick outside edge on his poke off the back foot, flies past backward point",
0.2,"Sohail Tanvir to Jayawardene, 2 runs, good length at the pads, it's that old elegant backlift. Comes down at the ball and tucked past short fine",
0.3,"Sohail Tanvir to Jayawardene, no run, good length at off stump, lets it go with the angle",
0.4,"Sohail Tanvir to Jayawardene, 1 run, back of a length in the corridor, pushes it to slip's right with soft hands",
0.5,"Sohail Tanvir to Babar Azam, FOUR, there's grace at the other end as well! Full at middle, shuffles across slightly, gets his head over the ball, maintains balance and uses his wrists to drive it through wide mid-on",
0.6,"Sohail Tanvir to Babar Azam, no run, good length at middle stump, slight shape back in, offers the full face and pushes to mid-on",
1.1,"Aamer Yamin to Jayawardene, no run, full outside off, pushed back to the bowler",
1.2,"Aamer Yamin to Jayawardene, 1 run, back of a length outside off, chops it off the back foot to third man",
1.3,"Aamer Yamin to Babar Azam, no run, short and wide, goes for the cut, gets an inside edge and Rizwan stops it diving low to his left",
1.4,"Aamer Yamin to Babar Azam, FOUR, back of a length outside off, goes on the back foot and slaps it in front of square",
1.5,"Aamer Yamin to Babar Azam, 1 run, good length at off stump, whipped behind square on the up",
1.6,"Aamer Yamin to Jayawardene, FOUR, wow. Too easy. Good length outside off, clears the front leg and uses the pace to slice it over point on the up",
2.1,"Sohail Tanvir to Babar Azam, FOUR, back of a length outside off, gets on top of the bounce and punches it between cover and point",
2.2,"Sohail Tanvir to Babar Azam, no run, slower yorker outside off, digs it out",
2.3,"Sohail Tanvir to Babar Azam, 2 runs, back of a length at off stump, shuffles cross and punches of the back foot to deep square's left",
2.4,"Sohail Tanvir to Babar Azam, 1 leg bye, back of a length at middle, shuffles across and turns it to short fine",
2.5,"Sohail Tanvir to Jayawardene, 2 runs, good length at middle, takes a step outside leg, and lifts it over point on the up for third man to run wide and cut off",
2.6,"Sohail Tanvir to Jayawardene, OUT, Rizwan you beauty! Slower ball, good length outside off, he picks it, waits for it and dabs it to the right of Rizwan who puts in a dive to stop the ball. Mahela takes off for a run but is sent back. Can't make it as Rizwan releases immediately and hits the stumps direct from about 15 yards, didn't even take off his gloves for that throw",['DPMD Jayawardene run out 10 (8b 1x4 0x6) SR: 125.00']
3.1,"Narine to Babar Azam, 1 run, full at middle, driven to deep midwicket",
3.2,"Narine to Sangakkara, 1 run, full at off stump, driven all along the ground to a very wide long-off",
3.3,"Narine to Babar Azam, no run, good length, offspinner at off stump, turns back in, inside edge onto the pads and balloons towards the short leg region",
3.4,"Narine to Babar Azam, no run, close! Seam up ball, tails in slightly, goes for the flick down the leg side, Rizwan appeals loudly. There was a sound, but it turns out it was the pad. Good decision not to give that.",
3.5,"Narine to Babar Azam, no run, good length, leg cutter at middle stump, forward defence",
3.6,"Narine to Babar Azam, 1 run, good length at middle stump, clipped through the leg side",
4.1,"Aamer Yamin to Babar Azam, no run, this one is even closer! Good length, angled in at off stump, nips back, goes past the inside edge and catches the back pad through to Rizwan. That looked out in real time, but evaded the inside edge. Another good decision",
4.2,"Aamer Yamin to Babar Azam, 1 run, back of a length at middle, glanced off the hips through the leg side",
4.3,"Aamer Yamin to Sangakkara, no run, back of a length at middle, defended off the back foot",
4.4,"Aamer Yamin to Sangakkara, 1 run, back of a length outside off, pushes it on the up to third man",
4.5,"Aamer Yamin to Babar Azam, 2 runs, back of a length outside off, shapes for the pull shot but checks the shot last minute for some reason. Goes in the air but well in front of deep square",
4.6,"Aamer Yamin to Babar Azam, no run, back of a length outside off, driven on the up to covers",
5.1,"Mohammad Irfan to Sangakkara, 1 run, back of a length on the pads, pushed to deep square off the back foot",
5.2,"Mohammad Irfan to Babar Azam, FOUR, fulll at middle stump, stays put and lifts this over midwicket with no effort",
5.3,"Mohammad Irfan to Babar Azam, 1 run, back of a length at off stump, dropped in front of short fine off the hips",
5.4,"Mohammad Irfan to Sangakkara, 1 run, back of a length at off stump, dabbed to point",
5.5,"Mohammad Irfan to Babar Azam, 1 run, back of a length outside off, dabbed to third man",
5.6,"Mohammad Irfan to Sangakkara, no run, back of a length outside off, pushed straight to point",
6.1,"Yasir Shah to Babar Azam, no run, good length at middle stump, forward defence",
6.2,"Yasir Shah to Babar Azam, FOUR, full at off stump, goes inside-out and just flies past McCullum at cover who has stretched and dived about 5000 yards to his right in a half a second",
6.3,"Yasir Shah to Babar Azam, 1 run, back of a length at middle stump, pushed to deep square",
6.4,"Yasir Shah to Sangakkara, no run, good length outside off, front foot defence",
6.5,"Yasir Shah to Sangakkara, no run, tossed up at off stump, flicked straight to midwicket",
6.6,"Yasir Shah to Sangakkara, 1 run, good length at middle, pushed to deep square off the back foot",
7.1,"Narine to Sangakkara, no run, good length outside off, cut straight to point",
7.2,"Narine to Sangakkara, no run, <>ooo! Flighted at middle stump, draws him forward, beats him in flight and turn. flies past his outside edge",
7.3,"Narine to Sangakkara, 1 run, back of a length outside off, punched to sweeper cover",
7.4,"Narine to Babar Azam, 1 run, short at middle stump, pushed to deep square",
7.5,"Narine to Sangakkara, no run, good length outside off, this time he lets it spin by and lets it go",
7.6,"Narine to Sangakkara, 2 runs, full at off stump, cover drive, Baz puts in another dive there but he wasn't very close, sweeper has to run to his left",
8.1,"Yasir Shah to Babar Azam, 1 run, full at middle stump, backs away to drive it to long-off",
8.2,"Yasir Shah to Sangakkara, 1 run, flighted at off stump, goes down the track and drives to long-on",
8.3,"Yasir Shah to Babar Azam, no run, good length at off stump, steps out and pushes back to the bowler",
8.4,"Yasir Shah to Babar Azam, 1 run, back of a length at off stump, pulled wide of long-on",
8.5,"Yasir Shah to Sangakkara, 1 run, good length outside off, steps out, not to the pitch, wants to tuck it through midwicket, closes the face too early and gets a leading edge that flies over the bowler",
8.6,"Yasir Shah to Babar Azam, 1 run, full at leg stump, punched to long-on",
9.1,"Elliott to Babar Azam, 1 run, good length at off stump, shuffles across and punches on the up to deep midwicket",
9.2,"Elliott to Sangakkara, FOUR, full toss at the pads, gets low and lifts it over short fine",
9.3,"Elliott to Sangakkara, FOUR, short and wide, hangs back and cuts it between backward point and short third man",
9.4,"Elliott to Sangakkara, 1 run, full outside off, whipped into the leg side, wide of long-on",
