Ball,Commentary,Wicket
0.1,"Ehsan Adil to Nauman Anwar, no run, back of a length on off stump, got on top of the ball and tapped down.",
0.2,"Ehsan Adil to Nauman Anwar, 1 run, shelled.! Length ball on off stump, picks up the length and whacks to long-leg. Cooper looking straight in to the sun drops it. That had to be taken",
0.3,"Ehsan Adil to Shoaib Malik, FOUR, fuller on middle and leg stump, easy picking for the skipper as he whips it past mid-on. Class.",
0.4,"Ehsan Adil to Shoaib Malik, 1 run, length ball on off stump and runs it down to third man for a single",
0.5,"Ehsan Adil to Nauman Anwar, no run, back of a length ball on off stump, slower one too. Blocked to cover.",
0.6,"Ehsan Adil to Nauman Anwar, no run, play and a miss on off. That was a ripper. Pitched on off and held its line to fox his defence.",
1.1,"Bravo to Shoaib Malik, no run, slower ball to begin with, full and straight. Nudged to mid-wicket.",
1.2,"Bravo to Shoaib Malik, no run, length delivery, another change of pace. Shoaib cuts and finds point.",
1.3,"Bravo to Shoaib Malik, 1 run, yorker length on middle and off stump and drilled down the ground",
1.4,"Bravo to Nauman Anwar, 1 run",
1.5,"Bravo to Shoaib Malik, 1 run, tad full on off stump, pushed to mid-off and scampered for a quick single.",
1.6,"Bravo to Nauman Anwar, 1 run, slower one to sign-off the over. Maneuvered to on side for a single",
2.1,"Ehsan Adil to Nauman Anwar, no run, full and straight on off stump, no room whatsoever. Tickled to short mid-wicket.",
2.2,"Ehsan Adil to Nauman Anwar, no run, he has flummoxed him again with a slower ball, goes for the hoick and misses as it thuds on his pad. Stiffled cry for leg before, turned down as it was missing leg",
2.3,"Ehsan Adil to Nauman Anwar, FOUR, badly lined! Fine leg in the ring and he greets him with a harmless bouncer, pulled over short fine leg",
2.4,"Ehsan Adil to Nauman Anwar, 1 run, pitched further up on off stump and punched to mid-on for a single",
2.5,"Ehsan Adil to Shoaib Malik, no run, keeping it full on off stump and pushed to mid-on again, no run this time around.",
2.6,"Ehsan Adil to Shoaib Malik, 1 run, full delivery, tailing down the leg and whipped to long-leg for a single.",
3.1,"Cooper to Shoaib Malik, 1 run, dab and run. Cooper offered him a slow length ball on off stump and dabbed to short third man for a single.",
3.2,"Cooper to Nauman Anwar, no run",
3.3,"Cooper to Nauman Anwar, 1 run, nudged down the ground for a single",
3.4,"Cooper to Shoaib Malik, 1 run, tad short on off and cuts to point, fielders makes a good effort to stop that",
3.5,"Cooper to Nauman Anwar, no run, another chance goes down begging. Length ball on off stump, he gets on the front foot and slaps to cover-point region. Bravo dives forward but fails to snaffle.",
3.6,"Cooper to Nauman Anwar, SIX, aaand the drop catch has already started to hurt them. Full, in the arc and swung his bat like a Golfer as it sails over long-on.",
4.1,"Zohaib Khan to Shoaib Malik, 1 run, fuller on off stump, gets down and and drills to mid-wicket region for a single. Fielder came in sprinting and graciously lets it go through his hands.",
4.2,"Zohaib Khan to Nauman Anwar, no run, quicker and flatter on off. Punched wide of the bowler. No run there.",
4.3,"Zohaib Khan to Nauman Anwar, no run, fuller on off stump and crunched to mid-off, can't beat the fielder.",
4.4,"Zohaib Khan to Nauman Anwar, SIX, boom! Tossed up on off stump, he gets down a bit, picks up the length early and thwacks it over deep mid wicket and the crowd catching is pathetic.",
4.5,"Zohaib Khan to Nauman Anwar, 2 runs, tossed up again, wider this time and sliced over point for a couple more",
4.6,"Zohaib Khan to Nauman Anwar, 1 run, fuller on off and punched to deep cover for a single",
5.1,"Bravo to Nauman Anwar, 1 run, follows down the leg with a length ball, clips it back past the bowler for a single, Bravo dives across but without any good avail",
5.2,"Bravo to Shoaib Malik, no run, fullish and on the toes, clips to midwicket",
5.3,"Bravo to Shoaib Malik, FOUR, once again a half-volley just shade outside off, leans onto it and picks the length to the perfection, chips it up and over mid-off",
5.4,"Bravo to Shoaib Malik, 1 run, moves across the stumps to this length ball as he tucks it through the leg side for a single",
5.5,"Bravo to Nauman Anwar, no run, alings the yorker length on the block-hole, digs it out by Nauman",
5.6,"Bravo to Nauman Anwar, SIX, ohooo! Tonked it. Bravo telegramed his slower ball way too early. Nauman was sitting on the back foot and was waiting for the ball to arrive. Clears his front leg and gives it everything and it sails over long-on.",
6.1,"Zohaib Khan to Shoaib Malik, 1 run, tossed up on off stump and pushed to deep cover",
6.2,"Zohaib Khan to Nauman Anwar, no run, fuller and wider on off stump, cracks and finds sweeper at cover",
6.3,"Zohaib Khan to Nauman Anwar, FOUR, shot of the day so far.! It was tossed up on off stump and he goes inside out over cover for four more",
6.4,"Zohaib Khan to Nauman Anwar, OUT, someone catch it and Akmal responds. Tossed up on off stump and Nauman goes for another wild-ugly-heave. Too full from Zohaib and he failed to get underneath the ball as he spooned a dolly to long-on",['Nauman Anwar c Umar Akmal b Zohaib Khan 35 (25b 2x4 3x6) SR: 140.00']
6.5,"Zohaib Khan to Vince, 1 run, full and wide outside off and the English man drills it down the ground",
6.6,"Zohaib Khan to Shoaib Malik, no run, wide and a full bunger on off stump, sliced to point. Four runs was written was all over this one.",
7.1,"Cooper to Vince, 1 run, fuller on off stump and driven through cover for a single",
7.2,"Cooper to Shoaib Malik, no run, how many more? Length ball on off stump, Malik tried to run it down to third man but only managed to edge it wide of the keeper. Rizwan dives to his right and the procession of drop catches continues",
7.3,"Cooper to Shoaib Malik, no run, pushed into the cover",
7.4,"Cooper to Shoaib Malik, 1 run, fuller on middle and leg, nudged to deep mid wicket for a single",
7.5,"Cooper to Vince, 1 run, keeping it full on off and punched to long-off",
7.6,"Cooper to Shoaib Malik, no run, saw him coming and drags his length back a bit, tapped to gully and no run there.",
8.1,"Zohaib Khan to Vince, FOUR, class! Full on off stump, shimmies to leg and goes over cover. Lovely.",
8.2,"Zohaib Khan to Vince, OUT, gone! Saw him making room and fired full on off stump, Vince reaches out for the ball and slices straight to the man at cover. He was never in control of that shot.",
8.3,"Zohaib Khan to Bopara, no run, well bowled Sir. Telegrams his shimmy too early and he drags it back, outside off too. Dabs to point.",['JM Vince c Bravo b Zohaib Khan 7 (5b 1x4 0x6) SR: 140.00']
8.4,"Zohaib Khan to Bopara, 2 runs, width offered and four more via mis-field. It was a length ball on off stump and the man at point graciously lets it go through his hands and the bowler is fuming",
8.5,"Zohaib Khan to Bopara, 2 runs, tossed up on off stump and slapped through cover for a couple more",
8.6,"Zohaib Khan to Bopara, 1 run, saunters down and works to long-on for a run and retains the strike.",
9.1,"Ehsan Adil to Bopara, 1 run, slanting down the leg and stylishly flicked to deep mid wicket",
9.2,"Ehsan Adil to Shoaib Malik, 1 run, on the pads yet again and flicked to short mid-wicket for a single",
9.3,"Ehsan Adil to Bopara, no run, length ball on off stump, much closer to the stumps and fends back to the bowler",
9.4,"Ehsan Adil to Bopara, 1 run, pushed further up on off stump and punched down the ground",
9.5,"Ehsan Adil to Shoaib Malik, 1 run, shorter and slightly slower on off, he goes back and taps to short third man for a single",
9.6,"Ehsan Adil to Bopara, 1 run, saunter down the track, picks up the slower ball and works to short fine leg region.",
10.1,"Zohaib Khan to Bopara, no run, quicker trajectory on off and cuts to backward to point",
10.2,"Zohaib Khan to Bopara, no run, oho! This is close. Tossed up, he shuffles across and tries to sweep it from outside off, misses the ball and the keeper whips the bails off. He's well in",
10.3,"Zohaib Khan to Bopara, no run, punched back to the bowler",
10.4,"Zohaib Khan to Bopara, 2 runs, tossed up on off stump and crunched through cover for a couple more",
10.5,"Zohaib Khan to Bopara, 1 run, played down the ground. Safe play.",
10.6,"Zohaib Khan to Shoaib Malik, SIX, as I said safe play, Malik heaves it over deep mid wicket fence. Down the track, took on the full and bye-bye, sailed over deep mid-wicket.",
11.1,"Cooper to Bopara, FOUR, brilliant Clever. Picks up the length early, shimmies to off and scoops it over short fine leg",
11.2,"Cooper to Bopara, 2 runs, fuller and wider on off and crunched to deep for a couple",
11.3,"Cooper to Bopara, no run, fuller on off stump, he walks across the stump and punches back to the bowler",
11.4,"Cooper to Bopara, 1 run, length ball on off stump, keeps a shade low too and dabs to point for a s single",
11.5,"Cooper to Shoaib Malik, 1 run, slower length ball on off stump and chipped it upishly past the bowler",
11.6,"Cooper to Bopara, 1 run, slower ball on off stump and nudged to vacant on side for a single",
12.1,"Zafar Gohar to Bopara, no run, fuller on off stump, blocked.",
12.2,"Zafar Gohar to Bopara, 2 runs, full on off stump and whacked to deep cover for a couple more",
12.3,"Zafar Gohar to Bopara, 1 run, pushed down the ground for a single",
12.4,"Zafar Gohar to Shoaib Malik, OUT, aaand the skippers stifled stay comes to an end. He saunters down, got to close to the pitch of the ball and lofts straight into the hands of long-off fielder. Lapse in concentration after the short break.",
12.5,"Zafar Gohar to Shakib Al Hasan, no run, on the pads and tickled to short fine leg",
12.6,"Zafar Gohar to Shakib Al Hasan, 1 run",['Shoaib Malik c Delport b Zafar Gohar 27 (25b 2x4 1x6) SR: 108.00']
13.1,"Delport to Shakib Al Hasan, no run, pushes from the crease towards the bowler",
13.2,"Delport to Shakib Al Hasan, 1 run, shortish and widish outsie off, cuts it to the left of diving cover point",
13.3,"Delport to Shakib Al Hasan, 1 run, fuller on off stump, missed his yorker by an inch or so. Drilled to long-on for a run",
13.4,"Delport to Bopara, 1 run, fuller on off stump and punched down the ground for a single",
13.5,"Delport to Shakib Al Hasan, 2 runs, full on off and driven wide of long-off and they pinch an extra run",
13.6,"Delport to Shakib Al Hasan, 1 run, tad full on off stump, no pace offered and swatted to deep mid wicket",
14.1,"Zafar Gohar to Shakib Al Hasan, 3 runs, full toss way down leg, helps away to wide of long leg for three more. Badly lined.",
14.2,"Zafar Gohar to Bopara, 1 run, pushes from the crease to backward of point",
14.3,"Zafar Gohar to Shakib Al Hasan, OUT, pushes this flat on the middle stump, quite shortish. He took a big stride and then gets down to slog sweep that, ends up with a simple catch near the rops to Bravo. Zafar gives him a fancy sendoff.",
14.4,"Zafar Gohar to Imad Wasim, 1 run, quicker on middle and leg, tucked to on side",
14.5,"Zafar Gohar to Bopara, no run, tossed up on off stump and punched into cover",
14.6,"Zafar Gohar to Bopara, 1 run, side armish ball, fuller one though and pushed down the ground",['Shakib Al Hasan c Bravo b Zafar Gohar 9 (9b 0x4 0x6) SR: 100.00']
15.1,"Bravo to Bopara, 1 run, tad wide on off stump and thwacked to deep cover for a single, mere single.",
15.2,"Bravo to Imad Wasim, SIX, there you go. Full on off stump, he skips down the track and hoicks it over deep mid wicket and it just clears the fence",
15.3,"Bravo to Imad Wasim, 2 runs, quicker this time around and whipped to deep mid wicket region again. Fielder runs across and exhibits some soccer skills",
15.4,"Bravo to Imad Wasim, 1 run, full and straight on off and drills down the ground for a single",
15.5,"Bravo to Bopara, 1 run, slowest of slower ball on off stump, full toss to and dabbed to point",
15.6,"Bravo to Imad Wasim, no run, flummoxed him with a slower ball and hits right in front of the stumps. Loud cry for leg-before and turned down",
16.1,"Zafar Gohar to Bopara, no run, quick and wide on off stump.Play and a miss. Ravi drags his foot back in time. Not out called",
16.2,"Zafar Gohar to Bopara, SIX, clean! Full on off stump, in the swinging arc. Ravi gets underneath the ball and sends it packing over long-off",
16.3,"Zafar Gohar to Bopara, 2 runs, quicker ball on off stump and an outside edge motors to third man",
16.4,"Zafar Gohar to Bopara, 1 leg bye",
16.5,"Zafar Gohar to Imad Wasim, 1 run, pushed to off side for a single",
16.6,"Zafar Gohar to Bopara, SIX, oh dear! What the hell on earth is happening. Fifth drop it is? Fuller ball on off stump and Bopara tries to go over long-off, mistimes it and it files straight to Delport who shells down a dolly. Real shocker as it snakes through his palms and goes over the rope",
17.1,"Cooper to Imad Wasim, OUT, ok, Delport pouches one now. Full again on off stump and an almighty heave finds deep mid wicket",
17.2,"Cooper to Mushfiqur Rahim, 1 run, punched down the ground for a single",
17.3,"Cooper to Bopara, 2 runs, full, angling down the leg and nudged to deep for a couple",
