Ball,Commentary,Wicket
0.1,"Anwar Ali to Watson, no run, full and hurtles in to beat the flick and hit Watson's pad",
0.2,"Anwar Ali to Watson, no run, back of a length and holds its line on middle, Watson blocks with a straight bat",
0.3,"Anwar Ali to Watson, no run, Wright dives across to his right from backward point, shows off his athleticism to stop this cut from Watson. He had width to work with, but did not nail the gap",
0.4,"Anwar Ali to Watson, no run, length and angled in, patted back to the bowler",
0.5,"Anwar Ali to Watson, no run, back of a length and on off, Watson seeks to dab a cut, he nearly drags it back onto the stumps",
0.6,"Anwar Ali to Watson, 1 run, low full toss on middle, Anwar escapes punishment. Watson flicks his wrists and plays it along the carpet through midwicket",
1.1,"Zulfiqar Babar to Watson, no run, tossed up and drifts in, defended back",
1.2,"Zulfiqar Babar to Watson, no run, skiddy arm-ball, comes in from wide of the crease. Kept out",
1.3,"Zulfiqar Babar to Watson, 1 run, full on middle and leg, clipped neatly through midwicket",
1.4,"Zulfiqar Babar to Sharjeel Khan, 1 run, slides across off, shorter, squirted to midwicket via an inside edge",
1.5,"Zulfiqar Babar to Watson, FOUR, flighted and arrows in with the angle, Watson goes straight down the ground. Just a little shimmy and Watson timed it to perfection",
1.6,"Zulfiqar Babar to Watson, 1 run, darted flat on middle, Watson sweeps in the air over midwicket, there is a man patrolling the boundary",
2.1,"Anwar Ali to Watson, no run, leg-stump full toss, Watson finds short fine leg with a flick.... like target practice",
2.2,"Anwar Ali to Watson, no run, touch short and outside off, Watson leans back and chops to cover point",
2.3,"Anwar Ali to Watson, no run, overpitched on middle, driven to mid-off",
2.4,"Anwar Ali to Watson, FOUR, fractionally short and wide outside off, Watson sizes it up. He sends it clattering between mid-off and covers with a cut",
2.5,"Anwar Ali to Watson, FOUR, too full and on the leg stump. Wrong line and length. Punished. Watson drop-kicks it over midwicket",
2.6,"Anwar Ali to Watson, no run, shortish again, Anwar Ali sends this ball thudding into the thigh pad. Watson did not make contact with the pull",
3.1,"Zulfiqar Babar to Sharjeel Khan, 1 run, fired into the pads, swept firmly through square leg",
3.2,"Zulfiqar Babar to Watson, SIX, tossed up on middle, Watson nimbly skips out and lofts it handsomely over long-on",
3.3,"Zulfiqar Babar to Watson, 1 run, arm-ball, Watson camps back and turns it wide of square leg",
3.4,"Zulfiqar Babar to Sharjeel Khan, OUT, Sharjeel steps out, manufactures a full toss, and holes out to deep midwicket. Sharjeel was on the move as he mis-hit it to Akbar-ur-Rehman. He did not even have to budge",['Sharjeel Khan c Akbar-ur-Rehman b Zulfiqar Babar 2 (3b 0x4 0x6) SR: 66.66']
3.5,"Zulfiqar Babar to Haddin, SIX, looped up, Haddin steps out now, and launches it over long-off. First ball in the PSL, and six",
3.6,"Zulfiqar Babar to Haddin, no run, slid through on off, defended to cover",
4.1,"Aizaz Cheema to Watson, 2 runs, full and angled in from wide of the crease, Watson glides it to third man. Haddin was late on the second, but made it in the end",
4.2,"Aizaz Cheema to Watson, 1 run, rising short ball outside off, quelled to point",
4.3,"Aizaz Cheema to Haddin, 1 run, slower ball on middle, angled in, nudged to midwicket",
4.4,"Aizaz Cheema to Watson, 1 run, short and homing in on top of off, Watson backs away slightly and secures a single to third man. Opened the face of the bat and ran it down",
4.5,"Aizaz Cheema to Haddin, 2 runs, short and width, Haddin rises on top of the bounce and lashes it in the gap at cover. The ball gets plugged in the deep",
4.6,"Aizaz Cheema to Haddin, 1 run, back of a length and slides in with the angle on off. Haddin jabs his bat down and manages an inside edge that rolls away to the midwicket region",
5.1,"Mohammad Nawaz to Haddin, 1 run, speared short on middle, hurries onto Haddin. Pulled away to deep midwicket",
5.2,"Mohammad Nawaz to Watson, no run, slides on, fizzes off the surface outside off, keeps low and beats the cut",
5.3,"Mohammad Nawaz to Watson, no run, Watson steps away just outside leg, Nawaz chases him with a fast one, jabbed to cover",
5.4,"Mohammad Nawaz to Watson, SIX, Watson shuffles away outside leg again, Nawaz angles it in to the hips. Watson smashes a slog sweep over midwicket",
5.5,"Mohammad Nawaz to Watson, SIX, and again! Watson clears long-on and raises the fifty. Short and outside leg as Watson backs away. Swung away over the fielder. Boom!",
5.6,"Mohammad Nawaz to Watson, 2 runs, Watson attacks this full ball too, slicing it over cover",
6.1,"Aizaz Cheema to Haddin, no run, back of a length and angled in from wide of the crease, shoots low to foil Haddin's late cut. Beaten",
6.2,"Aizaz Cheema to Haddin, no run, zippy back of a length ball outside off, beats Haddin again",
6.3,"Aizaz Cheema to Haddin, 1 run, slower ball outside off, Haddin waits for the ball to arrive and dabs it to backward point",
6.4,"Aizaz Cheema to Watson, OUT, Cheema beats Watson for pace. Short, rushing ball. Watson looks to go over midwicket with a pull. He only sends a top edge over the cover region. Shehzad runs in and completes a good, tumbling catch",
6.5,"Aizaz Cheema to Haddin, no run, short and zips off the surface to hit the bat hard. Played to point",['SR Watson c Ahmed Shehzad b Aizaz Cheema 40 (28b 3x4 3x6) SR: 142.85']
6.6,"Aizaz Cheema to Haddin, 1 run, full and holds its line outside off, helped to third man",
7.1,"Elliott to Haddin, no run, 109.4ks, back of a length and outside off, poked back to the bowler",
7.2,"Elliott to Haddin, 1 run, Haddin heaves and drags an inside edge to short fine leg",
7.3,"Elliott to Khalid Latif, 1 run, slow back of a length ball, straight in line, tucked through midwicket",
7.4,"Elliott to Haddin, 1 run, full on middle and leg, tickled to midwicket off an inside edge",
7.5,"Elliott to Khalid Latif, 1 run, clipped through backward square leg now",
7.6,"Elliott to Haddin, OUT, Sarfraz thinks he has Haddin. Canny full ball outside off, Haddin stretches forward, swings and does not connect. Done in by lack of pace. He loses his balance in the process. Did Haddin drag his back foot back in time? No. The foot is on the line when Sarfraz takes the bails off",
8.1,"Mohammad Nawaz to Khalid Latif, no run, darted in and spins to catch the pad as the new man misses the leg-side swat",
8.2,"Mohammad Nawaz to Khalid Latif, 1 run, flat and quick on the pads, swept behind square",['BJ Haddin st †Sarfraz Ahmed b Elliott 15 (15b 0x4 1x6) SR: 100.00']
8.3,"Mohammad Nawaz to Billings, 1 run, tucked behind square leg again",
8.4,"Mohammad Nawaz to Khalid Latif, 1 run, short and outside off, slapped through point",
8.5,"Mohammad Nawaz to Billings, no run, Billings comes down the track, does not meet the pitch and yorks himself. Kept out",
8.6,"Mohammad Nawaz to Billings, 1 run, drifts in, full on middle, flicked through midwicket",
9.1,"Elliott to Billings, OUT, two wickets in two balls for Elliott. Full legcutter, grips in the pitch, turns away and catches the back pad. Billings plays across the line, he can't make contact. Trapped plumb in front. Viv Richards is delighted in the dug out",
9.2,"Elliott to Imran Khalid, 1 run, full and outside off, front-foot drive through cover",
9.3,"Elliott to Khalid Latif, 1 run, clipped through mid-on for a single",
9.4,"Elliott to Imran Khalid, no run, skiddy back of a length ball, cuts back in, to hit the thigh",['SW Billings lbw b Elliott 2 (4b 0x4 0x6) SR: 50.00']
9.5,"Elliott to Imran Khalid, no run, chopped to backward point",
9.6,"Elliott to Imran Khalid, no run, slow roller outside off, guided to short third man",
10.1,"Mohammad Nabi to Khalid Latif, no run, offbreak, zips in to rap the front pad. Perhaps, it was doing too much",
10.2,"Mohammad Nabi to Khalid Latif, no run, Latif uses his feet and is beaten by turn and bounce. Inside edged onto the pad?",
10.3,"Mohammad Nabi to Khalid Latif, 1 run, worked around the corner to short fine leg",
10.4,"Mohammad Nabi to Imran Khalid, no run, round-arm ball, defended",
10.5,"Mohammad Nabi to Imran Khalid, 1 run, short and outside off, edges a cut to short third man. KP dives to his right and stops the ball",
10.6,"Mohammad Nabi to Khalid Latif, OUT, another appeal for lbw, this is given! Good length offbreak, Latif slogs across the line and does not connect. Hit on the thigh. Umpire Dar raises the finger. The tracker, though, shows that it would have just bounced over the stumps",
11.1,"Mohammad Nawaz to Imran Khalid, no run, Khalid steps out and is beaten in flight. Squeezed oout",
11.2,"Mohammad Nawaz to Imran Khalid, no run, slides on outside off, cut and a miss",
11.3,"Mohammad Nawaz to Imran Khalid, no run, skiddy full ball, pushed back to the bowler",
11.4,"Mohammad Nawaz to Imran Khalid, no run, fizzes through outside off, beats the cut. This wasn't too short to be cut away",['Khalid Latif lbw b Mohammad Nabi 6 (10b 0x4 0x6) SR: 60.00']
