Ball,Commentary,Wicket
0.1,"Russell to Wright, no run, short and attacking the top of off, Wright is pushed on the back foot. Defended to cover",
0.2,"Russell to Wright, no run, fractionally short and close to off, Wright can't put bat on the cut",
0.3,"Russell to Wright, no run, another bouncer outside off, Wright sways his upper body out of the way",
0.4,"Russell to Wright, 1 run, Dre Russ keeps it short and outside off, the batsman gets on top of the bounce and square-cuts it away",
0.5,"Russell to Ahmed Shehzad, no run, short and down leg, brushes the thigh on its way to Haddin. The caught-behind appeal is nipped in the bud",
0.6,"Russell to Ahmed Shehzad, 1 run, length and outside off, pushed to mid-off for one",
1.1,"Mohammad Irfan to Ahmed Shehzad, no run, full and aimed at off, wafted to point off the outside edge",
1.2,"Mohammad Irfan to Ahmed Shehzad, FOUR, short on middle, Shehzad rolls his wrists on a pull and sends it through square leg. Lovely shot",
1.3,"Mohammad Irfan to Ahmed Shehzad, no run, shorter and Irfan raps the batsman high on the bat. Played back to Irfan",
1.4,"Mohammad Irfan to Ahmed Shehzad, no run, back of a length and leaves Shehzad outside off, he pokes and is beaten past the outside edge",
1.5,"Mohammad Irfan to Ahmed Shehzad, 1 run, full and straight, patted to short midwicket",
1.6,"Mohammad Irfan to Wright, FOUR, Wright makes room outside leg, steps out as well, Irfan chases the moving batsman with a short ball. Wright belts it over midwicket. If Wright settles down, this could be a quick chase",
2.1,"Russell to Ahmed Shehzad, 1 run",
2.2,"Russell to Wright, OUT, loose ball, loose shot, loose dismissal. Short and wide outside off, Wright cuts in the air, and finds Billings at cover point. Tiggsy, this may not be a quick chase. Russell leaps in joy",['LJ Wright c Billings b Russell 5 (6b 1x4 0x6) SR: 83.33']
2.3,"Russell to Pietersen, OUT, KP out for a first-ball duck! Russell sets off on a long, celebratory run! Blockhole ball, KP is late to bring his bat down. Russell pings middle and leg with an inswinging yorker",
2.4,"Russell to Sarfraz Ahmed, 1 run, lifting ball outside off, Sarfraz rides it to third man and averts the hat-trick",['KP Pietersen b Russell 0 (1b 0x4 0x6) SR: 0.00']
2.5,"Russell to Ahmed Shehzad, FOUR, short and outside off, another top-quality pull. Controlled hit, Shehzad spins on the back foot and finds the midwicket fence",
2.6,"Russell to Ahmed Shehzad, no run, back of a length and outside off, punched on the up to mid-off",
3.1,"Watson to Sarfraz Ahmed, no run, short and angled in, blocked back",
3.2,"Watson to Sarfraz Ahmed, no run, Sarfraz walks down the track as Watson shortens his length. The batsman misses a flick, the ball climbs over the leg stump",
3.3,"Watson to Sarfraz Ahmed, 1 run, chopped from off stump to backward point",
3.4,"Watson to Ahmed Shehzad, FOUR, full and swings in, tickled to the left of Irfan. He chases gingerly, slides, and looks to roll the ball in. He makes a mess of it",
3.5,"Watson to Ahmed Shehzad, 1 run, back of a length and just a shade outside off, drop-and-run single to the cover-point region",
3.6,"Watson to Sarfraz Ahmed, 1 run, another drop-and-run single, this time squarer on off. Point was hanging back",
4.1,"Rumman Raees to Sarfraz Ahmed, 1 run, wide length ball outside off, the batsman reaches out and carves a single to third man",
4.2,"Rumman Raees to Ahmed Shehzad, no run, back of a length, punched crisply to cover",
4.3,"Rumman Raees to Ahmed Shehzad, FOUR, full and drifting into the pads, uppish flick, wide of midwicket, beats mid-on to his right",
4.4,"Rumman Raees to Ahmed Shehzad, 1 run, length and angling away, dabbed to point for a quick run. The fielder effects a direct hit at the non-striker's end. Shehzad is lazy. He does not slide his bat in. It's in the air. He may have just managed to get his foot in time",
4.5,"Rumman Raees to Sarfraz Ahmed, no run, short and wide outside off, slapped to Ghulam at point",
4.6,"Rumman Raees to Sarfraz Ahmed, 1 run, slower shortish ball outside off, punchily played to cover point",
5.1,"Mohammad Irfan to Sarfraz Ahmed, FOUR, short and angling away, Irfan generates extra bounce. The batman uses it to his advantage, cuts it away, beating third man",
5.2,"Mohammad Irfan to Sarfraz Ahmed, 1 run, short and angled in as Irfan goes round the stumps, chopped behind square on the off side",
5.3,"Mohammad Irfan to Ahmed Shehzad, no run, back of a length on off, Shehzad bends forward in defence",
5.4,"Mohammad Irfan to Ahmed Shehzad, 2 runs, short and outside off, swatted past midwicket",
