Ball,Commentary,Wicket
0.1,"Adnan Rasool to Tamim Iqbal, 1 run, tucks around the corner for a single",
0.2,"Adnan Rasool to Mohammad Hafeez, no run, flat and on the middle stump, gets forward and dead bats it",
0.3,"Adnan Rasool to Mohammad Hafeez, no run",
0.4,"Adnan Rasool to Mohammad Hafeez, no run, short and moves across beating the cut..",
0.5,"Adnan Rasool to Mohammad Hafeez, FOUR, short and turning across, 90 kph, cuts it off the back foot and to the right of cover point",
0.6,"Adnan Rasool to Mohammad Hafeez, no run, slightly short as he pushes it to the right of the bowler",
1.1,"Zia-ul-Haq to Tamim Iqbal, no run, length ball just outside off, pushes softly to the leg side..",
1.2,"Zia-ul-Haq to Tamim Iqbal, no run, on a length and outside off, leans forward and pushes through the cover point",
1.3,"Zia-ul-Haq to Tamim Iqbal, FOUR, charges down the track as bowler drags it short and wide out, reaches for it and belts it over the cover region",
1.4,"Zia-ul-Haq to Tamim Iqbal, FOUR, superbly done, shows the full face to this full ball on the stump, gets it to the right of midwicket and to the fence..",
1.5,"Zia-ul-Haq to Tamim Iqbal, no run, pushes full and wide as Tamim charges down the track..",
1.6,"Zia-ul-Haq to Tamim Iqbal, FOUR, length ball drifting on the pads, clips it nicely to wide of deep backward square leg, very expensive over when you have very less to defend..",
2.1,"Adnan Rasool to Mohammad Hafeez, SIX, tossed up delivery on the leg stump, Hafeez comes down the track and launches over the mid-on",
2.2,"Adnan Rasool to Mohammad Hafeez, no run, flighted ball from round the wicket, wears it on the pad as he tries to sweep, pitched outside leg",
2.3,"Adnan Rasool to Mohammad Hafeez, no run, sweeps it straight into the hands of square leg but Zia-ul-Haq can't hold it, very straight forward chance..",
2.4,"Adnan Rasool to Mohammad Hafeez, 1 run, short ball on the leg stump, punches down to long-on",
2.5,"Adnan Rasool to Tamim Iqbal, 1 run, clips this length ball behind square on the leg side..",
2.6,"Adnan Rasool to Mohammad Hafeez, no run, short and turning across, cuts it nicely but can't beat cover point",
3.1,"Zohaib Khan to Tamim Iqbal, 1 run, gets down on one knee to sweep this length ball, top edges it to the left of shortish fine leg",
3.2,"Zohaib Khan to Mohammad Hafeez, no run, short and wide outside off, cuts it straight to cover point",
3.3,"Zohaib Khan to Mohammad Hafeez, no run, pushes full and spun away beating the outside edge..",
3.4,"Zohaib Khan to Mohammad Hafeez, no run, short and kept low to beat the attempted cut of Hafeez..",
3.5,"Zohaib Khan to Mohammad Hafeez, no run, tossed up on middle, presents the full face as he pushes back to the bowler",
3.6,"Zohaib Khan to Mohammad Hafeez, no run, tossed up outside off, leans forward and driven straight to cover",
4.1,"Adnan Rasool to Tamim Iqbal, no run, tossed up on the leg, edges it to the off side",
4.2,"Adnan Rasool to Tamim Iqbal, 1 run, skips out and works it down to the right of diving mid-on",
4.3,"Adnan Rasool to Mohammad Hafeez, 1 run, pulls this short ball through midwicket for a single",
4.4,"Adnan Rasool to Tamim Iqbal, no run, tossed up outside off, pushes back to the bowler",
4.5,"Adnan Rasool to Tamim Iqbal, no run, gets down to sweep, but can't connect to this drifting length ball..",
4.6,"Adnan Rasool to Tamim Iqbal, 1 run, fullish on the middle stump, clips it infront of square leg",
5.1,"Zohaib Khan to Tamim Iqbal, no run, pushes quicker through air, Tamim checks his shot and yorks himself..",
5.2,"Zohaib Khan to Tamim Iqbal, FOUR, short and angling down the leg, gets down on one knee and works that away to wide of deep backward square leg",
5.3,"Zohaib Khan to Tamim Iqbal, 1 run, flatter length ball on the stumps, tucks it to the right of short fine leg..",
5.4,"Zohaib Khan to Mohammad Hafeez, no run, tossed up on the middle stump, blocks with the full face",
5.5,"Zohaib Khan to Mohammad Hafeez, no run, short and turning in, punches down to mid-on ..",
5.6,"Zohaib Khan to Mohammad Hafeez, 1 run, comes out and yorks himself, inside edge past through the keeper",
6.1,"Bravo to Mohammad Hafeez, no run, yorker length outside off, defends",
6.2,"Bravo to Mohammad Hafeez, 1 run, short and down leg, works that to the left of long leg",
6.3,"Bravo to Tamim Iqbal, 1 run, full on the off stump, tucks to shortish fine leg..",
6.4,"Bravo to Mohammad Hafeez, 1 run, full toss down the leg, helps it away to deep fine leg for a single..",
6.5,"Bravo to Tamim Iqbal, FOUR, nicely done, touch short and outside off, waits and guides it to the right of third man..",
6.6,"Bravo to Tamim Iqbal, 1 run, length ball on off stump, driven along the carpet down to long-on",
7.1,"Mendis to Tamim Iqbal, 1 run, length ball on the leg stump, tucks it through square leg",
7.2,"Mendis to Mohammad Hafeez, 2 runs, short and wide outside off, cuts it to the right of backward point",
7.3,"Mendis to Mohammad Hafeez, no run, short and turning in, pushes to backward point",
7.4,"Mendis to Mohammad Hafeez, no run, flat and short on off stump, punches to cover",
7.5,"Mendis to Mohammad Hafeez, 1 run, full toss on the leg stump, drills it to long-on",
7.6,"Mendis to Tamim Iqbal, 2 runs, full on off stump, clips it through vacant midwicket for a couple with soft hands..",
8.1,"Bravo to Mohammad Hafeez, FOUR, picks this slowish full ball outside off as he muscled it to wide of deep midwicket for a boundary",
8.2,"Bravo to Mohammad Hafeez, no run, bouncer on the leg, 126 kph, ducks underneath it..",
8.3,"Bravo to Mohammad Hafeez, 1 run, full ball just shade outside off, driven down to long-on",
8.4,"Bravo to Tamim Iqbal, no run, touch short and moving across, punches off the back foot to cover point",
8.5,"Bravo to Tamim Iqbal, 1 run, moves across to this length ball, driven down to sweeper cover for a single.",
8.6,"Bravo to Mohammad Hafeez, FOUR, full ball on the fourth stump line, leans onto it and driven uppishly straight down towards the sight screen",
9.1,"Mendis to Tamim Iqbal, FOUR, comes down the track and took this on the full and driven through the extra cover region ..",
9.2,"Mendis to Tamim Iqbal, 1 run, length ball on off stump, clips it through midwicket",
9.3,"Mendis to Mohammad Hafeez, 1 run, ranks out a full toss on the middle, pushes down to long-off",
9.4,"Mendis to Tamim Iqbal, no run, full on off stump, pushes back to the bowler..",
9.5,"Mendis to Tamim Iqbal, no run, turns this full ball to the left of the bowler..",
9.6,"Mendis to Tamim Iqbal, 1 run, works this length ball through midwicket and takes a single..",
10.1,"Adnan Rasool to Tamim Iqbal, 1 run, tossed up delivery outside off, driven down to sweeper",
10.2,"Adnan Rasool to Mohammad Hafeez, SIX, tossed up on the middle, skips out and nicely lofts it straight down towards the sight screen, nicely done..",
10.3,"Adnan Rasool to Mohammad Hafeez, no run, makes it a full toss by stepping out, tucks to short midwicket",
10.4,"Adnan Rasool to Mohammad Hafeez, SIX, another biggie, pushes full and across as he steps out. He still manages to reaches for it and drive that over the extra cover, what a shot that is!",
10.5,"Adnan Rasool to Mohammad Hafeez, 1 run, full on the leg stump, nudges it through midwicket for a single..",
