Ball,Commentary,Wicket
0.1,"Ehsan Adil to Bismillah Khan, no run, beauty to start. Fullish length on off, swerving away prodigiously. Beaten comprehensively.",
0.2,"Ehsan Adil to Bismillah Khan, no run, full on off, pushed back to the bowler",
0.3,"Ehsan Adil to Bismillah Khan, FOUR, starts off at middle and leg, doesn't swing too much and BK picks it off his pads with a neat flick. In the air but wide of square leg",
0.4,"Ehsan Adil to Bismillah Khan, no run, another jaffa. Good length outside off and some away shape takes the ball past the outside edge",
0.5,"Ehsan Adil to Bismillah Khan, 1 leg bye, starts too straight again and it pings off the thigh pad to fine leg",
0.6,"Ehsan Adil to Ahmed Shehzad, FOUR, swatted to the midwicket stand. Easily done. Shortish delivery that sits up for Shehzad to slap to the boundary.",
1.1,"Zafar Gohar to Bismillah Khan, no run, shortish outside off, some turn. Smashed to cover",
1.2,"Zafar Gohar to Bismillah Khan, SIX, slogged away over midwicket. Flat on off, Bismillah gets down early and thwacks it away over midwicket. Just clears the fielder at the boundary",
1.3,"Zafar Gohar to Bismillah Khan, no run, short and wide, slapped to cover",
1.4,"Zafar Gohar to Bismillah Khan, FOUR, nice stroke. Short outside off, Bismillah gives himself room and lofts the ball over cover. Nice stroke, after not finding the gap previously, he decides to go over it.",
1.5,"Zafar Gohar to Bismillah Khan, FOUR, driven past mid-on for four more. Tossed up on middle, BK powers the drive in the air, but wide of mid-on",
1.6,"Zafar Gohar to Bismillah Khan, FOUR, short and wide and Gohar is punished. Scythed in the gap at point for another boundary. Great start this for Quetta",
2.1,"Ehsan Adil to Ahmed Shehzad, OUT, given. Hmm, interesting decision. Good length delivery on leg, Shehzad shuffles across but misses his flick. The umpire raises the finger in a hurry but was that too high or sliding down? Replays aren't conclusive, Shehzad has to go anyway.",['Ahmed Shehzad lbw b Ehsan Adil 4 (2b 1x4 0x6) SR: 200.00']
2.2,"Ehsan Adil to Pietersen, FOUR, too strong there. Poor delivery, full on KP's pads and he brings out a lot of power on his flick. In the air and over midwicket",
2.3,"Ehsan Adil to Pietersen, FOUR, terrible bowling to KP. Very full on middle and leg, Pietersen just helps it on its way past short fine leg for four. Runs leaking at the moment",
2.4,"Ehsan Adil to Pietersen, FOUR, and again. He adjusts his length, on off. But Pietersen shuffles across and picks it off, in the gap through mid-on and midwicket. Four more. Those were manufactured runs, great batting.",
2.5,"Ehsan Adil to Pietersen, FOUR, and another. Shortish delivery on middle and leg, Pietersen clobbers the pull to the fine leg boundary. Got there extremely quickly.",
2.6,"Ehsan Adil to Pietersen, FOUR, five in a row. An absolutely shocking delivery. Would have been wide of Kp ignore it, but he didn't. Tickled it muscularly past short fine leg for the the fifth consecutive boundary of the over. Eventful over.",
3.1,"Cooper to Bismillah Khan, FOUR, he starts off with an awful delivery. Short on leg and Bismillah nurdles it fine to the fine leg boundry",
3.2,"Cooper to Bismillah Khan, no run, fullish outside off, Bismillah feigns backing away before coming back to his normal stance only to get beaten",
3.3,"Cooper to Bismillah Khan, FOUR, clobbered. gets a length delivery in his half and he belts it back over the bowler's head for another boundary",
3.4,"Cooper to Bismillah Khan, FOUR, another boundary. What is happening here? Full and wide outside off, BK goes for a lofted drive but gets a thick outside edge which flies to the third man fence. 11 fours in the last 13.",
3.5,"Cooper to Bismillah Khan, no run, big big noise there. Not given. Good length outside off, Bismillah tries to guide it down to third man but gets a feather through to the keeper. Not given, but he definitely hit that.",
3.6,"Cooper to Bismillah Khan, FOUR, and that will be four more. This was the shot he attempted. Good length outside off, worked away with a dab past short third man for four.",
