Ball,Commentary,Wicket
0.1,"Imran Khalid to Roy, 1 run, fired in on leg, worked away to deep midwicket",
0.2,"Imran Khalid to McCullum, FOUR, that is not good bowling. Flat down leg, McCullum helps himself to four to backward square leg.",
0.3,"Imran Khalid to McCullum, FOUR, over mid-on. A tad too full, McCullum clears his front leg and powers one over the fielder. Very similar to the way he got out yesterday, but got underneath this enough",
0.4,"Imran Khalid to McCullum, no run, hammered back to the bowler",
0.5,"Imran Khalid to McCullum, SIX, flat down leg, McCullum goes back and slogs the ball waaay over midwicket. Those short boundaries again. Easy hitting",
0.6,"Imran Khalid to McCullum, FOUR, four more. 21 off the over. Backs away, gets a low full toss and crashes a drive through extra cover. Sedate start for Lahore",
1.1,"Mohammad Sami to Roy, no run, not a great delivery that. On a length down leg, Roy misses a whip. Struck on the bodt",
1.2,"Mohammad Sami to Roy, 1 run, runs down, works the ball into his body. One to cover",
1.3,"Mohammad Sami to McCullum, FOUR, advances again in typical style. Gets a low full toss and mis-times a lofted drive over mid-off. Four more.",
1.4,"Mohammad Sami to Roy, FOUR, full outside off, Roy mis-times his wild heave and the ball clears mid-off. Four more. Wanted to go over mid-on, but does it really matter?",
1.5,"Mohammad Sami to Roy, no run, worked away to midwicket",
1.6,"Mohammad Sami to Roy, FOUR, four more. Back of a length on off, Roy was looking at midwicket but the ball flies off the bat straight over the bowler. Looked at one point like it had gone straight up. But he had enough to clear the infield and almost hit the rope on the full. Bounced just inside though",
2.1,"Rumman Raees to McCullum, no run, beautiful slower ball. Flummoxed McCullum, too early into his shot",
2.2,"Rumman Raees to McCullum, 2 runs, just enough to clear mid-off. An excellent effort. Full delivery on off, McCullum mis-times his bunt. Sami runs after it and dives full-length but just can't get close enough.",
2.3,"Rumman Raees to McCullum, OUT, gone! McCullum picks out the fielder at deep square leg. A length delivery from Raees, McCullum swings but gets it off the toe end. Hangs in the air for a while, Billings is lurking at the square leg boundary and takes an easy catch. Key moment in the game. An over or two more of Baz and this game may have gone out of reach",['BB McCullum c Billings b Rumman Raees 25 (10b 4x4 1x6) SR: 250.00']
2.4,"Rumman Raees to Fakhar Zaman, 2 runs, nicely played. Overpitched from Raees on the pads, flicked away through midwicket for two",
2.5,"Rumman Raees to Fakhar Zaman, 1 run, driven up to mid-off for a run",
2.6,"Rumman Raees to Roy, no run, another well-disguised slower ball outside off, Roy is beaten on the outside edge",
3.1,"Mohammad Sami to Fakhar Zaman, no run, length outside off, played away towards point",
3.2,"Mohammad Sami to Fakhar Zaman, no run, fullish length outside off, Zaman swings and misses. Beaten on the outside edge. Some movement",
3.3,"Mohammad Sami to Fakhar Zaman, no run, on a length outside off, chopped away towards backward point",
3.4,"Mohammad Sami to Fakhar Zaman, 2 runs, not great batting. Play out a few dot balls and then attempt a big shot. Slower ball outside off, slapped over mid-on for a couple. Bad timing too",
3.5,"Mohammad Sami to Fakhar Zaman, no run, driven away towards extra cover from the crease",
3.6,"Mohammad Sami to Fakhar Zaman, OUT, one more. Zaman's stuttering, spluttering innings ends. A short delivery on middle and leg, Zaman wanted to pull but got nowhere near enough on his stroke. The ball lobs up off the splice towards short midwicket. Sami gets across and claims an easy catch",
4.1,"Rumman Raees to Roy, 1 run, full and straight, patted towards cover for a run. Good batting",['Fakhar Zaman c & b Mohammad Sami 5 (8b 0x4 0x6) SR: 62.50']
4.2,"Rumman Raees to Umar Akmal, no run, nice-looking stroke. Full and wide outside off, crisply timed to cover who parries to mid-off. Akmal's early dot-ball counter is at 1",
4.3,"Rumman Raees to Umar Akmal, no run, played away towards backward point. That's 2",
4.4,"Rumman Raees to Umar Akmal, 1 run, superb fielding from Asif. A thick outside edge from Akmal, races away to third man's left. He makes sure he is not in contact with the ball and the boundary at the same time while diving. Fantastic stuff",
4.5,"Rumman Raees to Roy, 1 run, worked away to deep backward square leg",
4.6,"Rumman Raees to Umar Akmal, no run, a wild swing and the ball beats bat. So that's three dot balls and one single from Akmal.",
5.1,"Watson to Roy, no run, 122 kph, pace off the ball. Length on middle, Roy is early through his pull and is beaten. Hit on the body, trickles by close to the stumps",
5.2,"Watson to Roy, no run, another slower ball, pulled away to short midwicket",
5.3,"Watson to Roy, 1 run, worked away to long-on, just one",
5.4,"Watson to Umar Akmal, no run, a short delivery outside off, beats Akmal on bounce. A cut is missed. Good bowling",
5.5,"Watson to Umar Akmal, 1 run, good single. Opens the face of the bat to get one to backward point",
5.6,"Watson to Roy, 1 run, a low full toss on off, pushed away to mid-off for a run. 50 off the Powerplay. The game in the balance?",
6.1,"Shadab Khan to Roy, 2 runs, some flight on off, shovelled away into the gap at midwicket for a couple. Nice flight",
6.2,"Shadab Khan to Roy, no run, Roy gets low to nail his reverse sweep to short third man. One of his most useful shots",
6.3,"Shadab Khan to Roy, 1 run, bunted away to deep midwicket for one",
6.4,"Shadab Khan to Umar Akmal, FOUR, short and wide this time from Shadab, Akmal goes back and cuts in front of point. Finds the gap, finds the boundary",
6.5,"Shadab Khan to Umar Akmal, no run, the googly on off, worked away to midwicket",
6.6,"Shadab Khan to Umar Akmal, FOUR, nicely driven away through cover, superlative timing. His initial call was two. Races away. Lovely stroke",
7.1,"Saeed Ajmal to Roy, no run, flat on middle and leg, Roy misses his flick. Struck on the body",
7.2,"Saeed Ajmal to Roy, no run, flat on the pads, Roy misses a flick. Another one that hits the pad",
7.3,"Saeed Ajmal to Roy, FOUR, looks for the reverse sweep. Fortuitous. Against Ajmal's extra revs, there is every chance of a leading edge. Gets one here but it clears and is wide of short third man",
7.4,"Saeed Ajmal to Roy, no run, flat on middle, Roy misses a sweep. Sliding down",
7.5,"Saeed Ajmal to Roy, 2 runs, worked away past midwicket for a couple, this is good batting from these two",
7.6,"Saeed Ajmal to Roy, 1 run, pushed through, flat and quick. Roy goes back and mis-times a drive to long-off. bad timing",
8.1,"Shadab Khan to Roy, 1 run, pushed through again, Roy sits back and slaps a cut to the sweeper cover",
8.2,"Shadab Khan to Umar Akmal, FOUR, that's tripe. Often happens with a legspinner. Quite a difficult art. Akmal gets down and nails a drive past cover",
8.3,"Shadab Khan to Umar Akmal, 1 run, driven away to deep cover",
8.4,"Shadab Khan to Roy, 1 run, worked away to deep midwicket",
8.5,"Shadab Khan to Umar Akmal, 1 run, flat down leg, nudged away for a run to fine leg",
8.6,"Shadab Khan to Roy, 2 runs, some more runs. Good fielding by Raees. Tossed up outside off, hammered past cover for a couple. The fielder at long-off dives to his left to save two",
9.1,"Saeed Ajmal to Umar Akmal, 1 run, played away towards point for one",
9.2,"Saeed Ajmal to Roy, FOUR, poor delivery. A slow delivery down leg, Roy gets low and times his sweep to deep backward square leg. Superb execution",
9.3,"Saeed Ajmal to Roy, 1 run, flat on middle, worked to midwicket",
9.4,"Saeed Ajmal to Umar Akmal, 1 run, nicely nudged to deep square leg for one",
9.5,"Saeed Ajmal to Roy, no run, a leading edge to midwicket. Looked to hit that through square leg. Ajmal bowling it slower now",
9.6,"Saeed Ajmal to Roy, 1 run, and quick this time, flat on off, pulled to deep square leg",
10.1,"Watson to Roy, 1 run, short delivery outside off, slapped away to long-on",
10.2,"Watson to Umar Akmal, SIX, nicely hit. Drops a tad short, Akmal stays in his crease and pulls over midwicket. Picked his spot and executed quite well",
10.3,"Watson to Umar Akmal, no run, full delivery outside off, chopped way towards cover",
10.4,"Watson to Umar Akmal, 1 run, another short delivery. Slightly outside off this time. A top edge to fine leg, on the bounce",
10.5,"Watson to Roy, no run, full and wide outside off, Roy toe-ends the ball to the keeper. Looked to go over cover",
10.6,"Watson to Roy, 1 run, worked away towards point for one",
