Ball,Commentary,Wicket
0.1,"Mohammad Irfan to Asad Shafiq, 1 run, Irfan starts off with a short ball angling away outside off, rears up at the batsman, Shafiq jumps off his ground and fends this chest-high delivery to the right of the cordon",
0.2,"Mohammad Irfan to Ahmed Shehzad, FOUR, french-cut away for four. Good length and seams back in, takes the inside edge and streaks away fine on the leg side past the leg stump",
0.3,"Mohammad Irfan to Ahmed Shehzad, no run, Iran runs in hard and sends down a short ball outside off, jabbed into the covers",
0.4,"Mohammad Irfan to Ahmed Shehzad, 2 runs, not as short as the previous ball outside off, drags a pull to the right of mid-on",
0.5,"Mohammad Irfan to Ahmed Shehzad, 2 runs, short and outside off, Shehzad rises with the ball and works it away through square leg for a double",
0.6,"Mohammad Irfan to Ahmed Shehzad, 1 run, full and attacking the front pad of the batsman, nudged away square on the leg side again, this time just a single",
1.1,"Mohammad Sami to Ahmed Shehzad, SIX, and Shehzad welcomes him with a pulled six. Just short of a good length and outside off, Shehzad picks it up and dumps the ball over midwicket. Clears the short boundary. This strike suggests it's a belter",
1.2,"Mohammad Sami to Ahmed Shehzad, 1 run, back of a length, picked off through midwicket",
1.3,"Mohammad Sami to Asad Shafiq, no run, back of a length and outside off, kicks at Shafiq, he can't get on top of the ball. A jabbing punch to cover ensues",
1.4,"Mohammad Sami to Asad Shafiq, no run, back of a length and outside off, punched firmly, but can't beat Dwayne Smith diving across to his right from backward point",
1.5,"Mohammad Sami to Asad Shafiq, 1 run, short of a length and angled into the right-hander, bunted to mid-on",
1.6,"Mohammad Sami to Ahmed Shehzad, no run, back of a length and outside off, Shehzad has a skittish waft at the ball and inside-edges it beside his feet. An over of short of a length or back of a length ball ends",
2.1,"Mohammad Irfan to Asad Shafiq, no run, short of a length and angling away outside off, the short ball seems to be the trend today. Shafiq nearly swings himself off his feet. Beaten lavishly",
2.2,"Mohammad Irfan to Asad Shafiq, no run, beaten lavishly again. Short and angling away outside off, this time Shafiq eyes up a cut, not a pull, and does not make contact",
2.3,"Mohammad Irfan to Asad Shafiq, 1 run, dug in short and thuds into the splice of the bat as Shafiq leaps off his feet and awkwardly fends it to the leg side",
2.4,"Mohammad Irfan to Ahmed Shehzad, FOUR, length ball angling away outside off, Shehzad hits through the line and punchily drives it between point and cover",
2.5,"Mohammad Irfan to Ahmed Shehzad, no run, fuller than the previous ball, dabbed with soft hands to point now",
2.6,"Mohammad Irfan to Ahmed Shehzad, FOUR, full and outside off, Shehzad leans into the drive and stylishly strokes the ball through extra cover. Away she whistles to the boundary",
3.1,"Rumman Raees to Asad Shafiq, 1 run, very full and angling away outside off, drives, but not off the middle, to mid-off. Shafiq finds some breathing space at the other end",
3.2,"Rumman Raees to Ahmed Shehzad, no run, good length and angling away outside off, played back down the pitch",
3.3,"Rumman Raees to Ahmed Shehzad, 1 run, pitched up and outside off, Shehzad does not need any second invitations to drive. Leans forward and hits the ball to mid-off",
