Ball,Commentary,Wicket
0.1,"Anwar Ali to Smith, no run, full and outside off, Smith drums it away to point. Can't find the gap",
0.2,"Anwar Ali to Smith, no run, back of a length and slanted in, Smith plays back and is rapped on the thigh. But this is heading past leg stump",
0.3,"Anwar Ali to Smith, 1 run, full on the stumps, knocked into the leg side",
0.4,"Anwar Ali to Billings, no run, full inswinger, catches Billings on the move. He plays around the front pad and does not connect",
0.5,"Anwar Ali to Billings, 1 run, Billings shimmies out and bunts a length ball to mid-on",
0.6,"Anwar Ali to Smith, no run, just short of a good length on off, punched in the direction of midwicket",
1.1,"Umar Gul to Billings, FOUR, overpitched and outside off, Billings holds his shape, opens the face and threads the gap at cover with a sweet drive",
1.2,"Umar Gul to Billings, no run",
1.3,"Umar Gul to Billings, FOUR, pretty full and angled in on off, Billings flicks it away through the vacant spaces at midwicket",
1.4,"Umar Gul to Billings, 1 run, back of a length and slanted in on off, a whirl of the wrists as Billings hits towards midwicket",
1.5,"Umar Gul to Smith, 1 run, full and angled in on off, pushed to mid-on running in",
1.6,"Umar Gul to Billings, no run, length ball on off, negotiated a straight bat",
2.1,"Anwar Ali to Smith, 1 run, Smith backs away outside leg, the bowler chases him, whipped to deep square leg",
2.2,"Anwar Ali to Billings, no run, short and outside off, leans back and chops to cover-point",
2.3,"Anwar Ali to Billings, 1 run, uses his feet, meets a full ball and pushes to mid-on",
2.4,"Anwar Ali to Smith, no run, full inswinger, inside-edged onto the pad",
2.5,"Anwar Ali to Smith, no run, lifter on off, ducks under it",
2.6,"Anwar Ali to Smith, no run, full and outside off, driven to mid-off for a quick single",
3.1,"Perera to Billings, 1 run, slower delivery on off, forward and patted to point",
3.2,"Perera to Smith, no run, full and outside off, swish and a miss",
3.3,"Perera to Smith, 1 run, back of a length and angled in on off, jabbed to mid-on",
3.4,"Perera to Billings, 1 run, slower incutter, dabbed with soft hands to the leg side",
3.5,"Perera to Smith, no run, back of a length and angled in, hangs back and punches to midwicket",
3.6,"Perera to Smith, 1 run, slower full ball on off stump, Smith looks to launch it out of Sharjah. He can only miscue it to deep midwicket",
4.1,"Anwar Ali to Smith, 1 run, just short of a good length and outside off, forced to long-on",
4.2,"Anwar Ali to Billings, FOUR, Billings gallops down the track, the bowler had dragged his length back, but Billings still flat-batted it away past mid-off",
4.3,"Anwar Ali to Billings, FOUR, Billings goes over cover down. Steps out again, takes a short ball and muscles it over the top for back-to-back fours",
4.4,"Anwar Ali to Billings, no run, short and angled into the body, Billings aims to fend. The ball lobs to the leg side. Smith is too eager for the single. Billings isn't interested. Sends his partner back. The bowler hunts the ball down, Smith whips around, but Anwar attempts the throw, hitting Smith on the back. It was unintentional and thus the appeal for obstructing the field is shot down by umpire Dar",
4.5,"Anwar Ali to Billings, FOUR, full on the legs, flicked away handsomely square of short fine leg for four. Billings in fine touch",
4.6,"Anwar Ali to Billings, 1 run, another leg-side flick, this time for one",
5.1,"Mohammad Nawaz to Billings, 1 run, full and outside off, pushed to long-off",
5.2,"Mohammad Nawaz to Smith, FOUR, slides in with the arm, paddled away fine of short fine leg for four",
5.3,"Mohammad Nawaz to Smith, OUT, Nawaz strikes with his third ball. Slides in with the arm. Non-turning ball, which is not short enough for the short-arm pull. Smith does not connect. Nawaz barges into his castle and takes him down",['DR Smith b Mohammad Nawaz 10 (16b 1x4 0x6) SR: 62.50']
5.4,"Mohammad Nawaz to Haddin, no run, skids on outside off, not short enough for the cut. Haddin misjudges it and gets away",
5.5,"Mohammad Nawaz to Haddin, no run, uses his feet, does not meet the pitch, and wears it on the pad",
5.6,"Mohammad Nawaz to Haddin, 1 leg bye, again, Haddin uses his feet, he is nowhere close to the pitch. Deflects the ball off the thigh to the leg side",
6.1,"Hasan Khan to Haddin, no run, chopped from off stump to short third man with an angled bat",
6.2,"Hasan Khan to Haddin, 1 run, short and spins away outside off, catches the outside edge and streaks away fine of short third man. Good save",
6.3,"Hasan Khan to Billings, 1 run, slides in with the arm, the length is fuller, push-driven to long-on",
6.4,"Hasan Khan to Haddin, 1 run, full on the stumps, eased down to long-on",
6.5,"Hasan Khan to Billings, 1 run, down the track and whips a full ball from off stump to deep midwicket",
6.6,"Hasan Khan to Haddin, no run, Haddin steps out, but is not close enough to the pitch. Poked back to the bowler",
7.1,"Mohammad Nawaz to Billings, no run, starts on off and spins away, dabbed to point with soft hands",
7.2,"Mohammad Nawaz to Billings, FOUR, Billings goes inside-out, beating long-off to his left. Twinkles down the track, collapses his back leg at the last instant and times it to perfection",
7.3,"Mohammad Nawaz to Billings, 1 run, down the track and clipped to wide long-on",
7.4,"Mohammad Nawaz to Haddin, FOUR, tossed full on off, Haddin clears his front leg and hoists it over the bowler's head",
7.5,"Mohammad Nawaz to Haddin, OUT, Haddin nicks behind. Double-strike from Nawaz. Shortish and skids on outside off, Haddin backs away outside leg and only under-edges it behind to Sarfraz. The shot was probably on, the execution was iffy",
7.6,"Mohammad Nawaz to Misbah-ul-Haq, no run, too full on middle, reverse-paddled from the stumps to short third man",['BJ Haddin c †Sarfraz Ahmed b Mohammad Nawaz 6 (9b 1x4 0x6) SR: 66.66']
8.1,"Hasan Khan to Billings, 1 run, full and speared into the pads, flicked away to deep midwicket",
8.2,"Hasan Khan to Misbah-ul-Haq, 1 run, attacks the stumps, Misbah hangs back and nudges the ball through square leg",
8.3,"Hasan Khan to Billings, 1 run, Billings skips out, but is beaten by turn. The outside edge dies in front of short third",
8.4,"Hasan Khan to Misbah-ul-Haq, no run, Misbah goes low, sweeps from leg stump, but can't get it past short fine leg",
8.5,"Hasan Khan to Misbah-ul-Haq, 1 run, Misbah steps away outside leg, Hasan follows him and raps him on the pad",
8.6,"Hasan Khan to Billings, 1 run, skids into the pads, picked off to deep square leg for one",
9.1,"Umar Gul to Billings, no run, not short enough for a cut outside off. Billings slashes and does not make contact",
9.2,"Umar Gul to Billings, 1 run, length ball on off, allows the ball to come onto him, and runs it down to third man. Smoothly done",
9.3,"Umar Gul to Misbah-ul-Haq, no run, back of a length and outside off, Misbah jabs it away in the direction of short third man",
9.4,"Umar Gul to Misbah-ul-Haq, FOUR, Misbah goes downtown. He races down the track, takes a full ball, and clouts it over the bowler's head. Clean, clean strike. Sir Viv is ecstatic in the Quetta change room",
9.5,"Umar Gul to Misbah-ul-Haq, no run, shortish and outside off, punched away.... but backward point ventures to his left and hunts it down",
9.6,"Umar Gul to Misbah-ul-Haq, 4 byes, bouncer outside off, Misbah jumps down the track, does not connect with a hook. The ball beats the keeper too. Byes",
10.1,"Hasan Khan to Billings, 1 run, pushed through on the stumps, driven to long-on",
10.2,"Hasan Khan to Misbah-ul-Haq, FOUR, nicely tossed on the off stump, Misbah goes low and sweeps it away to the right of deep square leg. Top placement",
