Ball,Commentary,Wicket
0.1,"Tait to Asad Shafiq, no run, full and swings away on of stump, play and a miss.",
0.2,"Tait to Asad Shafiq, no run, another ripper from Tait. Length ball on off stump, swung away to fox his defence.",
0.3,"Tait to Asad Shafiq, 1 run, on the pads and neatly flicked to long-leg region, single it is and first runs on the board.",
0.4,"Tait to Ahmed Shehzad, no run, nice pace again, shaped away. Blocked to cover-point.",
0.5,"Tait to Ahmed Shehzad, FOUR, tad wide on off stump and enough room to slash his bat at this one, top edge and into the third man fence.",
0.6,"Tait to Ahmed Shehzad, no run, full and wide, asking him to fetch outside off. Play and a miss.",
1.1,"Junaid Khan to Asad Shafiq, 1 run, length ball on off stump abd nudged to on side for a quick single.",
1.2,"Junaid Khan to Ahmed Shehzad, no run, pushed it across on off stump and fends to cover. Lovely channel.",
1.3,"Junaid Khan to Ahmed Shehzad, 1 run, drags his length back a bit on off stump, he shimmies to off and pulls to deep. Only for a single though.",
1.4,"Junaid Khan to Asad Shafiq, FOUR, great wrists. Length on middle and leg, he gets on the front foot and whips it past mid-on for four more.",
1.5,"Junaid Khan to Asad Shafiq, 1 run, saunters down the track and cracks to wide of mid-off. Afridi covers good ground and does well.",
1.6,"Junaid Khan to Ahmed Shehzad, 1 run, back of a length on middle and leg, opens up a bit and runs it down to third man for a single.",
2.1,"Tait to Ahmed Shehzad, no run, slanting on to the pads and tucks to square leg.",
2.2,"Tait to Ahmed Shehzad, no run, full on off stump, punched back to the bowler.",
2.3,"Tait to Ahmed Shehzad, no run, length ball on off stump, he makes room and mistimes to mid-on.",
2.4,"Tait to Ahmed Shehzad, 4 leg byes, swung in this time around, cramped him and beats him for pace as well, Kisses his pad on its way to fine leg.",
2.5,"Tait to Ahmed Shehzad, FOUR, back of a length on off stump, he was rocking on the back foot and muscles it over mid wicket for four more",
2.6,"Tait to Ahmed Shehzad, no run",
3.1,"Junaid Khan to Asad Shafiq, 1 run, length on off stump, pushed to mid-off and sets off for a quick single.",
3.2,"Junaid Khan to Ahmed Shehzad, 2 runs, slower ball and almost foxed him, micued his pull to deep on the leg side.",
3.3,"Junaid Khan to Ahmed Shehzad, 2 runs, leg stumpish again from Junaid, length on his hips and whipped to backward square leg for a couple more",
3.4,"Junaid Khan to Ahmed Shehzad, 1 run, nudged to mid-on with soft hands and scampered for a another cheeky run",
3.5,"Junaid Khan to Asad Shafiq, no run, tad wider on off and cuts to cover-point.",
3.6,"Junaid Khan to Asad Shafiq, SIX, Asad Shafiq you beauty! Picks up the length early, on the front foot and sends it packing over cow-corner. Out of no where and Junaid look bemused. So am I.",
4.1,"Wahab Riaz to Ahmed Shehzad, SIX, Welcome Sir. It was was full on off stump, he waits, waits and smothers it over wide long-on region.",
4.2,"Wahab Riaz to Ahmed Shehzad, OUT, sweet revenge. Opts to come round the stumps, bowls it slower one and Ahmed Shezad was through his shot early as the ball snakes through and crashes into the stumps. Oho Wahab has given him a pretty harsh farewell.",['Ahmed Shehzad b Wahab Riaz 21 (17b 2x4 1x6) SR: 123.52']
4.3,"Wahab Riaz to Sangakkara, no run, length ball on off and blocked into cover.",
4.4,"Wahab Riaz to Sangakkara, OUT, bowled? Yes. Length ball on off stump, nipped back in sharply and cramped for room. Sanga was sitting on the backfoot and tried to run it down to third man, gets an inside edge and then ricochets onto the stumps. Everyone thought Kamran has shelled a though catch but it had already kissed the off bail.",
4.5,"Wahab Riaz to Akbar-ur-Rehman, no run, pushed across on off and beats the edge.",['KC Sangakkara b Wahab Riaz 0 (2b 0x4 0x6) SR: 0.00']
4.6,"Wahab Riaz to Akbar-ur-Rehman, 1 run, bumper on off and pulled to square legf for a single",
5.1,"Shahid Afridi to Akbar-ur-Rehman, no run, full on off and pushed into cover",
5.2,"Shahid Afridi to Akbar-ur-Rehman, OUT, Bowled Shahid - Caught Shahid. It was nicely tossed up on off stump, he gets on the front foot and tried to squeeze it through cover but only managed an outside edge as the ball lobs up to Yousuf at point who takes a fine low catch.",
5.3,"Shahid Afridi to Mohammad Nawaz, no run, down the leg and clips his pad",
5.4,"Shahid Afridi to Mohammad Nawaz, 1 run, fuller on off and nudged to deep on the leg side",['Akbar-ur-Rehman c Shahid Yousuf b Shahid Afridi 1 (4b 0x4 0x6) SR: 25.00']
5.5,"Shahid Afridi to Asad Shafiq, 1 run, full on off and pushed back past the bowler",
5.6,"Shahid Afridi to Mohammad Nawaz, no run, down the leg and brushes his pad again.",
6.1,"Wahab Riaz to Asad Shafiq, no run, pushed across the right hander on off and defended into cover.",
6.2,"Wahab Riaz to Asad Shafiq, no run, fuller on off and slogged to mid-wicket",
6.3,"Wahab Riaz to Asad Shafiq, no run, angled across on off and another reckless heave, play and a miss.",
6.4,"Wahab Riaz to Asad Shafiq, 1 run, full on middle and leg, tucked to dee backward square leg.",
6.5,"Wahab Riaz to Mohammad Nawaz, no run, drags his length back a bit on off and he sways away.",
6.6,"Wahab Riaz to Mohammad Nawaz, 1 run, down the legm shimmies to off a bit and nudges to square leg for a run.",
7.1,"Shahid Afridi to Mohammad Nawaz, 1 run, quicker and flatter on off, nudged to on side",
7.2,"Shahid Afridi to Asad Shafiq, OUT, I reckon he's gone! Saw him making and he follows him. Asad jabs it out to short mid-wicket region and calls for a suicidal run. The skipper picks up the ball and hurls in a throw at the bowler end. Asad was miles out. Sayonara!",
7.3,"Shahid Afridi to Mohammad Nawaz, no run, pushed to off side",
