Ball,Commentary,Wicket
0.1,"Umar Gul to Mohammad Hafeez, no run, much better on off stump and blocked to cover",
0.2,"Umar Gul to Mohammad Hafeez, no run, angled in from off and nearly squared him up, defended.",
0.3,"Umar Gul to Mohammad Hafeez, no run, nice channel on off stump and fends to on side",
0.4,"Umar Gul to Mohammad Hafeez, 1 run, angled in, onto his pads and tucked away to backward square leg for a run",
0.5,"Umar Gul to Malan, no run, pushed across the left hander on off stump, play and a miss",
0.6,"Umar Gul to Malan, no run, Shehzad! Length ball on off stump and thwacked towards point. Shehzad dives and does a great job",
1.1,"Zulfiqar Babar to Mohammad Hafeez, 1 leg bye, on the legs and nudged to short fine leg for a single",
1.2,"Zulfiqar Babar to Malan, no run, tossed up on off stump and fends to cover-point",
1.3,"Zulfiqar Babar to Malan, 1 run, fuller on off stump and milks a run down the ground",
1.4,"Zulfiqar Babar to Mohammad Hafeez, 1 run, saw him coming and drags his length back a bit, pushes to mid-on for a single",
1.5,"Zulfiqar Babar to Malan, no run, fuller on off stump and gets a thick inside edge onto his pad",
1.6,"Zulfiqar Babar to Malan, 1 run, tossed up on off stump, gets down and clobbered to deep mid-wicket region. Man stationed out there does well.",
2.1,"Umar Gul to Malan, no run, width offered on off stump and slapped to point again",
2.2,"Umar Gul to Malan, no run, back of a length ball on off stump and tries to slog it over mid-wicket but only manages a miscue to on side",
2.3,"Umar Gul to Malan, no run, length ball, angled in and nipped away to fox his cut",
2.4,"Umar Gul to Malan, no run, grassed! Length ball on off stump and slashed hard. Sarfraz gets his hand on to this one and fails to snaffle it. Oh how costly.",
2.5,"Umar Gul to Malan, no run, full and wide on off stump, yorker length and squeezes out",
2.6,"Umar Gul to Malan, no run, another false shot to on side, safe though",
3.1,"Zulfiqar Babar to Mohammad Hafeez, no run, arm ball, came in with the arm and snakes through his legs, Sarfraz pleads was leg-before.",
3.2,"Zulfiqar Babar to Mohammad Hafeez, 1 run, nudged to on side for a single",
3.3,"Zulfiqar Babar to Malan, FOUR, badly lined. Freebie on leg stump and thwacked to fine leg four more",
3.4,"Zulfiqar Babar to Malan, 1 run, fuller on off and milks a run down the ground",
3.5,"Zulfiqar Babar to Mohammad Hafeez, no run, tossed up on off stump, he shimmies to leg and maneuvers to cover",
3.6,"Zulfiqar Babar to Mohammad Hafeez, 1 run, fired on middle and leg, tucked to vacant on side for a single",
4.1,"Mohammad Nawaz to Mohammad Hafeez, no run, down the track and pushed to cover",
4.2,"Mohammad Nawaz to Mohammad Hafeez, SIX, dancing shoes on and gets to the pitch of the ball and sends kit sailing over long-on.",
4.3,"Mohammad Nawaz to Mohammad Hafeez, FOUR, he;s gone again. Little saunter down the track and whacks back over the bowlers head, one bounce and over the rope.",
4.4,"Mohammad Nawaz to Mohammad Hafeez, FOUR, he's turning the tables around. Another shimmy and lofts over mid-off for four more",
4.5,"Mohammad Nawaz to Mohammad Hafeez, no run, flatter trajectory, sliding down the leg and thuds on his pad",
4.6,"Mohammad Nawaz to Mohammad Hafeez, 1 run, length ball on off stump and pulls to deep for a single",
5.1,"Mohammad Nabi to Mohammad Hafeez, 1 run, length ball on off stump and punched to long-on for a single",
5.2,"Mohammad Nabi to Malan, 1 run, arm ball, came in with the arm and punched down the ground",
5.3,"Mohammad Nabi to Mohammad Hafeez, 1 run, tossed up on off and pushed into cover for a single",
5.4,"Mohammad Nabi to Malan, FOUR, how good is that from Malan. Drops it tad short on off, rocks back and crunches to deep cover. Top shot.",
5.5,"Mohammad Nabi to Malan, 1 run, nudged to on side and scampered for a quick run.",
5.6,"Mohammad Nabi to Mohammad Hafeez, no run, fuller on off stump and bunts to cover, no run there.",
6.1,"Mohammad Nawaz to Malan, 1 run, tossed up on off and whips to long-on for a single",
6.2,"Mohammad Nawaz to Mohammad Hafeez, no run, saw him coming and drops it short on off, punched to cover",
6.3,"Mohammad Nawaz to Mohammad Hafeez, no run, flatter on off stump, kept a shade low too and cuts to point",
6.4,"Mohammad Nawaz to Mohammad Hafeez, FOUR, length ball on middle and leg, skidded through and easy pickings for Hafeez. Rocked back and pulled to deep for four more",
6.5,"Mohammad Nawaz to Mohammad Hafeez, 1 run, dabs to off side for a single",
6.6,"Mohammad Nawaz to Malan, 1 run, too full outside off and nudges to deep mid-wicket region for a run and retains the strike.",
7.1,"Elliott to Malan, 1 run, onto his pads and tucked to backward square leg for a run",
7.2,"Elliott to Mohammad Hafeez, no run, slower ball, full and straight and safely kept out",
7.3,"Elliott to Mohammad Hafeez, FOUR, badly lined by the Kiwr. Short and wide outside off, ample time for the batsman as he rocks back and cuts past point",
7.4,"Elliott to Mohammad Hafeez, 1 run, much better on off, punched down the ground for a single",
7.5,"Elliott to Malan, 1 run, angled in from off and runs it down the ground",
7.6,"Elliott to Mohammad Hafeez, 1 run, angling in and neatly negotiated to on side for a run",
8.1,"Mohammad Nawaz to Mohammad Hafeez, FOUR, down the track and tonked back over the bowlers head. Long-off runs across but couldn't that going over the rope",
8.2,"Mohammad Nawaz to Mohammad Hafeez, OUT, skewed up and gone! Danced down the track again, doesn't get to the pitch of the ball. It was bowled tad slower on off and the miscued heave lops up to cover-point region and Elliott snaffles it.",['Mohammad Hafeez c Elliott b Mohammad Nawaz 36 (29b 5x4 1x6) SR: 124.13']
8.3,"Mohammad Nawaz to Malan, 1 run, tad wide on off and slapped to deep cover for a single",
8.4,"Mohammad Nawaz to Kamran Akmal, no run, slower through the air on middle and leg. Blocked to short mid-wicket.",
8.5,"Mohammad Nawaz to Kamran Akmal, no run, short and cuts to the man at point",
8.6,"Mohammad Nawaz to Kamran Akmal, 1 run, fuller on off stump and driven through square on the off side.",
9.1,"Elliott to Kamran Akmal, 1 run, fuller on off stump and pushed down the ground for a single",
9.2,"Elliott to Malan, 4 byes, what was that. That was a bumper on middle and off, Malan sways away and so does the keeper. What are you doing? He was completely flummoxed.",
9.3,"Elliott to Malan, 1 run, full on off and pushed down the ground for a single",
9.4,"Elliott to Kamran Akmal, no run, nudged to cover",
9.5,"Elliott to Kamran Akmal, 1 run, angled in and tucked of his pads for a single",
9.6,"Elliott to Malan, 1 run, tad wide on off stump and slapped to deep cover for a single",
10.1,"Zulfiqar Babar to Malan, FOUR, boom! Full on off stump, he gets down on his knee and bludgeoned back over the bowlers head.",
10.2,"Zulfiqar Babar to Malan, 1 run, much slower on off stump and miscued his slog to backward square leg",
10.3,"Zulfiqar Babar to Kamran Akmal, 1 run, flatter on off stump and punched into deep cover for a single",
10.4,"Zulfiqar Babar to Malan, 1 run, quicker on middle and leg, tucked to square leg for a single",
10.5,"Zulfiqar Babar to Kamran Akmal, 1 run, fuller on middle and leg and whipped to vacant on side",
10.6,"Zulfiqar Babar to Malan, no run, yorker length on leg stump and punched to mid-on",
11.1,"Mohammad Nabi to Kamran Akmal, 1 run, fuller on off and pushed to long-on for a single",
11.2,"Mohammad Nabi to Malan, 1 run, makes room and maneuvers to deep cover",
11.3,"Mohammad Nabi to Kamran Akmal, 1 run, quicker on off and milks a run down the ground",
11.4,"Mohammad Nabi to Malan, 2 runs, tossed up on middle and leg, paddled to fine-leg",
11.5,"Mohammad Nabi to Malan, 1 run, fuller outside off stump and squeezed to deep cover",
11.6,"Mohammad Nabi to Kamran Akmal, no run, quicker ball, angled in and hits him in front. Loud cry for leg-before, turned down",
12.1,"Umar Gul to Malan, no run, short on off stump, pull and a miss",
12.2,"Umar Gul to Malan, no run, length ball on off stump and miscued his pull to mid-wicket",
12.3,"Umar Gul to Malan, 1 leg bye, angled in from and choked him for room as it thuds on his back pad and they pinch a leg-bye",
12.4,"Umar Gul to Kamran Akmal, no run, dragged down a bit on off and a awful timing on this one, mistimed to on side",
12.5,"Umar Gul to Kamran Akmal, no run, full on middle and leg, nudged to short mid-wicket",
12.6,"Umar Gul to Kamran Akmal, 1 run, length ball on off stump, pushed to mid-off and sets off for a quick run",
13.1,"Mohammad Nabi to Kamran Akmal, 1 run, shimmy down and thwacks down the ground for a single",
13.2,"Mohammad Nabi to Malan, SIX, that has been murdered. Tossed up on off stump, he gets nice piece of willow on this one and hoicks it over deep mid wicket",
13.3,"Mohammad Nabi to Malan, 2 runs, flatter on off and paddles to fine leg for a couple more",
13.4,"Mohammad Nabi to Malan, 1 run, quicker ball and nudged to on side for a single",
13.5,"Mohammad Nabi to Kamran Akmal, 1 run, punched down the ground for a singletos",
13.6,"Mohammad Nabi to Malan, FOUR, tossed up on off stump and lifted over cover for four more. Sheer timing. He shimmied a bit to leg and maneuvered with ease.",
14.1,"Umar Gul to Kamran Akmal, 1 run, fuller on off and pushed to cover for a single",
14.2,"Umar Gul to Malan, 1 run, back of a length on off stump and pulled fiercely to the man at backward square leg",
14.3,"Umar Gul to Kamran Akmal, no run, short on off stump and he ducks underneath",
14.4,"Umar Gul to Kamran Akmal, 1 run, fuller on off stump and swats through cover and only for a single",
14.5,"Umar Gul to Malan, 1 leg bye, nipped back in sharply and thuds on his pad. Missing leg and an ambitiousback of a appeal from the bowler",
14.6,"Umar Gul to Kamran Akmal, 1 run, back of a length on off and a miscued pull to long-on",
15.1,"Elliott to Kamran Akmal, no run, flatter on off stump, play and a miss",
15.2,"Elliott to Kamran Akmal, 1 run, angled in from off and nudged to deep for a run",
15.3,"Elliott to Malan, 1 run",
15.4,"Elliott to Kamran Akmal, 1 run, fuller on off stump and turned to on side for a single",
15.5,"Elliott to Malan, 1 run, length on off and pulled to deep mid wicket for a single",
15.6,"Elliott to Kamran Akmal, 1 run, tossed up on off and punched to long-on for a single",
16.1,"Zulfiqar Babar to Kamran Akmal, 1 run, full and wide on off and squeezed to point for a single",
