Ball,Commentary,Wicket
0.1,"Mohammad Irfan to Bismillah Khan, no run, right on target around the off stump from length, Bismillah starts by defending it back",
0.2,"Mohammad Irfan to Bismillah Khan, no run, short of good length now and angling outside off, pushed to point",
0.3,"Mohammad Irfan to Bismillah Khan, OUT, Irfan has struck, Bismillah was squared up completely and the finger has gone up but the batsman looks unhappy! Much shorter ball on leg stump and massive swing and bounce, Bismillah closed the face of the bat towards the leg side and it looked like the ball deviated so much that the keeper had to dive in front of first slip to take the catch. Haddin it was",['Bismillah Khan c †Haddin b Mohammad Irfan 0 (3b 0x4 0x6) SR: 0.00']
0.4,"Mohammad Irfan to Pietersen, no run, beats KP first ball! Just short of length and swinging away, KP pokes and misses",
0.5,"Mohammad Irfan to Pietersen, no run, around short of length and he steers it to midwicket",
0.6,"Mohammad Irfan to Pietersen, 1 run, fuller and wider and there's enough room for KP to drive it a bit wide of mid-off to get off the mark",
1.1,"Imran Khalid to Pietersen, no run, charges down first ball to slog to the leg side but takes it on the pad outside leg",
1.2,"Imran Khalid to Pietersen, 1 run, just outside off now on length, KP drives it down to long-off",
1.3,"Imran Khalid to Ahmed Shehzad, no run, on length on off, pushed back to the bowler",
1.4,"Imran Khalid to Ahmed Shehzad, 1 run, shuffles down and flicks the ball past midwicket to get off the mark",
1.5,"Imran Khalid to Pietersen, 1 run, walks down towards the off side and chips the ball in the air just wide of the bowler's right to long-on",
1.6,"Imran Khalid to Ahmed Shehzad, 1 run, goes back and opens up to work the ball towards deep square leg for one",
2.1,"Mohammad Irfan to Ahmed Shehzad, 1 run, flicks the ball from middle and leg to midwicket for a single",
2.2,"Mohammad Irfan to Pietersen, SIX, hammered! It was short, KP unleashed a massive backlift and swung the bat so hard the ball had to go beyond the midwicket boundary, the crowd erupts!",
2.3,"Mohammad Irfan to Pietersen, no run, full and wide outside off, KP drives firmly but straight to cover",
2.4,"Mohammad Irfan to Pietersen, no run, back of length now and the ball just about holds its line well outside off, KP swings for a square drive and misses",
2.5,"Mohammad Irfan to Pietersen, no run, shuffles across to off and drills the ball back. That's not it, Irfan grabs it with both hands and shatters the stumps as KP was outside the crease while playing the shot, but back in time",
2.6,"Mohammad Irfan to Pietersen, 2 runs, slightly slower at 120kph, it' short again and KP pulls but not from the middle. He gets enough to collect two over the midwicket fielder",
3.1,"Badree to Ahmed Shehzad, no run, pretty flat on off stump, no turn, he defends it back",
3.2,"Badree to Ahmed Shehzad, FOUR, dances down to take the ball on the full and drills it back all along the ground to beat mid-off for four. There was some power packed in that shot!",
3.3,"Badree to Ahmed Shehzad, 2 runs, opens his stance on the back foot and whips it against the turn, if there was any, to deep midwicket for two. Bit of fumble from Russell in the end, but doesn't cost them much",
3.4,"Badree to Ahmed Shehzad, 1 run, charges down again, Badree pitches it shorter and Shehzad slams it square where Sharjeel dives to his right and keeps it to one",
3.5,"Badree to Pietersen, 1 run, comes down the track and flicks it with some power to deep midwicket",
3.6,"Badree to Ahmed Shehzad, FOUR, he's not going to Badree settle down - charges down and dispatches that straight down the ground, this time with the aerial route, and it's four more!",
4.1,"Mohammad Sami to Pietersen, no run, short ball with some width, KP stands tall and slams that to cover",
4.2,"Mohammad Sami to Pietersen, 1 run, towards the pads now and KP flicks it to midwicket for one",
4.3,"Mohammad Sami to Ahmed Shehzad, 1 run, full on middle and leg, flicked behind square easily",
4.4,"Mohammad Sami to Pietersen, 2 runs, another full delivery on the pads and KP flicks it wide of deep square leg for two more",
4.5,"Mohammad Sami to Pietersen, 2 runs, not as full this time but doesn't matter to KP, he lofts it with a pull over mid-on for two as Dre Russ gets to it in no time",
4.6,"Mohammad Sami to Pietersen, 1 run, drives on the off side, not middled again, but it's gone to sweeper cover for one",
5.1,"Russell to Pietersen, OUT, and he strikes first ball, the credit should go to the fielder though - Asif Ali! KP looked to heave the ball hard towards the cow corner but he didn't middle it and Asif ran to his right from deep square leg to just about get his fingers under the dipping ball. Great catch!",
5.2,"Russell to Sangakkara, 1 run, pushes the ball into the off side with soft hands and gets off the mark",['KP Pietersen c Asif Ali b Russell 18 (18b 0x4 1x6) SR: 100.00']
5.3,"Russell to Ahmed Shehzad, no run, on length around off and Shehzad defends it back",
5.4,"Russell to Ahmed Shehzad, 1 run, gets a bit of bottom edge while cutting the short ball towards point and runs across for a quick one",
5.5,"Russell to Sangakkara, no run, slightly full and wide, steered to point off the back foot",
5.6,"Russell to Sangakkara, 1 run, on the leg side now with a short ball and Sanga pivots around to pull it to leg",
6.1,"Badree to Sangakkara, 1 run, outside off, he guides it late to short third man for one",
6.2,"Badree to Ahmed Shehzad, 1 run, goes back in the crease and works the ball just behind square on leg",
6.3,"Badree to Sangakkara, 1 run, pretty full outside off, digs it down to long-off for one",
6.4,"Badree to Ahmed Shehzad, 1 run, pushes this one gently into the covers for a quick single",
6.5,"Badree to Sangakkara, FOUR, through the fielder and it's four! Was a bit short, a bit wide and Sanga cut it late towards short third man where the fielder dived to his left but couldn't get a hand to it",
6.6,"Badree to Sangakkara, no run, blocks the final ball back to the bowler",
7.1,"Russell to Ahmed Shehzad, 1 run, direct hit and that's gone upstairs! Shehzad cuts the shortish ball to point and takes off, SAnga responds well and does even better to drag his bat in just in time. Wasn't at full stretch, though",
7.2,"Russell to Sangakkara, no run, middle and leg line and it's flicked to midwicket",
7.3,"Russell to Sangakkara, no run, tries the yorker and Sanga has to get his foot out of the way to push it to midwicket",
7.4,"Russell to Sangakkara, 1 leg bye, on the helmet! Sanga took his eyes off the short ball pretty early, a rare sight, and barely pulled. The ball deflected off the helmet to third man",
7.5,"Russell to Ahmed Shehzad, 1 run, drives it hard but mistimes it a bit towards mid-off for one",
7.6,"Russell to Sangakkara, FOUR, there's room and Sanga stays in the crease to wait for the ball and drives it late and beautifully past point for an exquisite four!",
8.1,"Badree to Ahmed Shehzad, FOUR, lucky four! It was pretty flat on off with a bit of turn and Shehzad poked to get an outside edge and that went pretty fine on off",
8.2,"Badree to Ahmed Shehzad, no run, slightly slower on the off stump, blocked back now",
8.3,"Badree to Ahmed Shehzad, 1 run, shorter and flatter again, he cuts and gets an upper edge to short third man for one",
8.4,"Badree to Sangakkara, no run, hardly any room on off, Sanga finds cover",
8.5,"Badree to Sangakkara, no run, towards leg now, Sanga works it to midwicket",
8.6,"Badree to Sangakkara, 2 runs, some flight just outside off, Sanga drives it square off the back foot and there's a fumble in the deep, allowing them to come back for the second",
9.1,"Imran Khalid to Ahmed Shehzad, no run, angles it in towards middle, Shehzad defends on off",
9.2,"Imran Khalid to Ahmed Shehzad, no run, charges down now to slam it back but mistimes it back to the bowler",
9.3,"Imran Khalid to Ahmed Shehzad, 1 run, comes down again and works the ball towards long-on for one",
9.4,"Imran Khalid to Sangakkara, 1 run, shuffles a bit towards off and works it with the spin behind square on leg",
9.5,"Imran Khalid to Ahmed Shehzad, FOUR, errs down the leg side with a flat delivery, Shehzad sweeps and gets some bat or glove to get four",
9.6,"Imran Khalid to Ahmed Shehzad, FOUR, pulls the short ball towards deep square leg and he's bisected the field between deep midwicket and deep backward square for four more",
10.1,"Mohammad Irfan to Sangakkara, 1 run, back of a length and outside off, Sanga leans back and cuts it to point for one",
10.2,"Mohammad Irfan to Ahmed Shehzad, FOUR, soft short ball outside off, Shehzad skips back and pulls firmly to the midwicket boundary. Sanga is loving this at the other end",
10.3,"Mohammad Irfan to Ahmed Shehzad, no run, Shehzad feigns to step out, Irfan spears it full around off, dabbed quietly in front of cover",
10.4,"Mohammad Irfan to Ahmed Shehzad, 1 run, After conceding two fours in his last over, Khalid drops a skier. Shehzad skips out, the bowler is wary of it as he bangs it short. This tests Shehzad. He only carves it high in the air. Does not get the desired distance. Khalid runs across to his left from cover, takes his eyes off the ball, and reprieves Shehzad",
10.5,"Mohammad Irfan to Sangakkara, no run, back of a length on off, too close to cut. Chopped behind to the keeper",
10.6,"Mohammad Irfan to Sangakkara, FOUR, Irfan appeals for leg-before. Given as four. This one is brought back into Sanga on a shortish length. He french-cuts it away past the leg stump, fine for four",
11.1,"Imran Khalid to Ahmed Shehzad, 1 run, flat and drifts in, a helmetless Shehzad hangs back and turns through midwicket",
11.2,"Imran Khalid to Sangakkara, FOUR, length on middle as Sanga nips down the track and lofts it majestically over midwicket",
11.3,"Imran Khalid to Sangakkara, 1 run, flighted on off, smartly chipped in front of Russell at long-off",
11.4,"Imran Khalid to Ahmed Shehzad, 1 run, patted behind point for one",
11.5,"Imran Khalid to Sangakkara, FOUR, violent hit from Sanga; rasping straight drive. Umpire Dar swerves and ducks out of the way. Sanga races down the track and drills it straight down the ground, having the umpire in the firing line",
11.6,"Imran Khalid to Sangakkara, 1 run, tossed up, fullish in length, Sanga steps away and lofts it inside out, lands in front of long-off",
12.1,"Mohammad Sami to Sangakkara, SIX, no violence, here. Length and outside off, Sanga goes low, drops to one knee, and caresses it over the covers. Classic Sanga, it goes all the way!",
12.2,"Mohammad Sami to Sangakkara, 1 run, this is diverted off the thigh behind square as Sami tucks Sanga up for room",
12.3,"Mohammad Sami to Ahmed Shehzad, 1 run, fractionally short on off, Shehzad uses his wrists and plays it back to the bowler",
12.4,"Mohammad Sami to Sangakkara, 1 run, Sanga looks to make room outside leg, Sami chases him with a shortish ball. Tapped in front of point",
12.5,"Mohammad Sami to Ahmed Shehzad, 2 runs, banged in short and outside off, front-foot pull to deep midwicket. Confident hit",
12.6,"Mohammad Sami to Ahmed Shehzad, no run, Shehzad shuffles across off, attempts a leg-side flick and nearly spoons a return catch off a leading edge. This Sami offering stopped a touch on the opener",
13.1,"Smith to Sangakkara, FOUR, loose short ball down the leg side, Sanga just helps it away behind square. Easy peasy",
13.2,"Smith to Sangakkara, 1 run, easily done again. Leg-stump short ball, pulled to deep midwicket",
13.3,"Smith to Ahmed Shehzad, 1 run, very, very wristy! Full and outside off, the opener shuffles across off and whips it over midwicket",
13.4,"Smith to Sangakkara, FOUR, Sanga dances out and gets a short ball. He does not hold anything back. Thumped over the covers",
13.5,"Smith to Sangakkara, no run, swish and a miss outside off",
13.6,"Smith to Sangakkara, SIX, Sanga raises his fifty with a six. Down the track, he gets another short ball. This is dispatched over long-off with utmost authority. The Sanga show is on in Dubai",
14.1,"Russell to Ahmed Shehzad, 1 run, short and just a shade outside off, Shehzad keeps back and glides a single to third man",
14.2,"Russell to Sangakkara, 2 runs, full and straight, clipped to mid-on. Some sloppy fielding gives Quetta two",
14.3,"Russell to Sangakkara, OUT, Khalid makes no mistake, he takes it at long-on now. Sanga steps out and backs away for a lofted hit. He can only drag this short ball from outside off to long-on. This may have stopped on the batsman as well",
14.4,"Russell to Mohammad Nawaz, 1 run, short and attacks the ribs, Nawaz looks to fend to leg. He pops a leading edge in front of point. The batsman was ball watching, Shehzad had set off for a single. They complete it. Russell did well to quickly turn back and gather the ball, but could not throw the stumps down",
14.5,"Russell to Ahmed Shehzad, FOUR, Shehzad raises his bat, he reaches a fifty of his own. Viv Richards applauds from the dug out. Short, possibly slow and outside off, picked up and pulled over square leg",['KC Sangakkara c Imran Khalid b Russell 55 (32b 7x4 2x6) SR: 171.87']
