Ball,Commentary,Wicket
0.1,"Zulfiqar Babar to Malan, 1 run, tossed up on middle and leg, worked away past the left of mid-on for one",
0.2,"Zulfiqar Babar to Kamran Akmal, no run, Babar hangs it up in the air, non-turning ball on off stump. Kamran hangs back and dabs to cover",
0.3,"Zulfiqar Babar to Kamran Akmal, FOUR, Babar errs in length. Short and outside off, Kamran is super quick to pick the length up. Skips back and pulls it away to the right of mid-on for the first boundary of the night. Authoritative. Shot of a man in form",
0.4,"Zulfiqar Babar to Kamran Akmal, FOUR, skids on with the arm outside off, slightly short, and Babar is punished again. Nails a square cut between cover-point and backward point on the back foot",
0.5,"Zulfiqar Babar to Kamran Akmal, no run, Kamran makes room and slashes it. Can't beat the packed off-side infield now",
0.6,"Zulfiqar Babar to Kamran Akmal, FOUR, three boundaries from the first over of the final. Kamran is strong on the back foot. Slightly short and outside off again, he moves back and cuts it between point and the covers. Poor start from Babar",
1.1,"Anwar Ali to Malan, no run, back of a length and on the stumps, hangs back and punches in the direction of mid-off",
1.2,"Anwar Ali to Malan, 2 runs, Malan uses his feet, manufactures a very full length, a whirl of the wrists sends the ball to the right of deep square leg",
1.3,"Anwar Ali to Malan, SIX, dug in short and just a shade outside off, Malan connects with the pull now. Dispatched over midwicket. Clears the man in the deep",
1.4,"Anwar Ali to Malan, 2 runs, picked off the pads through the square-leg region",
1.5,"Anwar Ali to Malan, FOUR, half-volley outside off, Malan leans into the drive and creams it away to the right of mid-off and to the left of extra-cover. This is some start from Peshawar",
1.6,"Anwar Ali to Malan, no run, neither short nor wide enough for the cut. Back of a length and headed for the off stump, chopped limply to cover",
2.1,"Emrit to Kamran Akmal, 1 run, back of a length and angled into the hips from over the wicket, nurdled square through the leg side for one",
2.2,"Emrit to Malan, 1 run, short and angling away outside off, the left-hander swings his hands at a pull. Drags the ball past midwicket off the inside half of the bat. He lost his shape while meeting the ball",
2.3,"Emrit to Kamran Akmal, no run, short and on off, hint of extra bounce, Kamran opens the face and dabs the ball to point",
2.4,"Emrit to Kamran Akmal, FOUR, shortish and veering into the hips, Kamran unfurls a handsome flick, beats deep square to his right. The ball is coming onto the bat nicely. Seems like a flat surface with plenty of runs on offer",
2.5,"Emrit to Kamran Akmal, no run, good length on middle and leg, angled in, beats the inside edge and hits the pad as the batsman misses the flick now",
2.6,"Emrit to Kamran Akmal, no run, back of a length and angled in on middle stump, Kamran is on the move as he softly plays it back to the bowler",
3.1,"Mohammad Nawaz to Malan, 1 run, hint of spin for Nawaz right away, whipped in the air over midwicket",
3.2,"Mohammad Nawaz to Kamran Akmal, no run, quick dart outside off, short in length, so Kamran moves back and flashes to cover",
3.3,"Mohammad Nawaz to Kamran Akmal, FOUR, skids on with the arm outside off, can't bowl short and wide to Kamran, he goes back and cuts it between point and cover. Precise placement",
3.4,"Mohammad Nawaz to Kamran Akmal, 1 run, full and rolls on outside off, no turn, full, push-driven down to long-off for one",
3.5,"Mohammad Nawaz to Malan, no run, tossed up outside leg, Malan pre-meditates and under-edges a reverse-sweep. Nearly dragged it back onto the stumps",
3.6,"Mohammad Nawaz to Malan, no run, short and speared on off, Malan stays back and short-arms it away to midwicket",
4.1,"Emrit to Kamran Akmal, no run, back of a length and angled in on off and middle, defended with a straight bat",
4.2,"Emrit to Kamran Akmal, no run, Emrit ventures wide of the crease, angled down the leg side as the batsman does not make contact with a glance. Another leg-side wide. This is not helping Quetta's cause",
4.3,"Emrit to Kamran Akmal, 1 run, full and comes in, possibly a slower ball, knocked into the leg side with soft hands",
