Ball,Commentary,Wicket
0.1,"Anwar Ali to Tamim Iqbal, 2 runs, gets a thick inside edge towards fine leg, streaky start",
0.2,"Anwar Ali to Tamim Iqbal, no run, short delivery on off, looks to slap it over point, misses",
0.3,"Anwar Ali to Tamim Iqbal, 2 runs, sweet timing. Uses the width on offer to punch that into the gap at cover point",
0.4,"Anwar Ali to Tamim Iqbal, no run, punched off the back foot to short cover",
0.5,"Anwar Ali to Tamim Iqbal, 1 run, clipped to the vacant midwicket region",
0.6,"Anwar Ali to Mohammad Hafeez, 2 runs, looks to lift it over cover, ends up slicing it behind point, it was swirling in the air for a long time. Third man came in to take that but it fell between both fielders. Lucky break for Hafeez",
1.1,"Mohammad Nabi to Tamim Iqbal, no run, pushed through quicker on middle, defended",
1.2,"Mohammad Nabi to Tamim Iqbal, 2 runs, worked wide of midwicket, the fielder slides a little early and lets the ball through, extra run taken. Umar Gul didn't get the timing of the slide right",
1.3,"Mohammad Nabi to Tamim Iqbal, 1 run, gets a thick inside edge towards square leg",
1.4,"Mohammad Nabi to Mohammad Hafeez, 2 runs, too short, he rocks back and crunches it into the deep cover region, outfield not the quickest, fielder gets around that one",
1.5,"Mohammad Nabi to Mohammad Hafeez, no run, appeal for lbw as he looks to work it across the line, ball was sliding down leg",
1.6,"Mohammad Nabi to Mohammad Hafeez, no run, steps out but can't get to the pitch of it, bunted to cover",
2.1,"Anwar Ali to Tamim Iqbal, FOUR, uses the width on offer to open his wrists and play that delightfully behind point, races away into the boundary. Desperate dive by Umar Gul at third man, but he had no chance",
2.2,"Anwar Ali to Tamim Iqbal, no run, steps out but gets it high on the pad, rolls to mid-on",
2.3,"Anwar Ali to Tamim Iqbal, no run, surprised by the off cutter, completely squared up as he looked to defend, picked it late off the hand",
2.4,"Anwar Ali to Tamim Iqbal, no run, another slower one, this one takes the edge but lands in front of the keeper. Super bowling",
2.5,"Anwar Ali to Tamim Iqbal, no run, driven on the up but straight to the cover point fielder",
2.6,"Anwar Ali to Tamim Iqbal, 1 run, appeal for lbw. That one was full and straight, but looked like it hit him outside leg",
3.1,"Zulfiqar Babar to Tamim Iqbal, no run, swept to short fine",
3.2,"Zulfiqar Babar to Tamim Iqbal, 1 run, punched wide of square leg, good running",
3.3,"Zulfiqar Babar to Mohammad Hafeez, 2 runs, swept across the line, a misfield at deep square gives Hafeez a second. Nabi relaxed for a split second as the ball got to him",
3.4,"Zulfiqar Babar to Mohammad Hafeez, 1 run, pulled away towards deep midwicket, had to fetch it from outside off",
3.5,"Zulfiqar Babar to Tamim Iqbal, no run, looks to slog that over square leg, gets it on top of the pad, keeper does well to get across, Hafeez thought there was a run, sent back in the nick of time",
3.6,"Zulfiqar Babar to Tamim Iqbal, no run, tickled to short fine, not a bad first over",
4.1,"Mohammad Nawaz to Mohammad Hafeez, 1 run, short and cramps Hafeez for room, miscued in front of square",
4.2,"Mohammad Nawaz to Tamim Iqbal, OUT, Nawaz strikes with his second ball. KP has his hands aloft! Was that a plan? Nawaz gives this more air. Tamim comes down the track and lofts it well but finds Nabi at deep midwicket",['Tamim Iqbal c Mohammad Nabi b Mohammad Nawaz 14 (19b 1x4 0x6) SR: 73.68']
4.3,"Mohammad Nawaz to Mohammad Hafeez, 2 runs, drifts in on off, Hafeez goes over the top. He can only slice it over the covers",
4.4,"Mohammad Nawaz to Mohammad Hafeez, no run, flat and fizzes off the surface on off, swatted to mid-on",
4.5,"Mohammad Nawaz to Mohammad Hafeez, OUT, another airy stroke, another wicket. Pushed through on middle, Hafeez goes low for a sweep. He does not control it. Hit high on the bat and miscued to Chigumbura at square leg. What a lift for Nawaz",
4.6,"Mohammad Nawaz to Kamran Akmal, no run, slides in with the arm on middle, defended",['Mohammad Hafeez c Chigumbura b Mohammad Nawaz 10 (10b 0x4 0x6) SR: 100.00']
5.1,"Umar Gul to Malan, no run, shortish and outside off, Malan leans back and cuts to point",
5.2,"Umar Gul to Malan, 1 run, shortish on middle, tucked to midwicket",
5.3,"Umar Gul to Kamran Akmal, 1 run, back of a length and outside off, punched solidly past backward point",
5.4,"Umar Gul to Malan, no run, short and wide outside off, rasping cut. Wright dives across, makes a half-save, and feels the heat",
5.5,"Umar Gul to Malan, no run, Gul keeps it short and tests Malan. He is caught on the crease as he squirts it back to the bowler off the inside half",
5.6,"Umar Gul to Malan, 2 runs, back of a length on middle, pulled towards deep midwicket. Malan and Kamran push for two",
6.1,"Mohammad Nawaz to Kamran Akmal, 1 run, speared and spins outside off, cut past cover",
6.2,"Mohammad Nawaz to Malan, FOUR, reverse-paddled from a middle stump line, dinked to the third-man (fine-leg) boundary",
6.3,"Mohammad Nawaz to Malan, no run, this one grips and turns to hit the pad with extra bounce",
6.4,"Mohammad Nawaz to Malan, 1 run, slides on the pads, picked away in front of square on the leg side",
6.5,"Mohammad Nawaz to Kamran Akmal, 2 runs, flighted and drifts in on off, Kamran caresses it over the covers. Inside-out drive",
6.6,"Mohammad Nawaz to Kamran Akmal, no run, darted flat and quick, close to 90ks. Kamran steps away and chops to point",
7.1,"Mohammad Nabi to Malan, 1 run, width on offer, eased towards deep cover",
7.2,"Mohammad Nabi to Kamran Akmal, 1 run, worked wide of the diving midwicket fielder",
7.3,"Mohammad Nabi to Malan, no run, gets forward and dabs it to the off side",
7.4,"Mohammad Nabi to Malan, 1 run, whipped to deep square leg",
7.5,"Mohammad Nabi to Kamran Akmal, 1 run, backs away and forces that off the back foot to deep point",
7.6,"Mohammad Nabi to Malan, 1 run, works it wide of square leg",
8.1,"Zulfiqar Babar to Malan, 1 leg bye, lobs off the pad to the on side as he looks to flick, they manage to steal a leg bye. Sarfraz didn't collect it cleanly and is angry with himself. He thought there was a run-out chance",
8.2,"Zulfiqar Babar to Kamran Akmal, OUT, delightful loop. Slows it down nicely, Kamran looks to go over cover, but didn't get to the pitch of the ball, he had to reach out for it as the bat face slightly turned in his hand as he made contact, lobbed to point where the fielder timed his jump to perfection.",
8.3,"Zulfiqar Babar to Shahid Yousuf, no run, looks to work it across the line, misses it completely, ball deflects off the pad to the off side",
8.4,"Zulfiqar Babar to Shahid Yousuf, no run, beaten by a delivery that drifts back into off and skids on",['Kamran Akmal c Mohammad Nawaz b Zulfiqar Babar 6 (8b 0x4 0x6) SR: 75.00']
